,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,AandH_SEVEN_AC,AandH_SEVEN_AF,AandH_SEVEN_AR,AandH_SEVEN_AS,AandH_SEVEN_AST,AandH_SEVEN_AY,AandH_SEVEN_FTAG,AandH_SEVEN_FTHG,AandH_SEVEN_FTR_A,AandH_SEVEN_FTR_D,AandH_SEVEN_FTR_H,AandH_SEVEN_HC,AandH_SEVEN_HF,AandH_SEVEN_HR,AandH_SEVEN_HS,AandH_SEVEN_HST,AandH_SEVEN_HTAG,AandH_SEVEN_HTHG,AandH_SEVEN_HTR_A,AandH_SEVEN_HTR_D,AandH_SEVEN_HTR_H,AandH_SEVEN_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,HandA_SEVEN_AC,HandA_SEVEN_AF,HandA_SEVEN_AR,HandA_SEVEN_AS,HandA_SEVEN_AST,HandA_SEVEN_AY,HandA_SEVEN_FTAG,HandA_SEVEN_FTHG,HandA_SEVEN_FTR_A,HandA_SEVEN_FTR_D,HandA_SEVEN_FTR_H,HandA_SEVEN_HC,HandA_SEVEN_HF,HandA_SEVEN_HR,HandA_SEVEN_HS,HandA_SEVEN_HST,HandA_SEVEN_HTAG,HandA_SEVEN_HTHG,HandA_SEVEN_HTR_A,HandA_SEVEN_HTR_D,HandA_SEVEN_HTR_H,HandA_SEVEN_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,INFO_WIN_P,probs_A,probs_D,probs_H,probs,pred,WIN,WIN_P,INFO_ODD,INFO_ODD_BET,prob_less_bet
29342,2.0,15.4,0.0,6.8,1.8,2.8,0.6,1.4,0.2,0.2,0.6,4.8,12.6,0.0,19.0,5.8,0.4,0.6,0.2,0.4,0.4,1.6,2.0,15.0,0.0,7.0,1.33,2.67,0.67,1.33,0.33,0.0,0.67,5.33,12.33,0.0,19.0,6.67,0.33,0.67,0.0,0.67,0.33,2.33,0.75,0.5,0.0,0.5,0.0,0.0,-0.25,0.5,-0.25,0.0,0.25,-0.75,-1.5,0.0,-1.0,0.25,0.0,0.25,0.0,-0.25,0.25,-0.5,1.5,-0.5,0.0,3.5,0.0,-0.5,0.0,1.5,-0.5,0.0,0.5,-1.5,-1.5,0.0,0.0,2.5,0.5,0.5,0.0,0.0,0.0,-1.0,3.57,13.86,0.14,7.0,2.29,2.14,0.57,1.43,0.43,0.29,0.29,4.57,13.86,0.0,15.43,5.43,0.29,0.57,0.14,0.71,0.14,2.14,6.0,16.8,0.2,11.4,4.4,2.2,2.2,0.8,0.8,0.0,0.2,4.8,12.2,0.0,11.4,3.6,1.2,0.6,0.6,0.2,0.2,0.6,6.67,20.0,0.33,11.33,5.67,2.0,3.0,0.67,1.0,0.0,0.0,6.0,10.33,0.0,14.0,3.33,2.0,0.33,1.0,0.0,0.0,0.67,-0.25,-0.25,0.0,0.75,-1.75,0.5,-1.5,-0.5,0.0,0.0,0.0,-0.25,1.0,0.0,-2.5,-0.75,-1.0,-0.25,-0.25,0.25,0.0,0.25,0.5,7.0,0.5,-2.0,-3.0,0.5,-3.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,-2.0,-1.5,-0.5,0.0,0.0,0.0,0.5,3.86,14.29,0.29,10.43,4.0,1.29,1.0,2.0,0.57,0.0,0.43,6.29,15.29,0.14,14.0,5.86,0.57,1.0,0.57,0.14,0.29,2.0,Bastia,3.86,3.18,2.06,2014-11-01,F1,0.0,1.0,H,H,Guingamp,4.24,3.19,2.1,2.06,2.1,0.291101783514,0.285719156265,0.423179090023,0.423179090023,H,1.06,1.1,0,2.06,-0.0622578031808
29343,5.4,14.6,0.0,11.2,3.6,2.2,1.0,1.4,0.6,0.0,0.4,4.4,10.4,0.0,9.0,4.8,0.2,0.8,0.2,0.4,0.4,1.6,5.0,13.33,0.0,13.67,4.67,2.0,1.0,0.67,0.67,0.0,0.33,4.67,12.0,0.0,8.67,4.33,0.0,0.67,0.0,0.67,0.33,1.67,-0.5,1.0,0.0,-2.0,-1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,-1.0,0.0,0.75,0.5,0.25,0.0,0.25,-0.25,0.0,0.25,0.0,-1.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,7.71,12.29,0.0,15.43,4.29,1.29,0.86,0.57,0.43,0.14,0.43,2.86,14.29,0.0,7.29,2.57,0.14,0.57,0.14,0.71,0.14,1.86,2.8,15.2,0.2,7.2,2.0,1.4,0.4,1.2,0.2,0.2,0.6,5.6,12.6,0.0,17.4,6.0,0.2,0.2,0.2,0.6,0.2,1.6,2.0,15.67,0.33,6.33,2.0,1.67,0.67,0.67,0.33,0.33,0.33,7.0,11.0,0.0,20.33,6.33,0.33,0.33,0.33,0.33,0.33,2.0,0.5,-2.25,-0.25,0.25,-0.75,-0.25,-0.5,0.25,-0.25,0.0,0.25,-1.75,1.0,0.0,-4.0,-1.0,-0.25,0.0,-0.25,0.25,0.0,-0.75,1.5,-3.5,-0.5,-0.5,-2.0,-1.0,-1.0,-0.5,-0.5,0.5,0.0,-1.0,3.5,0.0,-8.0,-4.0,-0.5,0.0,-0.5,0.5,0.0,-1.5,4.71,13.29,0.0,14.14,4.57,2.14,0.57,1.14,0.14,0.14,0.71,4.29,16.57,0.14,9.14,3.43,0.14,0.57,0.14,0.43,0.43,1.29,St Etienne,3.09,2.95,2.52,2014-11-01,F1,1.0,1.0,D,H,Lille,3.18,3.03,2.63,2.95,3.03,0.28082883358,0.290575355291,0.428595781326,0.428595781326,H,-1.0,-1.0,0,2.52,0.0317703845009
29344,2.0,8.8,0.4,10.8,5.2,1.2,1.4,0.6,0.4,0.6,0.0,3.0,15.0,0.4,10.2,3.2,1.0,0.4,0.6,0.4,0.0,0.8,2.67,10.67,0.33,13.0,6.0,1.0,2.0,0.67,0.67,0.33,0.0,3.0,15.33,0.67,12.33,4.0,1.33,0.67,0.67,0.33,0.0,0.0,0.0,-0.25,0.0,-2.0,-1.25,0.5,-0.75,-0.25,-0.25,0.25,0.0,0.5,0.5,-0.5,-0.75,-0.5,-0.5,-0.25,-0.25,0.25,0.0,0.75,1.5,0.0,-0.5,0.5,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,-0.5,-4.5,-1.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,3.0,11.0,0.29,11.0,4.71,1.71,1.71,0.71,0.29,0.57,0.14,3.29,14.57,0.43,10.57,3.57,1.0,0.29,0.43,0.29,0.29,0.57,4.2,12.4,0.0,8.8,3.2,1.6,0.8,0.8,0.6,0.2,0.2,6.0,11.0,0.2,9.8,3.4,0.2,0.0,0.2,0.8,0.0,1.4,3.67,14.33,0.0,9.0,4.0,2.0,1.33,0.0,1.0,0.0,0.0,5.0,11.33,0.33,8.33,1.67,0.33,0.0,0.33,0.67,0.0,1.33,-1.25,-1.25,0.0,-1.5,-1.0,-0.25,-0.25,0.0,-0.25,0.25,0.0,1.25,0.25,0.0,2.5,1.25,0.0,0.0,0.0,0.0,0.0,-0.25,-3.0,0.0,0.0,-4.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.5,4.57,13.14,0.14,10.14,2.71,1.71,0.43,1.57,0.57,0.0,0.43,3.57,12.57,0.0,10.29,4.29,0.14,0.71,0.14,0.57,0.29,1.29,Paris SG,1.48,4.04,7.25,2014-11-01,F1,2.0,1.0,A,H,Lorient,1.52,4.18,7.98,1.48,1.52,0.33041870594,0.340424269438,0.329157024622,0.340424269438,D,-1.0,-1.0,0,4.04,0.0928995169625
29345,3.4,13.6,0.0,11.4,3.6,1.6,1.2,1.0,0.2,0.6,0.2,4.2,8.4,0.0,13.6,3.4,0.2,0.4,0.0,0.8,0.2,1.2,4.0,14.33,0.0,12.0,3.67,2.0,1.33,1.33,0.0,1.0,0.0,3.33,10.0,0.0,14.67,3.33,0.33,0.67,0.0,0.67,0.33,1.67,-0.75,-2.0,0.0,1.25,0.5,-0.75,0.25,-0.25,0.25,-0.25,0.0,0.0,-2.0,0.0,0.0,0.75,0.0,-0.25,0.0,0.25,-0.25,-0.25,0.0,-2.5,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,-0.5,-1.0,0.0,5.5,3.0,0.5,0.0,0.0,0.5,-0.5,0.0,3.29,11.86,0.0,11.43,3.43,1.29,1.0,1.43,0.29,0.43,0.29,4.57,10.29,0.0,14.57,4.57,0.29,0.57,0.14,0.71,0.14,1.29,5.0,12.4,0.4,10.2,2.4,0.8,0.6,1.8,0.0,0.4,0.6,5.0,13.0,0.0,13.6,5.8,0.4,0.4,0.0,1.0,0.0,1.2,4.67,11.0,0.67,9.33,1.67,1.0,0.33,2.0,0.0,0.33,0.67,4.67,11.33,0.0,16.33,7.0,0.33,0.33,0.0,1.0,0.0,1.0,0.0,1.5,0.0,-2.0,-0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.5,1.0,0.0,-0.25,0.5,0.25,0.25,0.0,0.0,0.0,0.0,-1.5,0.5,0.0,-2.0,-1.0,1.0,0.5,1.5,0.0,-0.5,0.5,-1.0,2.0,0.0,3.0,3.0,0.5,0.5,0.0,0.0,0.0,-0.5,4.14,17.57,0.14,12.57,4.29,2.0,1.0,0.86,0.14,0.14,0.71,6.14,11.71,0.29,9.86,2.14,0.29,0.14,0.14,0.86,0.0,1.0,Caen,2.96,3.09,2.5,2014-11-01,F1,2.0,3.0,H,H,Metz,3.01,3.21,2.62,2.5,2.62,0.247546687722,0.282930374146,0.469522893429,0.469522893429,H,1.5,1.62,0,2.5,0.0695228934288
29346,4.4,14.4,0.2,8.0,2.6,2.0,1.0,2.2,0.2,0.0,0.8,4.2,11.0,0.2,10.2,4.4,0.4,1.0,0.2,0.2,0.6,1.0,4.67,13.67,0.0,8.0,2.67,2.33,1.0,1.33,0.33,0.0,0.67,4.33,13.0,0.33,10.67,3.33,0.33,0.67,0.33,0.0,0.67,1.33,-0.75,0.0,0.0,-0.5,0.0,-0.5,0.5,1.0,0.0,0.0,0.0,1.5,-2.75,0.0,0.0,0.75,0.25,0.5,0.0,0.0,0.0,-0.75,1.5,2.0,0.0,-1.5,-0.5,-0.5,0.5,0.0,0.0,0.0,0.0,2.0,-1.5,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.5,3.86,13.14,0.0,9.29,2.0,1.57,1.29,1.43,0.43,0.0,0.57,3.57,15.14,0.14,9.86,4.0,0.43,0.71,0.43,0.14,0.43,1.57,3.4,18.4,0.2,10.8,4.6,2.0,0.6,1.0,0.4,0.0,0.6,4.4,12.4,0.0,11.2,3.4,0.2,0.4,0.2,0.4,0.4,0.8,3.67,17.33,0.33,11.67,5.67,2.0,0.67,1.0,0.33,0.0,0.67,4.0,11.33,0.0,9.67,3.0,0.0,0.33,0.0,0.67,0.33,0.67,-0.75,0.0,-0.25,-1.0,-0.75,-0.25,0.0,-0.5,0.25,0.0,-0.25,0.0,0.25,0.0,1.5,-0.5,0.25,0.0,0.25,-0.25,0.0,0.5,-0.5,-2.5,-0.5,0.0,-1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,-1.0,-1.5,0.0,1.0,-2.0,0.0,0.5,0.0,-0.5,0.5,0.5,4.43,11.86,0.0,9.14,2.57,1.14,0.71,1.29,0.14,0.29,0.57,4.86,16.14,0.14,12.86,4.71,0.14,0.29,0.0,0.71,0.29,2.29,Evian Thonon Gaillard,4.14,3.19,1.98,2014-11-01,F1,0.0,2.0,H,H,Montpellier,4.22,3.27,2.07,1.98,2.07,0.308800756931,0.30927875638,0.381920456886,0.381920456886,H,0.98,1.07,0,1.98,-0.123130048164
29347,3.0,14.4,0.0,13.2,5.0,1.2,1.0,1.2,0.2,0.4,0.4,5.4,13.4,0.0,11.0,3.6,0.2,0.6,0.2,0.4,0.4,2.2,3.0,12.67,0.0,12.0,5.0,0.67,1.0,1.33,0.0,0.67,0.33,5.33,15.0,0.0,11.0,3.33,0.0,0.33,0.0,0.67,0.33,2.0,-0.25,3.25,0.0,0.5,0.5,0.5,0.0,-0.25,0.25,-0.25,0.0,0.0,-0.5,0.0,-0.5,-0.5,0.25,0.0,0.25,-0.25,0.0,0.0,0.5,1.5,0.0,3.5,0.0,-0.5,0.0,0.5,0.0,-0.5,0.5,1.0,3.0,0.0,-3.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.5,4.14,15.71,0.0,12.57,6.29,1.57,2.43,0.57,0.0,0.29,0.71,4.71,14.0,0.0,12.57,3.71,1.0,0.29,0.0,0.43,0.57,2.43,2.0,17.2,0.2,8.0,2.8,2.6,1.0,0.8,0.4,0.2,0.4,7.4,13.2,0.0,11.6,2.6,0.2,0.4,0.0,0.8,0.2,1.6,2.0,15.0,0.0,5.33,2.0,2.33,0.67,0.67,0.33,0.33,0.33,7.33,14.33,0.0,12.67,3.0,0.0,0.33,0.0,0.67,0.33,1.67,0.0,2.0,0.25,2.25,1.5,0.25,0.5,0.25,0.0,0.0,0.0,0.0,-0.75,0.0,-2.0,-0.5,0.25,0.25,0.0,0.0,0.0,-0.25,0.5,1.5,0.0,1.5,1.0,-1.0,-0.5,0.5,-0.5,0.0,0.5,2.0,0.0,0.0,-5.0,-0.5,0.0,0.5,0.0,-0.5,0.5,-1.0,6.14,14.71,0.0,10.29,3.57,1.71,1.71,0.86,0.43,0.14,0.43,4.14,14.86,0.0,9.86,2.43,0.86,0.43,0.29,0.43,0.29,1.57,Lyon,2.33,3.18,3.16,2014-11-01,F1,3.0,1.0,A,D,Nice,2.43,3.28,3.25,2.33,2.43,0.331647127867,0.295937478542,0.372415423393,0.372415423393,H,-1.0,-1.0,0,3.16,0.0559597271907
29364,3.4,16.2,0.0,10.2,2.2,1.6,0.8,1.0,0.4,0.0,0.6,6.2,14.4,0.0,13.2,3.2,0.4,0.8,0.4,0.0,0.6,1.8,4.0,16.0,0.0,7.67,2.33,2.33,1.33,0.67,0.67,0.0,0.33,8.33,15.0,0.0,17.33,3.33,0.67,0.67,0.67,0.0,0.33,2.0,-0.75,-0.75,0.0,1.75,0.5,-0.5,0.0,-0.25,0.0,0.0,0.0,-1.5,-1.0,0.0,-1.75,-0.5,0.0,-0.25,0.0,0.0,0.0,0.25,2.0,-6.0,0.0,1.0,2.0,0.0,1.5,-1.0,0.5,0.0,-0.5,-1.5,-1.5,0.0,0.5,-0.5,0.5,-1.0,0.5,0.0,-0.5,0.5,5.71,14.71,0.0,12.43,3.43,1.43,1.14,1.43,0.43,0.29,0.29,5.86,14.29,0.0,12.14,3.14,0.57,1.0,0.43,0.29,0.29,2.0,4.0,16.4,0.0,9.6,3.8,2.4,1.0,2.0,0.0,0.4,0.6,3.8,12.2,0.0,13.0,3.2,0.4,0.4,0.4,0.2,0.4,0.8,5.33,14.67,0.0,10.33,4.0,2.0,1.0,1.67,0.0,0.33,0.67,4.0,10.67,0.0,11.0,2.33,0.0,0.67,0.0,0.33,0.67,1.0,-0.5,0.25,0.0,-0.5,-0.25,0.0,0.0,0.75,0.0,-0.25,0.25,-0.5,0.0,0.0,-0.75,1.0,0.25,-0.25,0.25,0.0,-0.25,-0.25,0.5,-2.0,0.0,-1.5,-1.0,-0.5,0.0,0.5,0.0,-0.5,0.5,-0.5,0.0,0.0,-2.5,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,3.57,11.71,0.14,9.0,2.14,1.43,1.0,1.43,0.0,0.29,0.71,5.71,15.43,0.14,11.71,4.29,0.43,0.71,0.0,0.29,0.71,1.57,Toulouse,3.37,3.22,2.21,2014-11-02,F1,1.0,2.0,H,D,Bordeaux,3.56,3.35,2.25,2.21,2.25,0.277266949415,0.295330345631,0.427402704954,0.427402704954,H,1.21,1.25,0,2.21,-0.0250859828287
29365,2.8,11.8,0.0,7.4,2.2,1.6,1.0,1.0,0.4,0.2,0.4,7.6,11.0,0.0,14.2,4.4,0.8,0.4,0.6,0.2,0.2,0.8,3.67,11.0,0.0,8.0,2.33,1.0,1.0,1.33,0.33,0.0,0.67,8.33,8.0,0.0,15.33,4.67,0.67,0.67,0.33,0.33,0.33,0.67,-0.25,1.75,0.0,0.0,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,-2.5,2.75,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,-1.0,-0.5,1.0,-0.5,0.0,0.5,-5.5,-0.5,0.0,-1.0,-0.5,-1.0,1.0,-0.5,0.0,0.5,-0.5,3.14,11.57,0.29,8.57,2.71,1.14,0.71,1.29,0.43,0.29,0.29,5.71,9.29,0.14,14.0,4.43,0.57,0.57,0.43,0.43,0.14,0.71,2.8,17.8,0.0,9.8,3.4,1.6,0.6,2.2,0.2,0.0,0.8,7.8,14.2,0.0,17.4,6.6,0.2,1.2,0.2,0.2,0.6,1.2,3.0,18.67,0.0,10.33,3.67,2.0,0.33,2.33,0.0,0.0,1.0,7.33,13.67,0.0,15.0,6.67,0.0,1.33,0.0,0.33,0.67,1.33,-0.5,-1.25,0.0,0.75,0.5,-0.75,0.5,-0.5,0.25,0.0,-0.25,-0.75,0.25,0.0,1.75,0.0,0.25,-0.5,0.25,0.0,-0.25,-0.25,1.0,0.0,0.0,3.0,2.0,-1.0,0.0,0.5,0.0,0.0,0.0,-1.0,-0.5,0.0,0.5,1.0,0.0,-1.0,0.0,0.5,-0.5,-0.5,6.14,13.71,0.0,15.0,6.86,1.29,2.43,0.57,0.43,0.0,0.57,3.43,17.29,0.0,10.29,3.43,1.14,0.0,0.29,0.43,0.29,1.29,Lens,11.72,5.45,1.26,2014-11-02,F1,1.0,2.0,H,D,Marseille,13.49,5.92,1.28,1.26,1.28,0.187242120504,0.269470840693,0.543287098408,0.543287098408,H,0.26,0.28,0,1.26,-0.250363695243
29366,3.8,16.2,0.0,10.8,3.0,1.4,0.4,1.0,0.2,0.4,0.4,6.0,10.8,0.2,13.4,4.0,0.0,0.0,0.0,1.0,0.0,1.2,5.0,13.67,0.0,13.0,4.67,0.67,0.33,1.67,0.0,0.33,0.67,5.33,10.67,0.0,14.33,4.67,0.0,0.0,0.0,1.0,0.0,1.33,-1.0,2.5,0.0,-2.25,-0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,-0.5,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.5,0.0,-0.5,1.0,0.5,0.0,1.5,0.0,-0.5,0.5,0.5,4.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,-0.5,4.71,12.43,0.0,12.57,4.71,1.14,0.86,1.29,0.14,0.29,0.57,5.14,8.57,0.0,10.71,4.0,0.0,0.29,0.29,0.71,0.0,1.57,4.4,10.8,0.0,7.8,3.0,1.6,0.8,1.0,0.2,0.4,0.4,6.0,14.0,0.0,14.4,4.4,0.2,0.6,0.2,0.4,0.4,1.2,3.0,11.33,0.0,8.67,4.33,2.0,1.0,1.33,0.0,0.67,0.33,6.0,13.0,0.0,14.33,4.0,0.0,1.0,0.0,0.33,0.67,1.33,1.75,-1.0,0.0,-1.5,-1.0,-0.5,0.0,-0.25,0.25,-0.25,0.0,0.5,0.0,0.0,1.25,0.25,0.25,-0.25,0.25,0.0,-0.25,-0.5,1.0,-1.5,0.0,-4.0,-2.0,-1.5,0.0,0.5,0.0,-0.5,0.5,3.5,1.0,0.0,4.5,0.0,0.0,0.5,0.0,0.0,0.0,-1.0,5.43,15.57,0.0,13.29,3.86,1.71,1.0,0.71,0.29,0.43,0.29,3.71,11.57,0.14,9.71,3.14,0.71,0.0,0.29,0.43,0.29,1.86,Rennes,3.87,3.08,2.1,2014-11-02,F1,1.0,1.0,D,D,Nantes,4.13,3.16,2.14,3.08,3.16,0.244657158852,0.32730448246,0.428038328886,0.428038328886,H,-1.0,-1.0,0,2.1,-0.0481521473044
29396,4.0,13.2,0.0,10.6,3.0,1.8,0.6,1.8,0.2,0.0,0.8,3.2,11.4,0.0,11.6,4.8,0.2,0.8,0.0,0.6,0.4,0.6,4.67,14.0,0.0,11.67,3.33,2.0,1.0,2.0,0.33,0.0,0.67,3.67,11.33,0.0,11.33,5.67,0.33,1.0,0.0,0.67,0.33,0.67,-0.25,-1.75,0.0,-0.25,-0.25,-0.5,-0.25,0.0,0.0,0.0,0.0,-0.25,0.5,0.0,-0.25,0.25,-0.25,-0.25,0.0,0.0,0.0,-0.25,1.5,-1.5,0.0,2.5,0.0,-1.0,-0.5,1.0,0.0,0.0,0.0,1.0,-1.5,0.0,0.0,2.0,-0.5,0.5,0.0,-0.5,0.5,-0.5,4.43,13.0,0.14,11.0,2.86,1.71,0.57,1.71,0.71,0.0,0.29,3.71,13.43,0.0,10.43,5.29,0.29,0.57,0.14,0.57,0.29,1.14,4.2,8.0,0.0,8.2,3.4,1.6,1.2,2.2,0.2,0.2,0.6,4.8,10.0,0.0,11.6,5.2,0.6,0.6,0.4,0.4,0.2,1.2,6.0,7.67,0.0,8.0,3.0,2.0,1.0,1.33,0.33,0.0,0.67,5.67,11.67,0.0,14.67,5.67,0.33,0.0,0.33,0.67,0.0,1.67,-0.75,1.5,0.0,0.5,0.0,-0.25,0.5,1.0,0.0,0.0,0.0,0.25,-2.0,0.0,-0.75,0.25,0.25,0.75,0.0,-0.25,0.25,-0.25,1.5,2.0,0.0,1.0,1.0,0.5,1.5,-1.0,0.5,0.0,-0.5,0.5,1.0,0.0,2.0,-1.0,0.5,0.0,0.5,-0.5,0.0,1.0,4.86,13.43,0.0,12.14,4.57,1.43,0.86,1.29,0.14,0.29,0.57,5.71,9.57,0.0,11.29,3.71,0.14,0.29,0.14,0.86,0.0,1.86,Lorient,4.03,3.23,2.0,2014-11-07,F1,0.0,1.0,H,D,Rennes,4.41,3.29,2.04,2.0,2.04,0.283505320549,0.305746585131,0.410748124123,0.410748124123,H,1.0,1.04,0,2.0,-0.0892518758774
