,INFO_Div,INFO_Date,probs_A,probs_D,probs_H,probs,prob_less_bet,pred,INFO_FTR,INFO_ODD_BET,WIN,WIN_P
0,SC0,2014-01-01,0.026902476383,0.088100359641,0.884997163976,0.884997163976,0.00780418151983,H,H,1.14,0.14,
1,E1,2013-12-26,0.451691647913,0.272153151197,0.276155200889,0.451691647913,-0.040919189525,A,A,2.03,1.03,1.06
2,I1,2012-01-08,0.519288248221,0.279158775029,0.20155297675,0.519288248221,-0.055424395457,A,A,1.74,0.74,
3,D1,2015-03-21,0.346967664527,0.254109458509,0.398922876964,0.398922876964,-0.0143002635322,H,H,2.42,1.42,1.49
4,I1,2010-03-21,0.318508769865,0.289258272409,0.392232957726,0.392232957726,0.00312789935993,H,H,2.57,1.57,
5,E2,2013-04-01,0.359987137353,0.291129269305,0.348883593342,0.359987137353,-0.0321697253921,A,H,2.55,-1.0,-1.0
6,SP1,2017-04-23,0.332861361375,0.263430976308,0.403707662317,0.403707662317,-0.0747612372044,H,A,2.09,-1.0,-1.0
7,I1,2013-02-16,0.271343301618,0.28825768572,0.440399012662,0.440399012662,-0.0225639503008,H,D,2.16,-1.0,-1.0
8,E1,2015-12-27,0.236958794148,0.290692019146,0.472349186706,0.472349186706,-0.025163251105,H,D,2.01,-1.0,-1.0
9,E1,2016-01-12,0.236678479137,0.295959813817,0.467361707046,0.467361707046,-0.0507730079798,H,H,1.93,0.93,0.95
10,E2,2011-04-16,0.309359863684,0.279067741328,0.411572394988,0.411572394988,-0.0232102137072,H,H,2.3,1.3,
11,E2,2017-04-30,0.288034722961,0.290412242377,0.421553034661,0.421553034661,-0.0268774586121,H,D,2.23,-1.0,-1.0
12,SP1,2013-11-23,0.0158218005604,0.0693944841717,0.914783715268,0.914783715268,0.0298279630555,H,H,1.13,0.13,0.15
13,E0,2012-11-03,0.327532619284,0.261852789627,0.410614591089,0.410614591089,0.0274728286365,H,H,2.61,1.61,1.67
14,I1,2012-12-16,0.0768924061987,0.21635608187,0.706751511931,0.706751511931,-0.0231754953684,H,A,1.37,-1.0,-1.0
15,E1,2015-02-28,0.198672427964,0.231427155737,0.569900416299,0.569900416299,-0.0183348778184,H,D,1.7,-1.0,-1.0
16,F1,2013-02-17,0.292790127195,0.32170667535,0.385503197454,0.385503197454,-0.0492794112414,H,A,2.3,-1.0,-1.0
17,F1,2012-02-26,0.115886879345,0.262944534511,0.621168586144,0.621168586144,-0.0367261506977,H,H,1.52,0.52,
18,E2,2016-12-10,0.23348514563,0.271881542763,0.494633311607,0.494633311607,-0.0208306059192,H,D,1.94,-1.0,-1.0
19,D1,2010-11-07,0.143312046168,0.197901449465,0.658786504366,0.658786504366,-0.0356579400781,H,H,1.44,0.44,
20,F1,2011-05-29,0.220112139371,0.292720406397,0.487167454232,0.487167454232,-0.033665879101,H,H,1.92,0.92,
21,SP1,2014-02-16,0.148829182129,0.223339054505,0.627831763366,0.627831763366,-0.00109905424389,H,A,1.59,-1.0,-1.0
22,F1,2013-02-23,0.302972059232,0.29112125135,0.405906689418,0.405906689418,-0.0269937434821,H,D,2.31,-1.0,-1.0
23,I1,2013-01-20,0.261456166837,0.19467776548,0.543866067683,0.543866067683,0.0257313526568,H,D,1.93,-1.0,-1.0
24,E0,2017-04-16,0.510170099859,0.256992808548,0.232837091593,0.510170099859,-0.0245892584298,A,A,1.87,0.87,0.93
25,SP1,2017-04-15,0.0176147341227,0.0960419778056,0.886343288072,0.886343288072,0.0242743225545,H,H,1.16,0.16,0.17
26,D1,2017-02-05,0.141275883037,0.236258436533,0.62246568043,0.62246568043,-0.0104457119746,H,H,1.58,0.58,0.62
27,E0,2014-11-01,0.0543000253745,0.148513903951,0.797186070675,0.797186070675,0.00978449587172,H,H,1.27,0.27,0.28
28,E2,2015-12-20,0.193472182109,0.250839738937,0.555688078954,0.555688078954,-0.0257072698833,H,H,1.72,0.72,0.75
29,E1,2015-04-10,0.520596601124,0.26477429833,0.214629100546,0.520596601124,-0.0443751502888,A,A,1.77,0.77,0.79
30,SP1,2015-03-20,0.485892191715,0.266538910176,0.247568898109,0.485892191715,-0.0404235977591,A,A,1.9,0.9,1.0
31,E0,2014-04-12,0.285790347492,0.281274149504,0.432935503004,0.432935503004,-0.0387626102034,H,H,2.12,1.12,1.21
32,F1,2009-11-21,0.287868018317,0.313462015029,0.398669966654,0.398669966654,-0.0438079094523,H,H,2.26,1.26,
33,E0,2016-12-11,0.153685778142,0.257792815372,0.588521406487,0.588521406487,-0.00319456984456,H,H,1.69,0.69,0.68
34,E0,2015-05-24,0.101851592442,0.186213024644,0.711935382914,0.711935382914,-0.00748907751788,H,H,1.39,0.39,0.43
