,index,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,INFO_WIN_P,XGBoost_bfA,XGBoost_bfD,XGBoost_bfH,RF_bfA,RF_bfD,RF_bfH,NBA,NBD,NBH,MLPA,MLPD,MLPH,KNNA,KNND,KNNH,0
0,7232,8.4,9.0,0.2,16.6,8.6,1.6,1.4,0.6,0.6,0.2,0.2,3.2,12.6,0.6,9.8,4.8,0.8,0.4,0.4,0.4,0.2,2.2,6.33,9.67,0.0,16.0,8.33,1.67,2.0,0.33,1.0,0.0,0.0,3.33,14.0,0.67,12.0,5.33,1.0,0.33,0.33,0.67,0.0,2.33,3.362,2.55,0.447,4.037,3.847,0.548,1.517,0.548,0.548,0.447,0.447,2.168,4.98,0.894,4.438,2.95,1.304,0.548,0.548,0.548,0.447,0.447,2.517,1.528,0.0,5.0,4.509,0.577,1.732,0.577,0.0,0.0,0.0,0.577,6.0,1.155,4.583,3.512,1.732,0.577,0.577,0.577,0.0,0.577,3.2,12.4,0.2,7.8,4.8,2.2,0.6,2.8,0.0,0.0,1.0,6.8,9.4,0.2,15.6,8.8,0.2,1.2,0.0,0.4,0.6,0.6,3.0,13.67,0.33,5.33,3.33,2.67,0.67,3.33,0.0,0.0,1.0,6.0,11.0,0.0,17.33,8.67,0.33,1.33,0.0,0.33,0.67,0.67,1.304,4.506,0.447,5.541,3.834,1.643,0.894,1.483,0.0,0.0,0.0,1.643,2.966,0.447,3.507,0.837,0.447,1.095,0.0,0.548,0.548,0.548,1.0,5.686,0.577,5.132,3.512,2.082,1.155,1.528,0.0,0.0,0.0,1.732,2.646,0.0,2.082,0.577,0.577,1.155,0.0,0.577,0.577,0.577,Man United,2.86,3.13,2.43,2007-11-03,E0,2.0,2.0,D,A,Arsenal,,,,3.13,,0.316305875778,0.264988452196,0.418705612421,0.322597506439,0.227379538075,0.450022955486,0.655860580324,0.133615730532,0.210523689144,0.345075213411,0.261848323087,0.393076463502,0.318461538462,0.263076923077,0.418461538462,1
1,7233,4.0,13.6,0.0,7.2,3.4,1.8,0.0,3.2,0.0,0.2,0.8,5.4,9.2,0.2,16.8,9.0,0.0,1.4,0.0,0.4,0.6,0.4,5.0,13.33,0.0,8.0,4.0,1.33,0.0,2.0,0.0,0.33,0.67,4.67,9.33,0.33,13.0,7.0,0.0,0.67,0.0,0.67,0.33,0.67,2.345,2.966,0.0,3.701,3.362,1.304,0.0,2.588,0.0,0.447,0.447,2.302,0.837,0.447,5.675,3.937,0.0,1.342,0.0,0.548,0.548,0.548,2.646,4.163,0.0,4.583,4.583,0.577,0.0,2.646,0.0,0.577,0.577,1.528,0.577,0.577,2.0,3.464,0.0,1.155,0.0,0.577,0.577,0.577,6.4,11.2,0.2,13.4,7.0,1.4,1.0,1.6,0.2,0.0,0.8,6.0,14.0,0.4,11.2,4.4,0.8,0.6,0.4,0.2,0.4,2.2,5.33,10.67,0.0,12.33,7.33,1.33,1.33,1.33,0.33,0.0,0.67,5.33,14.0,0.67,8.0,4.33,1.0,1.0,0.33,0.0,0.67,2.0,4.45,1.924,0.447,6.542,3.808,0.894,1.732,0.548,0.447,0.0,0.447,3.937,4.243,0.894,6.943,0.894,1.304,0.548,0.548,0.447,0.548,1.304,3.215,2.309,0.0,7.506,5.132,1.155,2.309,0.577,0.577,0.0,0.577,2.082,5.196,1.155,3.0,1.155,1.732,0.0,0.577,0.0,0.577,1.0,Derby,7.8,4.01,1.42,2007-11-03,E0,0.0,2.0,H,D,Aston Villa,,,,1.42,,0.299041450024,0.268004029989,0.432954519987,0.260203445269,0.273417534016,0.466379020715,0.0218410502145,0.208688478533,0.769470471253,0.188511401042,0.224930124247,0.586558474711,0.238461538462,0.270769230769,0.490769230769,2
2,7234,4.4,12.2,0.0,15.4,8.4,1.6,1.4,0.4,0.8,0.2,0.0,5.8,13.8,0.4,8.2,2.8,0.4,0.2,0.4,0.4,0.2,2.2,5.33,12.67,0.0,14.33,7.67,1.67,1.0,0.33,0.67,0.33,0.0,6.33,13.0,0.67,8.0,2.0,0.0,0.33,0.0,0.67,0.33,2.0,1.673,1.789,0.0,2.302,2.51,0.548,0.894,0.548,0.447,0.447,0.0,1.924,5.02,0.894,1.643,1.924,0.548,0.447,0.548,0.548,0.447,1.304,1.155,2.309,0.0,2.517,2.082,0.577,1.0,0.577,0.577,0.577,0.0,2.309,6.245,1.155,1.732,1.0,0.0,0.577,0.0,0.577,0.577,1.0,5.4,10.8,0.2,9.8,5.0,1.8,1.0,1.6,0.2,0.2,0.6,5.6,14.2,0.4,12.4,5.8,0.4,1.0,0.4,0.0,0.6,2.4,6.67,12.0,0.0,10.67,6.33,1.33,1.33,2.0,0.33,0.0,0.67,5.67,9.67,0.0,12.33,4.67,0.33,1.33,0.33,0.0,0.67,1.0,2.51,5.586,0.447,3.271,2.0,1.643,0.707,1.517,0.447,0.447,0.548,1.14,7.19,0.548,3.847,3.114,0.548,1.225,0.548,0.0,0.548,2.302,2.517,4.583,0.0,4.041,1.155,1.528,0.577,2.0,0.577,0.0,0.577,1.528,4.726,0.0,4.163,1.528,0.577,1.528,0.577,0.0,0.577,1.732,Liverpool,2.33,3.21,2.93,2007-11-03,E0,0.0,0.0,D,D,Blackburn,,,,3.21,,0.397728323936,0.31124535203,0.291026353836,0.455964171018,0.263869909787,0.280165919195,0.93452921046,0.0610039774195,0.00446681212069,0.445681629917,0.278412104581,0.275906265502,0.375384615385,0.263076923077,0.361538461538,1
3,7235,5.0,12.0,0.0,8.8,5.0,1.8,0.6,1.2,0.2,0.2,0.6,7.6,10.2,0.0,15.2,5.6,0.2,0.8,0.2,0.2,0.6,1.4,5.33,11.67,0.0,8.0,5.0,1.67,0.33,1.0,0.0,0.33,0.67,7.67,11.67,0.0,15.67,4.33,0.0,0.67,0.0,0.33,0.67,2.0,2.121,1.225,0.0,3.347,2.236,0.837,0.894,0.837,0.447,0.447,0.548,3.209,5.718,0.0,2.588,1.817,0.447,0.837,0.447,0.447,0.548,1.517,2.887,1.528,0.0,4.359,3.0,0.577,0.577,1.0,0.0,0.577,0.577,2.887,7.572,0.0,3.215,0.577,0.0,0.577,0.0,0.577,0.577,1.732,5.4,15.2,0.0,14.2,6.2,2.0,1.0,1.2,0.4,0.2,0.4,5.0,14.6,0.4,10.2,5.6,0.2,0.6,0.2,0.2,0.6,0.6,6.0,15.0,0.0,15.33,6.67,2.67,1.0,1.0,0.67,0.0,0.33,4.67,15.0,0.67,9.0,4.0,0.0,0.67,0.0,0.33,0.67,1.0,1.949,4.324,0.0,2.387,1.643,1.414,0.707,0.837,0.548,0.447,0.548,2.739,6.148,0.894,3.033,3.782,0.447,0.548,0.447,0.447,0.548,0.894,0.0,5.568,0.0,2.082,1.528,1.155,1.0,1.0,0.577,0.0,0.577,3.786,6.245,1.155,3.606,4.359,0.0,0.577,0.0,0.577,0.577,1.0,Birmingham,5.3,3.4,1.67,2007-11-03,E0,1.0,3.0,H,H,Everton,,,,1.67,,0.268379539251,0.299122929573,0.43249759078,0.261608093164,0.290574657394,0.447817249441,0.354794898301,0.447047279459,0.19815782224,0.320739250763,0.292106946209,0.387153803028,0.269230769231,0.3,0.430769230769,2
4,7236,6.4,11.0,0.2,8.8,4.4,1.2,1.4,3.2,0.0,0.2,0.8,8.6,8.8,0.0,18.0,10.4,0.2,1.4,0.0,0.2,0.8,0.8,7.33,10.67,0.0,12.0,6.0,1.0,2.33,4.33,0.0,0.0,1.0,7.0,8.67,0.0,16.67,10.33,0.33,2.0,0.0,0.0,1.0,0.67,2.793,5.523,0.447,4.604,2.51,0.837,1.673,2.588,0.0,0.447,0.447,2.966,3.633,0.0,5.701,4.278,0.447,1.14,0.0,0.447,0.447,0.837,2.887,6.351,0.0,1.732,1.732,1.0,1.528,2.517,0.0,0.0,0.0,2.646,5.033,0.0,7.371,5.859,0.577,1.0,0.0,0.0,0.0,0.577,7.2,11.4,0.0,12.0,7.2,1.4,2.0,1.4,0.4,0.6,0.0,6.8,9.8,0.2,13.0,8.0,0.6,0.6,0.2,0.6,0.2,1.2,5.0,11.33,0.0,12.67,7.33,1.33,1.67,1.0,0.33,0.67,0.0,6.67,9.0,0.33,13.0,9.0,0.33,0.33,0.0,1.0,0.0,1.33,4.438,3.647,0.0,2.0,1.643,1.342,1.225,1.517,0.548,0.548,0.0,1.095,2.168,0.447,0.0,1.581,0.894,0.548,0.447,0.548,0.447,1.095,3.0,5.132,0.0,1.528,2.082,1.155,1.528,1.732,0.577,0.577,0.0,1.155,1.732,0.577,0.0,1.0,0.577,0.577,0.0,0.0,0.0,1.528,Reading,3.18,3.21,2.19,2007-11-03,E0,1.0,3.0,H,H,Fulham,,,,2.19,,0.290580749512,0.306486308575,0.402932941914,0.266646718245,0.281653749446,0.451699532308,0.150864412296,0.255291465777,0.593844121927,0.250952707431,0.280411606503,0.468635686066,0.258461538462,0.26,0.481538461538,2
5,7237,7.4,10.0,0.0,11.0,5.6,1.6,1.4,2.0,0.0,0.6,0.4,4.8,14.4,0.0,13.6,6.4,0.8,0.8,0.2,0.6,0.2,1.0,6.33,10.67,0.0,10.67,5.67,1.67,1.33,2.0,0.0,0.67,0.33,4.67,14.67,0.0,13.67,6.67,0.67,1.0,0.0,0.67,0.33,0.67,4.827,3.317,0.0,1.225,2.074,1.14,1.14,1.0,0.0,0.548,0.548,0.837,2.302,0.0,5.727,1.949,0.837,0.447,0.447,0.548,0.447,1.0,4.163,4.041,0.0,0.577,1.528,0.577,0.577,1.0,0.0,0.577,0.577,0.577,3.055,0.0,8.083,2.517,0.577,0.0,0.0,0.577,0.577,1.155,3.6,11.6,0.0,7.6,4.6,3.0,1.6,1.4,0.4,0.4,0.2,8.4,12.8,0.0,11.4,5.8,0.6,1.0,0.2,0.4,0.4,2.8,4.33,10.67,0.0,9.67,5.33,2.67,1.33,1.33,0.33,0.33,0.33,8.0,11.67,0.0,12.0,5.33,0.67,1.0,0.33,0.33,0.33,1.67,1.817,2.702,0.0,2.966,1.342,1.225,0.894,0.894,0.548,0.548,0.447,3.435,4.324,0.0,3.362,1.304,0.548,0.707,0.447,0.548,0.548,2.049,2.082,1.528,0.0,1.155,1.155,1.528,1.155,1.155,0.577,0.577,0.577,2.646,5.508,0.0,4.583,1.528,0.577,1.0,0.577,0.577,0.577,1.155,Tottenham,2.45,3.21,2.76,2007-11-03,E0,1.0,1.0,D,A,Middlesbrough,,,,3.21,,0.323161512613,0.287318199873,0.389520257711,0.30595854073,0.262314094544,0.431727364726,0.29198813487,0.364882333081,0.34312953205,0.269279569739,0.274568274567,0.456152155694,0.278461538462,0.275384615385,0.446153846154,1
6,7238,4.4,13.2,0.0,15.0,7.4,2.0,1.2,0.8,0.6,0.0,0.4,6.0,8.8,0.2,11.4,5.6,0.2,0.6,0.2,0.4,0.4,0.8,3.67,14.0,0.0,14.0,7.67,2.0,1.67,0.0,1.0,0.0,0.0,6.0,7.33,0.0,9.67,4.33,0.33,0.0,0.33,0.67,0.0,1.0,1.517,3.271,0.0,1.871,2.191,1.225,0.837,1.304,0.548,0.0,0.548,2.345,4.207,0.447,4.278,4.037,0.447,0.894,0.447,0.548,0.548,0.837,1.528,4.359,0.0,1.0,0.577,1.732,0.577,0.0,0.0,0.0,0.0,2.646,1.528,0.0,3.055,5.132,0.577,0.0,0.577,0.577,0.0,1.0,3.8,14.2,0.2,10.6,5.8,2.4,0.8,2.0,0.0,0.2,0.8,6.2,14.4,0.0,13.6,6.2,0.2,0.8,0.0,0.4,0.6,1.4,4.0,13.67,0.0,11.67,6.0,2.0,1.33,3.0,0.0,0.0,1.0,4.67,13.67,0.0,14.0,7.0,0.33,1.33,0.0,0.0,1.0,1.67,2.168,4.868,0.447,2.191,1.483,1.14,0.837,1.414,0.0,0.447,0.447,3.271,1.817,0.0,5.128,3.194,0.447,0.837,0.0,0.548,0.548,0.894,1.732,6.11,0.0,1.155,2.0,1.0,0.577,0.0,0.0,0.0,0.0,3.512,2.082,0.0,1.732,3.0,0.577,0.577,0.0,0.0,0.0,0.577,Portsmouth,3.43,3.24,2.07,2007-11-03,E0,4.0,1.0,A,A,Newcastle,,,,3.43,,0.318811863661,0.27331200242,0.407876133919,0.344643129513,0.26496684952,0.390390020966,0.459254493897,0.238697823995,0.302047682108,0.298735628969,0.251141784348,0.450122586684,0.313846153846,0.267692307692,0.418461538462,0
7,7239,5.4,11.8,0.2,10.8,5.0,2.0,0.8,1.0,0.4,0.2,0.4,5.6,12.8,0.0,12.8,6.6,0.4,0.4,0.4,0.2,0.4,3.2,4.0,10.67,0.33,9.33,5.0,1.33,1.0,0.67,0.67,0.0,0.33,7.0,12.0,0.0,12.33,6.67,0.67,0.33,0.67,0.0,0.33,2.67,4.722,3.564,0.447,6.611,3.317,1.732,0.837,1.0,0.548,0.447,0.548,2.881,3.899,0.0,4.817,2.074,0.548,0.548,0.548,0.447,0.548,1.643,2.646,3.786,0.577,5.508,3.606,0.577,1.0,1.155,0.577,0.0,0.577,2.646,4.359,0.0,5.033,2.517,0.577,0.577,0.577,0.0,0.577,2.082,4.8,13.0,0.0,10.6,6.0,1.8,0.8,1.0,0.4,0.2,0.4,5.4,8.8,0.0,10.6,3.2,0.2,0.2,0.2,0.6,0.2,1.2,4.0,9.33,0.0,13.0,7.67,1.33,1.33,0.33,0.67,0.33,0.0,5.67,9.33,0.0,10.0,2.33,0.33,0.0,0.33,0.67,0.0,1.67,2.775,5.148,0.0,4.037,3.391,1.304,0.837,1.225,0.548,0.447,0.548,2.191,1.304,0.0,3.209,1.924,0.447,0.447,0.447,0.548,0.447,0.837,2.0,0.577,0.0,2.646,2.517,1.528,0.577,0.577,0.577,0.577,0.0,3.055,1.528,0.0,3.606,2.082,0.577,0.0,0.577,0.577,0.0,0.577,Chelsea,1.41,4.05,7.75,2007-11-03,E0,2.0,0.0,A,A,Wigan,,,,1.41,,0.311998277903,0.32172524929,0.366276502609,0.312007920991,0.289717045685,0.398275033324,0.704456817991,0.228951496298,0.0665916857103,0.380318253148,0.277827839655,0.341853907197,0.3,0.3,0.4,0
8,7279,6.0,13.4,0.0,8.6,4.0,2.6,0.6,1.8,0.0,0.2,0.8,7.4,15.4,0.0,11.6,6.4,0.6,1.2,0.0,0.4,0.6,1.4,5.33,14.33,0.0,7.0,3.33,3.33,0.33,1.33,0.0,0.33,0.67,6.0,15.0,0.0,13.0,6.67,0.33,0.67,0.0,0.67,0.33,1.67,2.121,4.506,0.0,4.98,3.0,1.517,0.548,0.837,0.0,0.447,0.447,2.074,2.302,0.0,4.278,1.517,0.548,0.837,0.0,0.548,0.548,1.14,2.517,6.028,0.0,5.568,3.512,1.528,0.577,0.577,0.0,0.577,0.577,1.0,1.0,0.0,5.196,2.082,0.577,0.577,0.0,0.577,0.577,1.155,6.6,13.6,0.0,14.8,8.4,2.2,1.0,1.4,0.4,0.2,0.4,5.0,12.2,0.0,11.2,4.8,0.4,0.2,0.4,0.4,0.2,1.6,9.67,15.0,0.0,16.0,11.33,1.67,0.67,2.0,0.33,0.0,0.67,4.67,12.33,0.0,11.33,6.0,0.33,0.33,0.33,0.33,0.33,2.33,5.03,2.302,0.0,1.789,4.159,1.095,0.707,1.517,0.548,0.447,0.548,1.225,2.775,0.0,2.049,2.168,0.548,0.447,0.548,0.548,0.447,1.14,3.786,1.732,0.0,0.0,1.155,0.577,0.577,1.732,0.577,0.0,0.577,1.528,3.786,0.0,2.082,1.732,0.577,0.577,0.577,0.577,0.577,0.577,Bolton,4.15,3.28,1.85,2007-11-04,E0,1.0,1.0,D,H,West Ham,,,,3.28,,0.342029809952,0.289501219988,0.36846897006,0.328312753448,0.289780140646,0.381907105906,0.532833035505,0.309557497531,0.157609466964,0.309942103969,0.265465733993,0.424592162039,0.281538461538,0.290769230769,0.427692307692,1
9,7301,4.0,12.2,0.2,10.2,6.0,2.4,1.0,2.4,0.0,0.2,0.8,6.4,10.8,0.0,14.4,6.6,0.4,1.0,0.0,0.4,0.6,1.4,3.67,12.33,0.33,12.67,7.67,2.67,1.67,2.67,0.0,0.33,0.67,7.0,12.0,0.0,15.33,6.67,0.67,1.33,0.0,0.33,0.67,2.0,3.808,4.604,0.447,4.324,3.24,0.894,1.0,0.894,0.0,0.447,0.447,1.14,4.147,0.0,3.782,2.074,0.548,0.707,0.0,0.548,0.548,1.517,2.887,4.163,0.577,2.887,2.082,1.155,0.577,0.577,0.0,0.577,0.577,1.0,5.292,0.0,3.055,1.528,0.577,0.577,0.0,0.577,0.577,1.732,8.2,12.0,0.0,13.6,7.0,1.6,0.4,1.8,0.0,0.0,1.0,5.0,10.8,0.0,12.8,7.8,0.2,1.0,0.0,0.4,0.6,1.6,8.0,11.67,0.0,14.0,9.0,1.67,0.67,2.33,0.0,0.0,1.0,5.67,11.67,0.0,15.33,9.67,0.33,1.33,0.0,0.33,0.67,1.67,1.924,1.581,0.0,2.408,3.317,1.14,0.548,1.095,0.0,0.0,0.0,3.464,3.899,0.0,4.604,4.817,0.447,0.707,0.0,0.548,0.548,1.14,1.0,1.528,0.0,2.646,1.732,1.528,0.577,1.155,0.0,0.0,0.0,2.517,5.033,0.0,3.055,4.933,0.577,0.577,0.0,0.577,0.577,1.528,Sunderland,5.95,3.6,1.57,2007-11-05,E0,0.0,1.0,H,D,Man City,,,,1.57,,0.257960051298,0.261878043413,0.480161845684,0.251581651376,0.232071318918,0.516347029706,0.0285999248699,0.18588023148,0.78551984365,0.222519096877,0.265033152091,0.512447751032,0.289230769231,0.276923076923,0.433846153846,2
