,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_objective,param_reg_alpha,param_scale_pos_weight,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,356.548136592,1.17281714082,-1.03308416144,-0.801292264106,0.6500000000000001,0.97,0.01,6,7,730,multi:softprob,0.9299999999999999,1,0.7500000000000002,"{'reg_alpha': 0.9299999999999999, 'colsample_bytree': 0.6500000000000001, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 7, 'n_estimators': 730, 'subsample': 0.7500000000000002, 'objective': 'multi:softprob', 'max_depth': 6, 'gamma': 0.97}",6,-1.03513002572,-0.802894300607,-1.03890143075,-0.800033684224,-1.03870953744,-0.803199724899,-1.02195613725,-0.800933988289,-1.03484267156,-0.797237958068,-1.03438109704,-0.800194919857,-1.02774853203,-0.803218900517,-1.03299843353,-0.802624636386,6.32777431271,0.228788936699,0.00532467664891,0.00196996250298
1,556.908621341,3.90133327246,-1.03872018337,-0.490352633182,0.6500000000000001,0.4,0.01,8,1,910,multi:softprob,0.03,1,0.9000000000000004,"{'reg_alpha': 0.03, 'colsample_bytree': 0.6500000000000001, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 1, 'n_estimators': 910, 'subsample': 0.9000000000000004, 'objective': 'multi:softprob', 'max_depth': 8, 'gamma': 0.4}",9,-1.0391118975,-0.492089571246,-1.04414458692,-0.490393002137,-1.04586650305,-0.494895726764,-1.02513493614,-0.488711390785,-1.03860870798,-0.484558647278,-1.04076142791,-0.486157003039,-1.03525110512,-0.493320288162,-1.04088319935,-0.492695436042,19.7762258434,1.53876845283,0.00598117653629,0.00338786890363
2,238.431111485,0.501409620047,-1.03625753997,-0.83160511223,0.9000000000000004,0.58,0.01,9,7,190,multi:softprob,0.78,1,0.7500000000000002,"{'reg_alpha': 0.78, 'colsample_bytree': 0.9000000000000004, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 7, 'n_estimators': 190, 'subsample': 0.7500000000000002, 'objective': 'multi:softprob', 'max_depth': 9, 'gamma': 0.58}",7,-1.03932819115,-0.833483541089,-1.04092314537,-0.82896418632,-1.03835618718,-0.832668016405,-1.03041427557,-0.833773501228,-1.03816371337,-0.826722704754,-1.03804664237,-0.831403955025,-1.03188156798,-0.831774291672,-1.03293706199,-0.834050701345,62.5396184322,0.162416666833,0.00365302981592,0.00240370951742
3,136.060031146,0.315914094448,-1.0302045607,-0.907372711345,0.5,0.19,0.01,5,2,520,multi:softprob,0.12,1,0.7500000000000002,"{'reg_alpha': 0.12, 'colsample_bytree': 0.5, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 2, 'n_estimators': 520, 'subsample': 0.7500000000000002, 'objective': 'multi:softprob', 'max_depth': 5, 'gamma': 0.19}",2,-1.03407762475,-0.90809782897,-1.03627254821,-0.906843459763,-1.03543986744,-0.908325194104,-1.02052335478,-0.907480693764,-1.0310910129,-0.90510111139,-1.03087571719,-0.906530795369,-1.02525294587,-0.909019831531,-1.02809464721,-0.907582775868,0.131310392833,0.0149516370475,0.00503999274705,0.00113748116974
4,368.284719408,0.672327458858,-1.03243016747,-0.846657284251,0.9500000000000004,0.45999999999999996,0.01,5,1,760,multi:softprob,0.75,1,0.7000000000000002,"{'reg_alpha': 0.75, 'colsample_bytree': 0.9500000000000004, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 1, 'n_estimators': 760, 'subsample': 0.7000000000000002, 'objective': 'multi:softprob', 'max_depth': 5, 'gamma': 0.45999999999999996}",5,-1.03466123625,-0.848262057633,-1.03849690591,-0.846111467389,-1.03890748692,-0.847371536711,-1.02070981623,-0.846337020601,-1.03394596473,-0.844166771091,-1.03479049714,-0.846479835074,-1.02645645375,-0.847936065071,-1.03146594797,-0.846593520437,1.2688514595,0.129441755684,0.00576255570971,0.00119160759356
5,282.122772098,0.448519766331,-1.03112533023,-0.929996876309,0.9500000000000004,0.55,0.01,4,8,760,multi:softprob,0.44999999999999996,1,0.7500000000000002,"{'reg_alpha': 0.44999999999999996, 'colsample_bytree': 0.9500000000000004, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 8, 'n_estimators': 760, 'subsample': 0.7500000000000002, 'objective': 'multi:softprob', 'max_depth': 4, 'gamma': 0.55}",4,-1.03453395261,-0.930151313605,-1.03723802641,-0.929124924444,-1.03638190892,-0.930690899656,-1.02025851931,-0.930817430325,-1.03160972237,-0.927953915027,-1.03336750241,-0.929878539647,-1.02573638759,-0.93121519862,-1.02986969113,-0.930142789152,0.333527491718,0.123843812117,0.00536937495761,0.000976756264987
6,92.0960989296,0.122073948383,-1.04159317105,-0.946694372116,0.9500000000000004,0.22,0.01,7,4,130,multi:softprob,0.48,1,0.7000000000000002,"{'reg_alpha': 0.48, 'colsample_bytree': 0.9500000000000004, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 4, 'n_estimators': 130, 'subsample': 0.7000000000000002, 'objective': 'multi:softprob', 'max_depth': 7, 'gamma': 0.22}",10,-1.04332992166,-0.947143161253,-1.0449335876,-0.945873025545,-1.04371900419,-0.945329104239,-1.03669694926,-0.947248696055,-1.04315237635,-0.943395938816,-1.04301682296,-0.948314652569,-1.03798985918,-0.947787291332,-1.0399007287,-0.948463107116,0.434388151203,0.0233020239053,0.00280577443267,0.00161536064761
7,147.983521879,0.306780904531,-1.03087989677,-0.947666004677,0.6500000000000001,0.04,0.01,4,3,610,multi:softprob,0.57,1,0.9500000000000004,"{'reg_alpha': 0.57, 'colsample_bytree': 0.6500000000000001, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 610, 'subsample': 0.9500000000000004, 'objective': 'multi:softprob', 'max_depth': 4, 'gamma': 0.04}",3,-1.0339015857,-0.94803462008,-1.03785803135,-0.946717397758,-1.03582712032,-0.948112114069,-1.02205683347,-0.947665229489,-1.03098763065,-0.946008210183,-1.03202981332,-0.947432193671,-1.02503290789,-0.949279326667,-1.02933670291,-0.948078945496,0.473127406961,0.0511393188429,0.00497606122896,0.000922701517696
8,642.478770107,2.50510773063,-1.03867928275,-0.43614716293,0.8000000000000003,0.45999999999999996,0.01,9,2,790,multi:softprob,0.06,1,0.6500000000000001,"{'reg_alpha': 0.06, 'colsample_bytree': 0.8000000000000003, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 2, 'n_estimators': 790, 'subsample': 0.6500000000000001, 'objective': 'multi:softprob', 'max_depth': 9, 'gamma': 0.45999999999999996}",8,-1.03929928425,-0.437306713994,-1.04457777151,-0.437805527092,-1.04362932334,-0.43652337754,-1.02244169082,-0.436725320808,-1.04293823343,-0.429062291081,-1.03989495332,-0.434257626911,-1.03506457057,-0.438659249951,-1.04158996619,-0.438837196061,1.38587410047,0.0882050799033,0.00675109058717,0.00299756462097
9,139.206908882,0.166478991508,-1.0299962954,-0.988553966399,0.8000000000000003,0.16,0.01,3,4,550,multi:softprob,0.72,1,0.6000000000000001,"{'reg_alpha': 0.72, 'colsample_bytree': 0.8000000000000003, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 4, 'n_estimators': 550, 'subsample': 0.6000000000000001, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.16}",1,-1.03266326687,-0.988045414379,-1.03556611969,-0.987597982357,-1.03620080516,-0.988179514608,-1.0193774996,-0.989796757572,-1.03127741302,-0.988058729222,-1.03139743405,-0.988256723752,-1.02489394234,-0.989532406218,-1.02858654005,-0.988964203084,0.483634891325,0.0499449650074,0.00525685180352,0.000734551424185
