,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,pred,prob,prob_less_bet
23053,4.0,12.0,0.0,10.0,4.6,2.2,1.2,1.2,0.4,0.0,0.6,7.2,11.4,0.0,11.0,4.8,0.8,0.6,0.4,0.4,0.2,2.0,3.33,12.33,0.0,10.0,4.0,2.0,1.0,1.33,0.33,0.0,0.67,7.33,10.0,0.0,11.67,6.0,0.67,0.67,0.33,0.33,0.33,1.33,1.225,0.707,0.0,1.414,1.517,0.447,0.447,1.095,0.548,0.0,0.548,1.643,2.608,0.0,4.472,2.49,0.447,0.548,0.548,0.548,0.447,1.414,1.155,0.577,0.0,1.732,1.732,0.0,0.0,1.155,0.577,0.0,0.577,2.082,0.0,0.0,1.528,1.732,0.577,0.577,0.577,0.577,0.577,1.528,4.4,13.4,0.2,8.6,3.6,3.8,1.4,1.6,0.2,0.4,0.4,8.6,9.4,0.0,15.2,6.2,0.8,0.6,0.2,0.8,0.0,1.2,5.67,14.67,0.0,9.0,3.33,4.67,1.33,1.67,0.33,0.0,0.67,7.0,9.67,0.0,16.67,6.67,0.33,0.33,0.0,1.0,0.0,1.0,2.966,3.647,0.447,1.517,1.517,2.168,0.548,0.548,0.447,0.548,0.548,3.647,3.05,0.0,5.357,2.168,0.837,0.548,0.447,0.447,0.0,0.837,3.055,3.786,0.0,1.732,0.577,2.517,0.577,0.577,0.577,0.0,0.577,1.0,3.055,0.0,6.351,2.517,0.577,0.577,0.0,0.0,0.0,1.0,Fleetwood Town,3.82,3.5,1.92,2016-11-01,E2,1.0,2.0,H,A,Bristol Rvs,4.13,3.74,1.94,0.92,True,0.523738698691,0.00290536535756
23055,3.6,12.2,0.0,8.8,2.0,1.0,0.8,2.0,0.2,0.2,0.6,4.4,11.8,0.0,13.4,5.0,0.4,0.6,0.4,0.2,0.4,1.2,2.67,12.33,0.0,6.0,1.67,1.0,0.33,2.33,0.0,0.33,0.67,5.33,10.0,0.0,13.67,6.0,0.0,1.0,0.0,0.33,0.67,0.33,2.074,2.387,0.0,7.759,1.581,1.0,0.837,1.581,0.447,0.447,0.548,2.191,4.97,0.0,4.099,3.082,0.548,0.894,0.548,0.447,0.548,1.304,2.082,3.215,0.0,5.196,2.082,1.0,0.577,1.528,0.0,0.577,0.577,2.517,5.568,0.0,4.163,1.732,0.0,1.0,0.0,0.577,0.577,0.577,3.4,17.0,0.2,10.4,2.8,2.4,0.8,1.8,0.2,0.0,0.8,6.0,11.8,0.0,13.4,4.6,0.2,0.6,0.0,0.6,0.4,1.6,4.67,17.67,0.0,12.33,3.0,2.67,0.33,2.0,0.0,0.0,1.0,5.0,10.33,0.0,11.67,4.67,0.0,0.67,0.0,0.33,0.67,1.67,2.074,4.583,0.447,3.507,0.837,2.191,0.837,0.447,0.447,0.0,0.447,2.55,3.768,0.0,3.362,1.817,0.447,0.548,0.0,0.548,0.548,1.14,1.528,2.082,0.0,3.215,1.0,2.887,0.577,0.0,0.0,0.0,0.0,1.732,2.082,0.0,3.215,2.517,0.0,0.577,0.0,0.577,0.577,0.577,M'gladbach,2.98,3.2,2.51,2016-11-04,D1,0.0,3.0,H,H,Hertha,3.06,3.33,2.54,1.51,True,0.562459378101,0.164053003599
23057,4.0,15.2,0.2,7.8,2.8,1.4,1.2,1.8,0.0,0.4,0.6,5.2,8.0,0.0,15.8,4.8,0.4,0.6,0.0,0.8,0.2,0.8,3.67,15.33,0.33,5.67,2.0,1.0,1.0,1.33,0.0,0.67,0.33,5.33,7.0,0.0,15.67,4.33,0.33,0.33,0.0,1.0,0.0,0.67,2.739,5.357,0.447,5.02,1.924,1.14,0.837,1.304,0.0,0.548,0.548,2.387,2.915,0.0,2.168,1.483,0.548,0.548,0.0,0.447,0.447,0.837,3.512,7.572,0.577,4.933,2.0,1.0,1.0,1.528,0.0,0.577,0.577,3.215,3.606,0.0,2.309,1.155,0.577,0.577,0.0,0.0,0.0,0.577,3.2,13.2,0.0,9.8,3.2,1.6,1.0,1.2,0.2,0.4,0.4,5.8,13.4,0.2,13.4,4.4,0.4,0.6,0.2,0.4,0.4,1.0,3.33,12.67,0.0,8.33,4.0,1.33,1.33,1.33,0.33,0.33,0.33,6.0,15.0,0.33,14.0,4.67,0.67,0.33,0.33,0.67,0.0,1.0,1.304,5.215,0.0,3.493,1.304,1.14,0.707,1.095,0.447,0.548,0.548,1.304,3.209,0.447,2.302,1.949,0.548,0.548,0.447,0.548,0.548,0.707,1.528,7.024,0.0,4.041,1.0,1.528,0.577,1.528,0.577,0.577,0.577,1.0,2.646,0.577,2.646,2.517,0.577,0.577,0.577,0.577,0.0,1.0,Marseille,2.82,3.12,2.64,2016-11-04,F1,1.0,3.0,H,H,Montpellier,2.95,3.16,2.75,1.64,True,0.543186266799,0.164398388011
23058,3.4,13.4,0.0,6.2,1.6,2.2,0.4,1.8,0.0,0.4,0.6,5.4,13.4,0.0,16.0,4.2,0.0,0.8,0.0,0.6,0.4,1.4,2.33,15.33,0.0,4.67,2.0,2.67,0.67,1.33,0.0,0.33,0.67,7.33,14.33,0.0,16.33,4.0,0.0,0.33,0.0,0.67,0.33,2.0,2.191,7.266,0.0,2.775,0.894,1.304,0.548,2.049,0.0,0.548,0.548,4.037,3.286,0.0,3.674,2.588,0.0,1.304,0.0,0.548,0.548,1.673,2.082,9.452,0.0,2.082,1.0,1.528,0.577,1.155,0.0,0.577,0.577,4.041,3.786,0.0,4.509,2.646,0.0,0.577,0.0,0.577,0.577,2.0,5.0,15.0,0.2,10.6,3.6,2.8,1.0,1.8,0.2,0.2,0.6,6.6,11.4,0.2,16.4,4.6,0.8,0.6,0.4,0.4,0.2,2.8,5.0,13.0,0.33,11.0,3.0,3.33,0.67,2.67,0.0,0.0,1.0,6.33,12.67,0.33,17.67,5.67,0.67,1.0,0.33,0.33,0.33,3.33,2.55,4.183,0.447,2.966,1.949,1.095,0.707,1.483,0.447,0.447,0.548,1.673,4.722,0.447,4.278,2.408,0.837,0.894,0.548,0.548,0.447,2.387,3.0,2.0,0.577,3.606,2.0,0.577,0.577,1.155,0.0,0.0,0.0,1.155,6.028,0.577,5.508,2.517,0.577,1.0,0.577,0.577,0.577,3.215,Sp Gijon,5.38,3.64,1.71,2016-11-04,SP1,2.0,3.0,H,D,Malaga,5.83,3.79,1.71,0.71,True,0.62962416802,0.0448288463829
23060,4.8,18.6,0.0,17.0,6.0,1.8,2.0,1.4,0.4,0.4,0.2,5.2,16.6,0.4,12.6,3.8,0.8,1.0,0.4,0.2,0.4,1.2,4.67,19.0,0.0,16.67,7.0,1.33,2.0,0.67,0.67,0.33,0.0,5.0,14.67,0.33,12.0,3.0,1.0,0.0,0.67,0.33,0.0,0.67,1.095,2.408,0.0,3.24,2.345,0.837,1.581,1.517,0.548,0.548,0.447,2.775,6.309,0.548,4.45,1.924,0.837,1.732,0.548,0.447,0.548,1.095,1.528,2.646,0.0,3.786,2.646,0.577,1.0,0.577,0.577,0.577,0.0,3.0,8.083,0.577,6.0,2.0,1.0,0.0,0.577,0.577,0.0,0.577,2.4,11.4,0.0,5.4,2.2,1.2,0.4,3.0,0.0,0.2,0.8,7.4,8.4,0.0,19.4,6.8,0.2,1.4,0.0,0.2,0.8,0.6,2.0,10.67,0.0,3.33,1.33,1.0,0.33,2.0,0.0,0.33,0.67,8.0,5.67,0.0,20.0,5.0,0.0,1.33,0.0,0.0,1.0,0.67,1.673,3.507,0.0,4.393,1.789,0.837,0.548,1.871,0.0,0.447,0.447,1.949,5.771,0.0,7.436,4.266,0.447,0.548,0.0,0.447,0.447,0.548,1.0,1.528,0.0,1.528,1.155,1.0,0.577,1.0,0.0,0.577,0.577,2.0,2.887,0.0,6.083,2.0,0.0,0.577,0.0,0.0,0.0,0.577,Hoffenheim,12.84,7.31,1.2,2016-11-05,D1,1.0,1.0,D,D,Bayern Munich,13.85,8.08,1.21,-1.0,True,0.562003132847,-0.271330200486
23061,3.4,11.4,0.0,9.2,4.6,1.4,1.4,1.2,0.2,0.6,0.2,6.4,9.8,0.0,17.8,5.4,0.6,0.8,0.2,0.4,0.4,1.6,4.0,12.33,0.0,8.0,3.0,1.33,1.67,1.33,0.33,0.33,0.33,7.33,9.67,0.0,19.33,6.0,0.33,1.0,0.0,0.33,0.67,1.67,1.517,3.975,0.0,4.324,2.881,1.14,1.14,0.837,0.447,0.548,0.447,3.286,5.167,0.0,5.718,2.074,0.894,0.447,0.447,0.548,0.548,0.548,1.0,3.512,0.0,2.646,1.732,0.577,1.155,0.577,0.577,0.577,0.577,3.055,6.658,0.0,7.095,2.646,0.577,0.0,0.0,0.577,0.577,0.577,4.0,13.0,0.0,10.2,3.4,2.2,1.2,1.8,0.0,0.4,0.6,3.4,17.2,0.4,11.6,4.8,0.4,1.0,0.0,0.4,0.6,3.2,3.33,12.67,0.0,9.0,4.0,2.0,2.0,2.33,0.0,0.67,0.33,2.33,18.33,0.33,13.67,5.33,0.67,1.0,0.0,0.67,0.33,3.0,2.0,1.581,0.0,3.564,1.14,1.483,1.304,0.837,0.0,0.548,0.548,2.302,4.324,0.548,3.975,1.789,0.548,0.707,0.0,0.548,0.548,1.304,2.517,1.528,0.0,4.359,1.0,2.0,1.0,0.577,0.0,0.577,0.577,1.528,3.512,0.577,3.055,2.309,0.577,1.0,0.0,0.577,0.577,1.0,FC Koln,2.86,3.15,2.61,2016-11-05,D1,0.0,1.0,H,H,Ein Frankfurt,2.96,3.2,2.7,1.61,True,0.510478641573,0.127336879121
23065,4.0,17.2,0.6,8.0,2.2,2.0,0.6,2.4,0.2,0.0,0.8,7.6,12.6,0.0,18.4,7.4,0.2,0.8,0.0,0.4,0.6,2.2,4.67,16.33,0.67,7.0,1.67,2.0,0.33,3.0,0.0,0.0,1.0,7.33,11.33,0.0,18.0,8.33,0.0,0.67,0.0,0.33,0.67,1.67,2.449,3.271,0.548,3.808,1.643,1.414,0.894,2.074,0.447,0.0,0.447,3.507,5.595,0.0,3.578,3.975,0.447,0.447,0.0,0.548,0.548,1.304,2.517,2.517,0.577,4.359,2.082,1.732,0.577,2.646,0.0,0.0,0.0,4.509,6.658,0.0,4.583,4.933,0.0,0.577,0.0,0.577,0.577,1.528,4.0,14.4,0.0,11.2,4.2,1.2,1.2,1.6,0.2,0.2,0.6,3.6,14.2,0.2,11.2,4.8,0.4,0.6,0.2,0.4,0.4,1.6,5.0,13.33,0.0,9.67,4.67,1.33,1.0,0.67,0.33,0.33,0.33,4.0,13.67,0.33,10.33,4.33,0.33,0.33,0.33,0.33,0.33,1.67,3.0,5.03,0.0,6.535,2.49,0.447,1.304,1.517,0.447,0.447,0.548,2.074,5.541,0.447,3.564,2.168,0.548,0.894,0.447,0.548,0.548,2.074,3.464,5.508,0.0,4.509,3.055,0.577,1.732,1.155,0.577,0.577,0.577,2.646,7.506,0.577,4.041,2.887,0.577,0.577,0.577,0.577,0.577,2.887,Darmstadt,12.04,5.82,1.26,2016-11-05,D1,2.0,3.0,H,H,Leverkusen,12.44,6.28,1.28,0.26,True,0.580859176021,-0.21279161763
23066,3.6,12.8,0.2,7.8,2.0,3.0,0.4,1.4,0.0,0.2,0.8,8.0,10.6,0.0,20.2,5.8,0.0,0.6,0.0,0.6,0.4,1.4,2.33,14.0,0.33,9.0,1.67,3.67,0.0,1.33,0.0,0.0,1.0,8.67,9.0,0.0,23.0,6.0,0.0,0.67,0.0,0.67,0.33,1.33,2.074,2.95,0.447,2.588,0.707,1.871,0.548,0.548,0.0,0.447,0.447,3.674,2.881,0.0,6.261,2.387,0.0,0.894,0.0,0.548,0.548,0.548,1.528,1.732,0.577,2.646,0.577,2.309,0.0,0.577,0.0,0.0,0.0,4.619,1.732,0.0,7.0,3.0,0.0,1.155,0.0,0.577,0.577,0.577,3.6,12.8,0.0,12.6,3.8,2.6,0.8,1.8,0.2,0.2,0.6,6.2,8.8,0.0,12.6,4.0,0.4,0.8,0.2,0.4,0.4,1.0,3.67,14.33,0.0,13.33,3.33,3.0,0.33,2.33,0.0,0.33,0.67,5.67,9.33,0.0,14.0,4.0,0.33,1.33,0.0,0.33,0.67,1.33,1.14,2.168,0.0,2.074,2.049,1.14,1.304,2.387,0.447,0.447,0.548,2.387,1.304,0.0,5.55,3.742,0.548,1.304,0.447,0.548,0.548,1.0,0.577,0.577,0.0,2.517,1.155,1.0,0.577,3.215,0.0,0.577,0.577,1.155,1.155,0.0,7.211,5.196,0.577,1.528,0.0,0.577,0.577,1.155,Sunderland,5.59,4.05,1.62,2016-11-05,E0,2.0,1.0,A,D,Bournemouth,5.78,4.27,1.63,-1.0,True,0.678081964773,0.060798014156
23068,4.0,11.2,0.0,13.8,5.6,1.8,1.4,1.0,0.4,0.2,0.4,6.4,12.0,0.0,12.4,3.6,0.2,0.6,0.0,0.6,0.4,1.6,4.0,12.67,0.0,12.0,4.0,2.33,0.67,1.33,0.0,0.33,0.67,6.67,11.0,0.0,13.33,4.0,0.0,0.67,0.0,0.33,0.67,1.33,2.55,3.114,0.0,6.979,3.362,0.837,1.14,0.707,0.548,0.447,0.548,4.099,3.937,0.0,3.847,2.702,0.447,0.548,0.0,0.548,0.548,1.14,3.606,3.215,0.0,8.544,3.464,0.577,0.577,0.577,0.0,0.577,0.577,5.686,4.583,0.0,5.132,3.606,0.0,0.577,0.0,0.577,0.577,1.155,4.4,13.4,0.0,9.4,2.6,1.6,0.6,2.6,0.2,0.0,0.8,7.0,8.2,0.0,16.0,6.4,0.4,1.2,0.2,0.2,0.6,2.4,5.33,14.0,0.0,11.33,3.33,1.33,0.67,2.67,0.33,0.0,0.67,6.33,6.33,0.0,14.0,5.33,0.67,1.33,0.33,0.0,0.67,1.67,2.191,3.209,0.0,4.827,2.51,0.548,0.894,1.14,0.447,0.0,0.447,1.581,4.382,0.0,3.742,2.191,0.894,1.095,0.447,0.447,0.548,1.673,1.528,2.646,0.0,5.686,2.887,0.577,1.155,1.528,0.577,0.0,0.577,1.528,0.577,0.0,2.0,1.155,1.155,1.155,0.577,0.0,0.577,1.155,Everton,6.23,4.22,1.56,2016-11-05,E0,0.0,5.0,H,H,Chelsea,6.47,4.37,1.57,0.56,True,0.531098463856,-0.10992717717
23069,3.2,13.0,0.0,8.4,2.4,1.6,0.8,1.0,0.2,0.6,0.2,6.2,9.4,0.0,14.0,4.0,0.6,0.6,0.2,0.6,0.2,1.4,3.67,13.33,0.0,9.0,2.33,1.33,0.67,1.33,0.0,0.67,0.33,6.0,8.0,0.0,13.0,4.33,0.33,1.0,0.0,0.67,0.33,1.67,1.483,1.581,0.0,1.673,1.517,1.342,0.837,1.225,0.447,0.548,0.447,1.789,3.647,0.0,4.359,1.871,0.894,1.342,0.447,0.548,0.447,0.548,1.155,1.528,0.0,2.0,2.082,1.528,0.577,1.528,0.0,0.577,0.577,2.0,4.359,0.0,5.292,2.082,0.577,1.732,0.0,0.577,0.577,0.577,3.8,10.8,0.0,6.2,2.2,2.2,0.8,2.2,0.0,0.4,0.6,8.4,8.4,0.2,18.2,6.4,0.2,1.0,0.2,0.2,0.6,1.2,3.0,10.0,0.0,5.0,2.0,2.0,0.67,2.0,0.0,0.67,0.33,9.33,8.67,0.33,17.67,7.67,0.33,0.67,0.33,0.33,0.33,1.33,1.924,1.924,0.0,2.168,0.447,0.837,0.447,1.304,0.0,0.548,0.548,3.435,2.608,0.447,3.194,3.647,0.447,1.0,0.447,0.447,0.548,1.095,2.0,1.0,0.0,1.732,0.0,1.0,0.577,1.732,0.0,0.577,0.577,4.041,2.082,0.577,3.215,4.509,0.577,1.155,0.577,0.577,0.577,1.528,Middlesbrough,14.35,6.6,1.22,2016-11-05,E0,1.0,1.0,D,H,Man City,14.22,7.16,1.23,-1.0,True,0.690074883098,-0.12959724805
