,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.6963317231,0.512776494038
0,0.00025673941127,151,-13.6651142464,0.524498452954
0,0.00051347882254,140,-13.6651142464,0.524498452954
0,0.000770218204707,127,-13.6651142464,0.524498452954
0,0.00102695764508,120,-13.6588707221,0.519434388535
0,0.00128369708546,115,-13.6588707221,0.519434388535
0,0.00154043640941,109,-13.6588707221,0.519434388535
0,0.00179717584979,106,-13.6588707221,0.519434388535
0,0.00205391529016,102,-13.6588707221,0.519434388535
0,0.00231065461412,97,-13.6901062699,0.44340931738
0,0.00256739417091,89,-13.6744905742,0.455835009198
0,0.00282413349487,85,-13.6651255407,0.442748820617
0,0.00308087281883,83,-13.7181956776,0.463648418181
0,0.00333761237562,79,-13.6713691373,0.431946449231
0,0.00359435169958,73,-13.6776278049,0.47693085018
0,0.00385109125637,69,-13.6027050802,0.428027393696
0,0.00410783058032,64,-13.5902178871,0.428336325423
0,0.00436457013711,61,-13.6838641912,0.444481957742
0,0.00462130922824,60,-13.6838641912,0.444481957742
0,0.00487804878503,58,-13.6557680791,0.442680693037
0,0.00513478834182,56,-13.6557680791,0.442680693037
0,0.00539152743295,53,-13.6838626012,0.433470521828
0,0.00564826698974,52,-13.6838626012,0.433470521828
0,0.00590500654653,49,-13.6183244264,0.454965940065
0,0.00616174563766,48,-13.6183244264,0.454965940065
0,0.00641848519444,46,-13.6183244264,0.454965940065
0,0.00667522475123,44,-13.5652539282,0.388111932006
0,0.00693196384236,43,-13.5683776961,0.389047466734
0,0.00718870339915,40,-13.6651614663,0.385776110917
0,0.00744544295594,38,-13.5964593877,0.434013801215
0,0.00770218251273,37,-13.5777298992,0.448031019664
0,0.00795892160386,36,-13.5652424893,0.451790828143
0,0.00847240071744,34,-13.624573643,0.485047056491
0,0.00872914027423,33,-13.624573643,0.485047056491
0,0.00898587889969,32,-13.6994959343,0.473135898393
0,0.00924261845648,30,-13.6745218373,0.488443473383
0,0.00949935801327,29,-13.6745214037,0.466398369707
0,0.00975609757006,28,-13.6932650958,0.471861944706
0,0.0100128371269,27,-13.6932650958,0.471861944706
0,0.0102695766836,26,-13.6995091982,0.473700678735
0,0.0105263162404,25,-13.7213620751,0.474781823202
0,0.0112965339795,24,-13.733845112,0.396875650311
0,0.0118100130931,23,-13.7026272739,0.405234898295
0,0.0120667526498,22,-13.7088707259,0.400084612391
0,0.0123234912753,21,-13.6901097759,0.456710615826
0,0.0125802308321,20,-13.6495298315,0.469669281758
0,0.0138639276847,19,-13.7088458422,0.458630800974
0,0.0154043650255,18,-13.7431829308,0.462754643126
0,0.0159178432077,17,-13.7400611326,0.456945603809
0,0.0161745827645,16,-13.733817536,0.453537216806
0,0.018485236913,15,-13.7213492811,0.415285885767
0,0.0192554555833,14,-13.6557800786,0.542561510913
0,0.0207958929241,13,-13.7431862918,0.40522856469
0,0.0220795888454,12,-13.7744028828,0.478840766966
0,0.022593067959,11,-13.7244514903,0.366595692578
0,0.0241335052997,10,-13.7588015541,0.280820944462
0,0.0243902429938,9,-13.771284609,0.48853832149
0,0.0272143781185,8,-13.8399479433,0.415790171076
0,0.028241334483,7,-13.7150700845,0.464907887784
0,0.0333761237562,6,-13.8680583497,0.34814660111
0,0.0397946089506,4,-13.9742321458,0.479394350757
0,0.0415917858481,3,-14.3488548776,0.29682592518
0,0.0472400523722,2,-15.0668538294,0.232303049877
0,0.0539152771235,1,-15.4977229091,0.197313927584
