,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.7150165001,0.724255454895
0,0.00025673941127,151,-13.8243187263,0.520891871931
0,0.00051347882254,140,-13.8086792673,0.628833183311
0,0.000770218204707,127,-13.8056097121,0.52510312692
0,0.00102695764508,120,-13.7556351341,0.515586687503
0,0.00128369708546,115,-13.8055794791,0.573555376099
0,0.00154043640941,109,-13.6994170502,0.621620313752
0,0.00179717584979,106,-13.8149514339,0.68648377396
0,0.00205391529016,102,-13.7306550738,0.599184014089
0,0.00231065461412,97,-13.6900797021,0.669640721182
0,0.00256739417091,89,-13.7368663956,0.782407776257
0,0.00282413349487,85,-13.6088887681,0.668097648753
0,0.00308087281883,83,-13.6432218446,0.687399888625
0,0.00333761237562,79,-13.5932910713,0.660970997351
0,0.00359435169958,73,-13.5652035426,0.613141319192
0,0.00385109125637,69,-13.6026651401,0.599027093649
0,0.00410783058032,64,-13.5308396552,0.601504601386
0,0.00436457013711,61,-13.5370991362,0.566882552572
0,0.00462130922824,60,-13.5527095914,0.556059310739
0,0.00487804878503,58,-13.5589474232,0.55033177589
0,0.00513478834182,56,-13.5027576747,0.57954435337
0,0.00539152743295,53,-13.5964061653,0.524155011157
0,0.00564826698974,52,-13.5620546567,0.576142237323
0,0.00590500654653,49,-13.5308303309,0.602626005474
0,0.00616174563766,48,-13.5558066146,0.617950214896
0,0.00641848519444,46,-13.5089892543,0.546259640837
0,0.00667522475123,44,-13.4777698078,0.555826122016
0,0.00693196384236,43,-13.4402977292,0.577206870753
0,0.00718870339915,40,-13.4527866751,0.541620092964
0,0.00744544295594,38,-13.4652697117,0.535489776227
0,0.00770218251273,37,-13.4746404193,0.526102836826
0,0.00795892160386,36,-13.4746355401,0.52183787839
0,0.00847240071744,34,-13.4683909318,0.569670731852
0,0.00872914027423,33,-13.47775414,0.585959408095
0,0.00898587889969,32,-13.4746322695,0.577665933222
0,0.00924261845648,30,-13.4403004938,0.602107285299
0,0.00949935801327,29,-13.3997425423,0.516968071859
0,0.00975609757006,28,-13.4184841926,0.482368824235
0,0.0100128371269,27,-13.4247323069,0.487493994146
0,0.0102695766836,26,-13.4309758312,0.474963772074
0,0.0105263162404,25,-13.3747863717,0.47025533074
0,0.0112965339795,24,-13.3872785162,0.459614183072
0,0.0118100130931,23,-13.3935172335,0.493784165394
0,0.0120667526498,22,-13.4184871744,0.515096141577
0,0.0123234912753,21,-13.4309666511,0.494355908741
0,0.0125802308321,20,-13.5089922362,0.582633773527
0,0.0138639276847,19,-13.4840174165,0.573647299811
0,0.0154043650255,18,-13.4434345449,0.584406438523
0,0.0159178432077,17,-13.424699599,0.605611757506
0,0.0161745827645,16,-13.4184558579,0.603786258547
0,0.018485236913,15,-13.468408497,0.628084582768
0,0.0192554555833,14,-13.4902790111,0.602380109032
0,0.0207958929241,13,-13.5121287619,0.578464718928
0,0.0220795888454,12,-13.5339825967,0.604234136766
0,0.022593067959,11,-13.5089994642,0.640193161056
0,0.0241335052997,10,-13.5058780995,0.643637360886
0,0.0243902429938,9,-13.4965198429,0.642106196254
0,0.0272143781185,8,-13.5277385666,0.707927275964
0,0.028241334483,7,-13.4965374448,0.540674468107
0,0.0333761237562,6,-13.5777043625,0.508289254968
0,0.0397946089506,4,-13.7993775736,0.60757269336
0,0.0415917858481,3,-14.5268552195,0.391189579809
0,0.0472400523722,2,-15.0794178874,0.252244661497
0,0.0539152771235,1,-15.6320346615,0.382991249613
