,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.412216512,0.490205484865
0,0.00025673941127,151,-13.5870343241,0.498774574475
0,0.00051347882254,140,-13.56832175,0.442098826106
0,0.000770218204707,127,-13.6089020551,0.617673147255
0,0.00102695764508,120,-13.5152542333,0.505588905034
0,0.00128369708546,115,-13.5776820492,0.560914541137
0,0.00154043640941,109,-13.5464820654,0.47799485827
0,0.00179717584979,106,-13.5121046782,0.483061112365
0,0.00205391529016,102,-13.5246186701,0.388589239647
0,0.00231065461412,97,-13.4715491839,0.519853279189
0,0.00256739417091,89,-13.5214921375,0.466495251056
0,0.00282413349487,85,-13.4247066148,0.443301771536
0,0.00308087281883,83,-13.4559761899,0.476720463402
0,0.00333761237562,79,-13.3778728643,0.394846819681
0,0.00359435169958,73,-13.3903711164,0.360754495287
0,0.00385109125637,69,-13.3997124582,0.479095665543
0,0.00410783058032,64,-13.4777843955,0.396562648776
0,0.00436457013711,61,-13.490245783,0.412920041641
0,0.00462130922824,60,-13.4278051552,0.448701944604
0,0.00487804878503,58,-13.3810119016,0.412233761676
0,0.00513478834182,56,-13.3466290759,0.407888281503
0,0.00539152743295,53,-13.3341580378,0.511028132294
0,0.00564826698974,52,-13.4278266417,0.29190329278
0,0.00590500654653,49,-13.4777809619,0.384026849232
0,0.00616174563766,48,-13.5901761266,0.445606280641
0,0.00641848519444,46,-13.3903515814,0.486729037467
0,0.00667522475123,44,-13.4621551281,0.421091037631
0,0.00693196384236,43,-13.4528219361,0.534389104899
0,0.00718870339915,40,-13.4840206729,0.407336634404
0,0.00744544295594,38,-13.4527987691,0.354446521436
0,0.00770218251273,37,-13.4528013169,0.458477636499
0,0.00795892160386,36,-13.4527782041,0.461366402802
0,0.00847240071744,34,-13.4777749622,0.416277450061
0,0.00872914027423,33,-13.4028590863,0.34797991903
0,0.00898587889969,32,-13.5183706643,0.428898373882
0,0.00924261845648,30,-13.5620816589,0.467067178553
0,0.00949935801327,29,-13.4184607951,0.474022011024
0,0.00975609757006,28,-13.5776994687,0.394140259432
0,0.0100128371269,27,-13.4496906503,0.434842744629
0,0.0102695766836,26,-13.552719679,0.419113550582
0,0.0105263162404,25,-13.5339966782,0.470458214542
0,0.0112965339795,24,-13.4684131995,0.510697105523
0,0.0118100130931,23,-13.5027574983,0.459322775509
0,0.0120667526498,22,-13.4933912179,0.473298186966
0,0.0123234912753,21,-13.4340801956,0.410360329741
0,0.0125802308321,20,-13.5090234486,0.56535414197
0,0.0138639276847,19,-13.4621697476,0.462189560805
0,0.0154043650255,18,-13.3435562495,0.455978264867
0,0.0159178432077,17,-13.3185867422,0.597889402771
0,0.0161745827645,16,-13.4871921299,0.488473377991
0,0.018485236913,15,-13.3872679851,0.37066443128
0,0.0192554555833,14,-13.4372056799,0.504526828012
0,0.0207958929241,13,-13.4060115867,0.504844064225
0,0.0220795888454,12,-13.5402079815,0.505193384057
0,0.022593067959,11,-13.5433459533,0.442299347064
0,0.0241335052997,10,-13.530866838,0.47679001003
0,0.0243902429938,9,-13.6651215118,0.523051471298
0,0.0272143781185,8,-13.7025702784,0.441414415737
0,0.028241334483,7,-13.833682372,0.48848957757
0,0.0333761237562,6,-13.9585524771,0.428411953341
0,0.0397946089506,4,-14.4206688311,0.434646099156
0,0.0415917858481,3,-15.3916355389,0.384867505138
0,0.0472400523722,2,-16.1034602983,0.463992650336
0,0.0539152771235,1,-15.6757367734,0.316656704817
