,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.9367826867,0.44178462326
0,0.00025673941127,151,-13.9274123405,0.349418679983
0,0.00051347882254,140,-13.8150384454,0.408244415146
0,0.000770218204707,127,-13.7775595361,0.417564721055
0,0.00102695764508,120,-13.861862564,0.38667562764
0,0.00128369708546,115,-13.7869385382,0.405413938497
0,0.00154043640941,109,-13.7213596496,0.437150025391
0,0.00179717584979,106,-13.7494555988,0.371858315062
0,0.00205391529016,102,-13.7869103291,0.403683075958
0,0.00231065461412,97,-13.7994021844,0.463817363492
0,0.00256739417091,89,-13.7244713823,0.495517551163
0,0.00282413349487,85,-13.7681735041,0.554290419987
0,0.00308087281883,83,-13.6994947374,0.561322155291
0,0.00333761237562,79,-13.7931588958,0.52324839103
0,0.00359435169958,73,-13.7182264129,0.587627762166
0,0.00385109125637,69,-13.6713881629,0.590990193624
0,0.00410783058032,64,-13.6433103569,0.5500837151
0,0.00436457013711,61,-13.6183254174,0.566127968839
0,0.00462130922824,60,-13.6276858425,0.581604308457
0,0.00487804878503,58,-13.6339472207,0.55757421071
0,0.00513478834182,56,-13.6464157645,0.626731162471
0,0.00539152743295,53,-13.5183963206,0.610693107155
0,0.00564826698974,52,-13.5340044448,0.628615503479
0,0.00590500654653,49,-13.4902810717,0.52895885512
0,0.00616174563766,48,-13.487167405,0.621815558868
0,0.00641848519444,46,-13.5433480457,0.603641679985
0,0.00667522475123,44,-13.4247323608,0.579714838418
0,0.00693196384236,43,-13.462203626,0.534786089285
0,0.00718870339915,40,-13.4403595678,0.539606666109
0,0.00744544295594,38,-13.4590835809,0.59677228393
0,0.00770218251273,37,-13.4778141536,0.592342574738
0,0.00795892160386,36,-13.4622031924,0.594174095118
0,0.00847240071744,34,-13.4965470575,0.605372054631
0,0.00872914027423,33,-13.4934253314,0.58890255258
0,0.00898587889969,32,-13.4091299832,0.528702720108
0,0.00924261845648,30,-13.3747920277,0.544457654057
0,0.00949935801327,29,-13.4372431362,0.529098271598
0,0.00975609757006,28,-13.4341108568,0.56404915657
0,0.0100128371269,27,-13.4341063391,0.546681155905
0,0.0102695766836,26,-13.5059382211,0.554750610922
0,0.0105263162404,25,-13.4278851686,0.57759358049
0,0.0112965339795,24,-13.377920801,0.595167170713
0,0.0118100130931,23,-13.3279533979,0.581548390077
0,0.0120667526498,22,-13.3466835185,0.582401924935
0,0.0123234912753,21,-13.3248564471,0.551422610374
0,0.0125802308321,20,-13.3872870273,0.580666013219
0,0.0138639276847,19,-13.4216275676,0.570256097543
0,0.0154043650255,18,-13.3904100186,0.54907845658
0,0.0159178432077,17,-13.3373326896,0.518048352609
0,0.0161745827645,16,-13.281126967,0.524404281538
0,0.018485236913,15,-13.3498150585,0.511256973402
0,0.0192554555833,14,-13.3997594038,0.492123826513
0,0.0207958929241,13,-13.4059823456,0.554703434493
0,0.0220795888454,12,-13.5215243007,0.509623132496
0,0.022593067959,11,-13.4902833139,0.549328421386
0,0.0241335052997,10,-13.4965366153,0.569910210885
0,0.0243902429938,9,-13.4621702706,0.521311934049
0,0.0272143781185,8,-13.6089073311,0.507502175662
0,0.028241334483,7,-13.6151425794,0.446743129084
0,0.0333761237562,6,-13.7181973779,0.524833320635
0,0.0397946089506,4,-13.7150722366,0.598841196274
0,0.0415917858481,3,-14.2646016151,0.307817066735
0,0.0472400523722,2,-15.0575513521,0.204471753125
0,0.0539152771235,1,-15.7538205418,0.405665189598
