,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.5995309855,0.578633084632
0,0.00025673941127,151,-13.8274553652,0.49661472874
0,0.00051347882254,140,-13.7306860884,0.376432933486
0,0.000770218204707,127,-13.7369007709,0.376973806954
0,0.00102695764508,120,-13.6900972533,0.563763203913
0,0.00128369708546,115,-13.824331959,0.538451727984
0,0.00154043640941,109,-13.7275558326,0.409695903254
0,0.00179717584979,106,-13.7493865542,0.423541768952
0,0.00205391529016,102,-13.6307785321,0.48233464925
0,0.00231065461412,97,-13.7494239256,0.360290240387
0,0.00256739417091,89,-13.7962159505,0.452027286489
0,0.00282413349487,85,-13.6401543538,0.591720955932
0,0.00308087281883,83,-13.5683218567,0.570486913811
0,0.00333761237562,79,-13.6151540901,0.454248470454
0,0.00359435169958,73,-13.7400806134,0.307665176167
0,0.00385109125637,69,-13.5901807696,0.471597291572
0,0.00410783058032,64,-13.7525628367,0.490847918745
0,0.00436457013711,61,-13.5932808649,0.544344519569
0,0.00462130922824,60,-13.6463907037,0.350967345519
0,0.00487804878503,58,-13.6120659395,0.520617817267
0,0.00513478834182,56,-13.6807154137,0.254993273831
0,0.00539152743295,53,-13.4902861164,0.347370857075
0,0.00564826698974,52,-13.615130977,0.526286911011
0,0.00590500654653,49,-13.6369943354,0.465382050026
0,0.00616174563766,48,-13.5776932877,0.284208187745
0,0.00641848519444,46,-13.6463957271,0.460625614847
0,0.00667522475123,44,-13.6401245908,0.466192535078
0,0.00693196384236,43,-13.6120898295,0.292920967633
0,0.00718870339915,40,-13.7494123776,0.414867012308
0,0.00744544295594,38,-13.7150666871,0.407630501788
0,0.00770218251273,37,-13.6276362953,0.358478380503
0,0.00795892160386,36,-13.6775712969,0.490384874396
0,0.00847240071744,34,-13.6026710889,0.385081995679
0,0.00872914027423,33,-13.6525942003,0.464697892037
0,0.00898587889969,32,-13.7681498532,0.357365174672
0,0.00924261845648,30,-13.6932135027,0.422151750258
0,0.00949935801327,29,-13.7744246404,0.386628486172
0,0.00975609757006,28,-13.7400710892,0.568712261145
0,0.0100128371269,27,-13.8087722095,0.350923827331
0,0.0102695766836,26,-13.6401722067,0.325157359873
0,0.0105263162404,25,-13.7993737268,0.520511465688
0,0.0112965339795,24,-13.662051305,0.537046085854
0,0.0118100130931,23,-13.70569419,0.508953928775
0,0.0120667526498,22,-13.8399749047,0.526810225021
0,0.0123234912753,21,-13.8992869576,0.40771551375
0,0.0125802308321,20,-13.8493361787,0.381155016852
0,0.0138639276847,19,-13.6495629376,0.429577081553
0,0.0154043650255,18,-13.9523868208,0.329521099871
0,0.0159178432077,17,-13.8056722584,0.387266708823
0,0.0161745827645,16,-13.9336450074,0.384621881295
0,0.018485236913,15,-13.771309148,0.478608355689
0,0.0192554555833,14,-13.8868140941,0.356324047198
0,0.0207958929241,13,-13.6245958869,0.441079477699
0,0.0220795888454,12,-14.0491890402,0.376807448661
0,0.022593067959,11,-13.9273634609,0.553615111849
0,0.0241335052997,10,-14.0210295888,0.539466420674
0,0.0243902429938,9,-14.2240460838,0.363644668031
0,0.0272143781185,8,-14.4425914432,0.347061797221
0,0.028241334483,7,-14.7110575832,0.369541801424
0,0.0333761237562,6,-15.0075806931,0.493286652905
0,0.0397946089506,4,-15.6164429613,0.597229563255
0,0.0415917858481,3,-16.0285628355,0.419020633714
0,0.0472400523722,2,-16.4937317947,0.382332487096
0,0.0539152771235,1,-15.6975908067,0.301170549561
