,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.7837061374,0.462051160507
0,0.00025673941127,151,-13.8086497667,0.390800474348
0,0.00051347882254,140,-13.7306131767,0.428599745668
0,0.000770218204707,127,-13.6962536261,0.395491582165
0,0.00102695764508,120,-13.7274902397,0.386336609422
0,0.00128369708546,115,-13.7868307183,0.333877612264
0,0.00154043640941,109,-13.8086958475,0.340912659536
0,0.00179717584979,106,-13.7899474207,0.403377366193
0,0.00205391529016,102,-13.7961808976,0.38938798432
0,0.00231065461412,97,-13.7212527693,0.335162646755
0,0.00256739417091,89,-13.5745322445,0.337877450111
0,0.00282413349487,85,-13.6275959661,0.336022774528
0,0.00308087281883,83,-13.686936011,0.490803887923
0,0.00333761237562,79,-13.5870190038,0.447092158589
0,0.00359435169958,73,-13.5401727477,0.405779647139
0,0.00385109125637,69,-13.5776031363,0.459300601981
0,0.00410783058032,64,-13.5401725127,0.304750743516
0,0.00436457013711,61,-13.4902319624,0.411976169189
0,0.00462130922824,60,-13.5433079364,0.387723963707
0,0.00487804878503,58,-13.5120737081,0.401772357844
0,0.00513478834182,56,-13.5869891146,0.448620474666
0,0.00539152743295,53,-13.5183073479,0.413358096847
0,0.00564826698974,52,-13.508938086,0.46014595527
0,0.00590500654653,49,-13.5651274729,0.561737934238
0,0.00616174563766,48,-13.5183070587,0.536478618033
0,0.00641848519444,46,-13.5089529582,0.477858092268
0,0.00667522475123,44,-13.5838714003,0.509519897024
0,0.00693196384236,43,-13.5994697477,0.507454397151
0,0.00718870339915,40,-13.4777317047,0.385094297821
0,0.00744544295594,38,-13.5183205398,0.424192759529
0,0.00770218251273,37,-13.4558652566,0.471319986774
0,0.00795892160386,36,-13.5370293909,0.476040885712
0,0.00847240071744,34,-13.5214460422,0.418553683184
0,0.00872914027423,33,-13.4746205137,0.461057556788
0,0.00898587889969,32,-13.4870865818,0.421762399574
0,0.00924261845648,30,-13.4901870744,0.520327449542
0,0.00949935801327,29,-13.4496166537,0.527012075168
0,0.00975609757006,28,-13.4714758552,0.501438120249
0,0.0100128371269,27,-13.4901950432,0.491882241498
0,0.0102695766836,26,-13.3996699592,0.401070548574
0,0.0105263162404,25,-13.4027840229,0.470898820982
0,0.0112965339795,24,-13.4870937919,0.463611321045
0,0.0118100130931,23,-13.3903092086,0.579747951493
0,0.0120667526498,22,-13.365360013,0.477381137659
0,0.0123234912753,21,-13.3778278878,0.471804565043
0,0.0125802308321,20,-13.3840663702,0.500408020711
0,0.0138639276847,19,-13.4745928456,0.504060614398
0,0.0154043650255,18,-13.5620447244,0.466652764736
0,0.0159178432077,17,-13.5994923168,0.484079423875
0,0.0161745827645,16,-13.4933666799,0.502809930095
0,0.018485236913,15,-13.4496187303,0.59735861685
0,0.0192554555833,14,-13.4652722485,0.527550696421
0,0.0207958929241,13,-13.5370874694,0.548147821861
0,0.0220795888454,12,-13.4340282436,0.487471402881
0,0.022593067959,11,-13.5058435367,0.455517305393
0,0.0241335052997,10,-13.5994656257,0.645387769512
0,0.0243902429938,9,-13.4933292549,0.535285865911
0,0.0272143781185,8,-13.6432408984,0.586043462625
0,0.028241334483,7,-13.6057542001,0.490018370433
0,0.0333761237562,6,-13.5932873185,0.435993477495
0,0.0397946089506,4,-13.9585435177,0.508146676148
0,0.0415917858481,3,-14.4456495998,0.526274974685
0,0.0472400523722,2,-15.1792695377,0.296200891287
0,0.0539152771235,1,-15.7100251929,0.326379264833
