,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.5058224807,0.614032435809
0,0.00025673941127,151,-13.5995105118,0.562335114676
0,0.00051347882254,140,-13.5370965393,0.565263072515
0,0.000770218204707,127,-13.5933098519,0.476097105172
0,0.00102695764508,120,-13.6151500429,0.469356199169
0,0.00128369708546,115,-13.6214065059,0.512151477084
0,0.00154043640941,109,-13.5620935139,0.473447614402
0,0.00179717584979,106,-13.4902897498,0.362281971345
0,0.00205391529016,102,-13.46219371,0.428350980794
0,0.00231065461412,97,-13.3778740022,0.471704716874
0,0.00256739417091,89,-13.5652053001,0.484860968406
0,0.00282413349487,85,-13.7213172595,0.473650539876
0,0.00308087281883,83,-13.3966172241,0.428611837388
0,0.00333761237562,79,-13.5402432737,0.507776596955
0,0.00359435169958,73,-13.4809205773,0.539014345194
0,0.00385109125637,69,-13.4684544189,0.538759895793
0,0.00410783058032,64,-13.5933196083,0.550379622843
0,0.00436457013711,61,-13.4153577164,0.551240506467
0,0.00462130922824,60,-13.4496980941,0.436902951841
0,0.00487804878503,58,-13.6307873859,0.606521543992
0,0.00513478834182,56,-13.5465051936,0.540459406304
0,0.00539152743295,53,-13.5776927803,0.582833032827
0,0.00564826698974,52,-13.5995396944,0.553532739509
0,0.00590500654653,49,-13.5714696035,0.571190585736
0,0.00616174563766,48,-13.4871303981,0.731566200636
0,0.00641848519444,46,-13.4309432517,0.570353539904
0,0.00667522475123,44,-13.4715439419,0.40316265761
0,0.00693196384236,43,-13.5995199979,0.483435037722
0,0.00718870339915,40,-13.6120051486,0.511492537209
0,0.00744544295594,38,-13.3403966279,0.599242292646
0,0.00770218251273,37,-13.4902897664,0.433131996059
0,0.00795892160386,36,-13.4278354948,0.446089337521
0,0.00847240071744,34,-13.4278445138,0.407665114402
0,0.00872914027423,33,-13.5495798992,0.513272837049
0,0.00898587889969,32,-13.4777919304,0.442616474336
0,0.00924261845648,30,-13.3903432129,0.574718348636
0,0.00949935801327,29,-13.618212028,0.460862296042
0,0.00975609757006,28,-13.5120763598,0.553563433316
0,0.0100128371269,27,-13.6214054197,0.42524247176
0,0.0102695766836,26,-13.5932848943,0.475886509169
0,0.0105263162404,25,-13.6619740912,0.550763332822
0,0.0112965339795,24,-13.4871090049,0.464405816972
0,0.0118100130931,23,-13.730684554,0.41209366346
0,0.0120667526498,22,-13.4059592364,0.442832450166
0,0.0123234912753,21,-13.4933913274,0.423341957459
0,0.0125802308321,20,-13.5963746569,0.576185916137
0,0.0138639276847,19,-13.9617017653,0.519719088032
0,0.0154043650255,18,-13.9086429046,0.459454840671
0,0.0159178432077,17,-13.7837404495,0.413361022061
0,0.0161745827645,16,-13.924150935,0.670931042737
0,0.018485236913,15,-13.793060273,0.551213063798
0,0.0192554555833,14,-14.1614802338,0.485321239719
0,0.0207958929241,13,-14.4080684532,0.714738199092
0,0.0220795888454,12,-14.676535155,1.03511974099
0,0.022593067959,11,-15.1230406733,0.62300743656
0,0.0241335052997,10,-15.1260999842,0.770874786902
0,0.0243902429938,9,-15.1448600838,0.555569195188
0,0.0272143781185,8,-15.578822735,0.461331911184
0,0.028241334483,7,-15.1386007299,0.56684152391
0,0.0333761237562,6,-15.5631963958,0.49576984896
0,0.0397946089506,4,-15.635013297,0.471731724284
0,0.0415917858481,3,-15.635013297,0.471731724284
0,0.0472400523722,2,-15.635013297,0.471731724284
0,0.0539152771235,1,-15.635013297,0.471731724284
