,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.6900837348,0.614126799695
0,0.00025673941127,151,-13.5807998878,0.443319931323
0,0.00051347882254,140,-13.8274343841,0.636140968856
0,0.000770218204707,127,-13.6838324046,0.593280145255
0,0.00102695764508,120,-13.6557378645,0.516779767197
0,0.00128369708546,115,-13.7057458914,0.40549747011
0,0.00154043640941,109,-13.5495732857,0.487841851348
0,0.00179717584979,106,-13.5714558166,0.268615574304
0,0.00205391529016,102,-13.5683203393,0.487747153903
0,0.00231065461412,97,-13.5995450805,0.528782387972
0,0.00256739417091,89,-13.5651964994,0.415666704264
0,0.00282413349487,85,-13.5121377471,0.352240876703
0,0.00308087281883,83,-13.6807192995,0.568894954642
0,0.00333761237562,79,-13.6400958223,0.651953906183
0,0.00359435169958,73,-13.5090164016,0.554533131704
0,0.00385109125637,69,-13.6494986248,0.518848907882
0,0.00410783058032,64,-13.661963066,0.484451955952
0,0.00436457013711,61,-13.5714207982,0.549776397842
0,0.00462130922824,60,-13.5839224469,0.387758953572
0,0.00487804878503,58,-13.4902517291,0.518887422958
0,0.00513478834182,56,-13.3653454463,0.578717882723
0,0.00539152743295,53,-13.6182295039,0.446655806532
0,0.00564826698974,52,-13.4434159912,0.405278507108
0,0.00590500654653,49,-13.5776201938,0.541758010802
0,0.00616174563766,48,-13.6369485124,0.3953463502
0,0.00641848519444,46,-13.6400878014,0.51957030782
0,0.00667522475123,44,-13.9148022562,0.448625250049
0,0.00693196384236,43,-13.8460860483,0.50958585439
0,0.00718870339915,40,-13.8742169459,0.521294450854
0,0.00744544295594,38,-13.7431174653,0.473308611543
0,0.00770218251273,37,-13.8554741236,0.591124865023
0,0.00795892160386,36,-13.8461139675,0.467085364562
0,0.00847240071744,34,-13.7524292075,0.430295103288
0,0.00872914027423,33,-14.095839761,0.717340618254
0,0.00898587889969,32,-14.2706785355,0.584625246
0,0.00924261845648,30,-14.2769244814,0.804183751298
0,0.00949935801327,29,-14.086524963,0.478627035595
0,0.00975609757006,28,-13.87110957,0.385526543335
0,0.0100128371269,27,-15.0387637029,0.568052294926
0,0.0102695766836,26,-15.5569707976,0.520275619236
0,0.0105263162404,25,-15.0262880563,0.526026040191
0,0.0112965339795,24,-15.2635136635,0.517217744556
0,0.0118100130931,23,-15.4102501818,0.48349454878
0,0.0120667526498,22,-15.1480202639,0.561726904058
0,0.0123234912753,21,-14.4019229062,0.727579982272
0,0.0125802308321,20,-14.4892412256,0.592954859381
0,0.0138639276847,19,-15.628769845,0.47582298055
0,0.0154043650255,18,-15.5195106638,0.470577553715
0,0.0159178432077,17,-15.1199150442,0.519714296899
0,0.0161745827645,16,-15.6318894567,0.47206912275
0,0.018485236913,15,-15.2073090965,0.534688402533
0,0.0192554555833,14,-15.635013297,0.471731724284
0,0.0207958929241,13,-15.6287699173,0.478600085045
0,0.0220795888454,12,-15.6381351675,0.457873733212
0,0.022593067959,11,-15.5788158139,0.520810141516
0,0.0241335052997,10,-15.6381351675,0.471959757509
0,0.0243902429938,9,-15.575694377,0.525465931497
0,0.0272143781185,8,-15.635013297,0.471731724284
0,0.028241334483,7,-15.635013297,0.471731724284
0,0.0333761237562,6,-15.635013297,0.471731724284
0,0.0397946089506,4,-15.635013297,0.471731724284
0,0.0415917858481,3,-15.635013297,0.471731724284
0,0.0472400523722,2,-15.635013297,0.471731724284
0,0.0539152771235,1,-15.635013297,0.471731724284
