,Thresh,n,ll_mean,ll_std
0,0.0,205,0.645582287821,0.00783614341184
0,0.000513874634635,145,0.646393223239,0.00737428406876
0,0.00102774926927,116,0.646848157691,0.00773247510217
0,0.0015416238457,106,0.646667381797,0.00788852795405
0,0.00205549853854,94,0.646950143458,0.00782993602218
0,0.00256937299855,85,0.64697268163,0.00781923687324
0,0.00308324769139,77,0.647506257756,0.00806977370288
0,0.00359712238424,72,0.647181786577,0.00778962745979
0,0.00411099707708,67,0.647211491858,0.00794768273232
0,0.00462487153709,59,0.647548795902,0.00814197503291
0,0.0051387459971,54,0.64779463002,0.00775950191286
0,0.00565262092277,51,0.647629747748,0.00757285058246
0,0.00616649538279,48,0.647673834308,0.00753536153204
0,0.0066803698428,45,0.647585655579,0.00757950622838
0,0.00719424476847,42,0.647770997829,0.00766525552363
0,0.00770811922848,39,0.647712898856,0.00743588470521
0,0.00822199415416,36,0.647659130252,0.00749622099031
0,0.00873586814851,35,0.647709777291,0.00750362728968
0,0.00924974307418,33,0.647625774871,0.00761319061308
0,0.00976361799985,32,0.647624703874,0.00791733593903
0,0.0102774919942,30,0.647862052102,0.00769408612192
0,0.0107913669199,29,0.647829246437,0.00767889103598
0,0.0113052418455,26,0.647907036471,0.00788310833898
0,0.0118191158399,24,0.647955159481,0.00786932794972
0,0.0123329907656,23,0.647950113508,0.0081736480822
0,0.0133607396856,22,0.64788903333,0.00814932763396
0,0.0138746146113,20,0.648090224287,0.00784689573273
0,0.0143884895369,19,0.648443254545,0.00793331294661
0,0.0149023635313,18,0.648147772753,0.00783961939422
0,0.015416238457,17,0.648277591012,0.00779186509352
0,0.0159301124513,16,0.648312050251,0.00783838518494
0,0.0164439883083,15,0.648565736172,0.00778686017785
0,0.0169578623027,14,0.64847817385,0.00793585053389
0,0.017471736297,12,0.648364567188,0.00794626846154
0,0.017985612154,11,0.648584694053,0.00789475739854
0,0.0195272359997,10,0.648590326416,0.00744324931353
0,0.0205549839884,9,0.648778670244,0.00712517647472
0,0.0236382316798,8,0.648638404918,0.0071720962572
0,0.0251798555255,7,0.648636615959,0.00734852540523
0,0.0282631032169,6,0.648459453718,0.00751901454862
0,0.0380267202854,4,0.647937520797,0.00747815960669
0,0.0457348413765,3,0.648556792449,0.00717410285735
0,0.0467625893652,2,0.64832985216,0.00599049890057
0,0.105344295502,1,0.648210124876,0.00648495241273
