,Thresh,n,ll_mean,ll_std
0,0.0,205,0.642756138619,0.00549162655643
0,0.000513610662892,154,0.640357200838,0.0090182387852
0,0.00102722132578,117,0.640429933424,0.0071207312988
0,0.00154083210509,100,0.642796817918,0.00862058757299
0,0.00205444265157,91,0.642301044676,0.00663276813865
0,0.00256805331446,82,0.642219105267,0.00940802209095
0,0.00308166421019,79,0.644379330508,0.00846905766721
0,0.00359527487308,69,0.642620724614,0.00765004980497
0,0.00410888530314,66,0.639425608863,0.00830624165061
0,0.00462249619886,63,0.643359876331,0.00737428208606
0,0.00513610662892,53,0.640194485718,0.00972736399836
0,0.00564971752465,50,0.639770147542,0.00878901170734
0,0.00616332842037,49,0.64081541268,0.00825257672588
0,0.00667693885043,48,0.640795934067,0.00770965937918
0,0.00719054974616,43,0.640454691927,0.00818823333796
0,0.00770416017622,40,0.639090626277,0.00835275122829
0,0.00821777060628,35,0.638641357312,0.00776798833951
0,0.00873138196766,34,0.640836256836,0.0071689351874
0,0.00924499239773,30,0.637381639491,0.00863193516817
0,0.00975860282779,27,0.633852775488,0.00780610981696
0,0.0102722132578,25,0.635573649158,0.0102465463179
0,0.0118130454794,21,0.632923872007,0.00880723808535
0,0.0123266568407,19,0.631002036991,0.00760910714835
0,0.0148947099224,18,0.62943058007,0.00803967142546
0,0.0154083203524,17,0.631098823736,0.00798053957359
0,0.0164355412126,16,0.628761971505,0.0095934761419
0,0.0174627639353,15,0.631187146041,0.008932893536
0,0.0190035961568,13,0.630602104256,0.00908860726989
0,0.0215716492385,12,0.630060075325,0.0076401796085
0,0.0225988700986,10,0.619432146562,0.00777121108741
0,0.0236260909587,8,0.615572706316,0.00756361227191
0,0.0256805345416,7,0.612067687773,0.00604458648348
0,0.0267077554017,6,0.61299785415,0.00956618079937
0,0.0277349762619,5,0.613986289816,0.00795920643488
0,0.0380071923137,4,0.603574902171,0.0115701280182
0,0.0508474558592,3,0.59869101827,0.0105240729378
0,0.0564971752465,2,0.585713577411,0.010144368626
0,0.0970724225044,1,0.567381922235,0.00748560673096
