,Thresh,n,ll_mean,ll_std
0,0.0,205,0.650911078706,0.0153124964037
0,0.000511247431859,155,0.651924960144,0.0145014133593
0,0.00102249486372,127,0.653043188169,0.01435763783
0,0.00153374229558,99,0.653351057447,0.0142378006823
0,0.00204498972744,89,0.653491041779,0.0142941975255
0,0.0025562371593,80,0.653554765488,0.0144374266233
0,0.00306748459116,74,0.653435142671,0.014170866394
0,0.00357873202302,63,0.653376979397,0.0136392431797
0,0.00408997945487,56,0.65362299352,0.0135719836638
0,0.00460122711957,51,0.653586608178,0.013776538399
0,0.00511247431859,47,0.653715070528,0.0139055270537
0,0.00562372198328,44,0.653759627014,0.0140088230106
0,0.00613496918231,40,0.653797741146,0.0141319878059
0,0.006646216847,38,0.653727800027,0.0142893876511
0,0.00715746404603,35,0.653876832841,0.0142825548711
0,0.00766871171072,34,0.654068512536,0.0142433859271
0,0.00817995890975,30,0.653738631949,0.0143481071874
0,0.0097137009725,26,0.653672206369,0.0140779099261
0,0.0102249486372,23,0.653931773976,0.0142621554842
0,0.0117586916313,21,0.653959201359,0.0144483919661
0,0.013292433694,20,0.653824468647,0.0144362289643
0,0.0163599178195,18,0.653760188534,0.0144086223221
0,0.0173824131489,14,0.653796755798,0.0141854358739
0,0.0178936608136,11,0.654536133433,0.0144266869122
0,0.0184049084783,10,0.654640385553,0.0143461928397
0,0.0219836402684,9,0.654900122994,0.0142114555153
0,0.032719835639,8,0.655229978141,0.0140416411306
0,0.0393660515547,7,0.655111974487,0.0142711468301
0,0.0449897758663,6,0.654991039068,0.014771301383
0,0.0480572581291,5,0.654635137821,0.0148762154879
0,0.0501022487879,4,0.654685613414,0.0152022779034
0,0.0587934553623,3,0.654170638371,0.0158883111844
0,0.0628834366798,2,0.652933337577,0.0157477849986
0,0.0690184012055,1,0.650479652747,0.0128658547739
