,Thresh,n,ll_mean,ll_std
0,0.0,205,0.648680484611,0.0139013452328
0,0.000511247431859,155,0.65135560753,0.0141586707621
0,0.00102249486372,127,0.651002897821,0.0142363672506
0,0.00153374229558,99,0.650419469785,0.0147670121841
0,0.00204498972744,89,0.652015882228,0.0147927397898
0,0.0025562371593,80,0.647767549532,0.0163160262246
0,0.00306748459116,74,0.650659400886,0.0161616418434
0,0.00357873202302,63,0.651529088258,0.014042270339
0,0.00408997945487,56,0.652688557923,0.0149900130386
0,0.00460122711957,51,0.651893001977,0.0158214999474
0,0.00511247431859,47,0.652444866057,0.0164674874096
0,0.00562372198328,44,0.653354885829,0.0159235395418
0,0.00613496918231,40,0.654304484172,0.015135084306
0,0.006646216847,38,0.651787444076,0.0148184346391
0,0.00715746404603,35,0.650474552559,0.0173294262762
0,0.00766871171072,34,0.651326831364,0.0162839007718
0,0.00817995890975,30,0.650653473308,0.0168514261728
0,0.0097137009725,26,0.651034703829,0.016082584515
0,0.0102249486372,23,0.651113014347,0.0156341499855
0,0.0117586916313,21,0.649493359534,0.0172115540121
0,0.013292433694,20,0.64931457051,0.0172730815028
0,0.0163599178195,18,0.644795967455,0.0165142405473
0,0.0173824131489,14,0.643061841673,0.0165434166369
0,0.0178936608136,11,0.63967561817,0.0155982717477
0,0.0184049084783,10,0.638267275632,0.0196040963633
0,0.0219836402684,9,0.631889042817,0.0166110195932
0,0.032719835639,8,0.630070321055,0.0165588697733
0,0.0393660515547,7,0.628394540527,0.0191507066575
0,0.0449897758663,6,0.626680149207,0.0186285705037
0,0.0480572581291,5,0.619434285176,0.0126828236041
0,0.0501022487879,4,0.619062956902,0.0128031760483
0,0.0587934553623,3,0.613783299417,0.0166624986093
0,0.0628834366798,2,0.592314517911,0.0168124966917
0,0.0690184012055,1,0.56675664487,0.0124805055466
