,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.6619645467,0.573389276297
0,0.00025673941127,151,-13.5433397001,0.533801314903
0,0.00051347882254,140,-13.4153415981,0.560015464394
0,0.000770218204707,127,-13.3653849464,0.575574870135
0,0.00102695764508,120,-13.4403171405,0.456238117097
0,0.00128369708546,115,-13.3810069853,0.438982542348
0,0.00154043640941,109,-13.4372029324,0.406358848771
0,0.00179717584979,106,-13.4809074576,0.408098978982
0,0.00205391529016,102,-13.4309473908,0.430583684634
0,0.00231065461412,97,-13.4309473185,0.506617881376
0,0.00256739417091,89,-13.3809905951,0.512935119021
0,0.00282413349487,85,-13.3528874172,0.528733946388
0,0.00308087281883,83,-13.3716107074,0.515243922264
0,0.00333761237562,79,-13.3653684841,0.605353970328
0,0.00359435169958,73,-13.3934769928,0.506791137536
0,0.00385109125637,69,-13.4153356346,0.506088406699
0,0.00410783058032,64,-13.3841135679,0.510802484188
0,0.00436457013711,61,-13.3560114018,0.529193770039
0,0.00462130922824,60,-13.3903573812,0.545622325258
0,0.00487804878503,58,-13.3747526185,0.518140008791
0,0.00513478834182,56,-13.3310397083,0.559098691047
0,0.00539152743295,53,-13.3653580751,0.574239660982
0,0.00564826698974,52,-13.3091640981,0.592215497104
0,0.00590500654653,49,-13.3154186998,0.597280180704
0,0.00616174563766,48,-13.3185456662,0.583943858889
0,0.00641848519444,46,-13.3247841668,0.607559204543
0,0.00667522475123,44,-13.2436229416,0.566473113114
0,0.00693196384236,43,-13.2810863459,0.559243526677
0,0.00718870339915,40,-13.3653729478,0.601872789176
0,0.00744544295594,38,-13.3247725835,0.642033386163
0,0.00770218251273,37,-13.3403879177,0.616793900522
0,0.00795892160386,36,-13.3185268727,0.625612049038
0,0.00847240071744,34,-13.2155025601,0.567475930736
0,0.00872914027423,33,-13.2123758103,0.582517539477
0,0.00898587889969,32,-13.2092609333,0.591745663404
0,0.00924261845648,30,-13.2342367832,0.579225093004
0,0.00949935801327,29,-13.2966925725,0.606538101528
0,0.00975609757006,28,-13.3123060092,0.594140834624
0,0.0100128371269,27,-13.2873320567,0.613555251829
0,0.0102695766836,26,-13.2685900451,0.611935562793
0,0.0105263162404,25,-13.2654681745,0.623763306703
0,0.0112965339795,24,-13.2841967775,0.630893990726
0,0.0118100130931,23,-13.2748361896,0.579814951936
0,0.0120667526498,22,-13.3091751032,0.562193262075
0,0.0123234912753,21,-13.3154241753,0.486505916941
0,0.0125802308321,20,-13.3653796521,0.554974138629
0,0.0138639276847,19,-13.3403968084,0.571442053761
0,0.0154043650255,18,-13.3123078343,0.544623249178
0,0.0159178432077,17,-13.2467509381,0.53113027407
0,0.0161745827645,16,-13.2810928333,0.515133182534
0,0.018485236913,15,-13.315430446,0.576979432589
0,0.0192554555833,14,-13.3310347027,0.536563132301
0,0.0207958929241,13,-13.3091846628,0.505648636068
0,0.0220795888454,12,-13.2842267394,0.515406743758
0,0.022593067959,11,-13.2873283523,0.600927774788
0,0.0241335052997,10,-13.2748454601,0.614259220442
0,0.0243902429938,9,-13.3029181162,0.628193312758
0,0.0272143781185,8,-13.3653839712,0.597731540089
0,0.028241334483,7,-13.4246938556,0.580435536754
0,0.0333761237562,6,-13.4559052965,0.501079140833
0,0.0397946089506,4,-13.7931118798,0.514043251456
0,0.0415917858481,3,-14.2957865475,0.320521219648
0,0.0472400523722,2,-14.9045552292,0.27703830419
0,0.0539152771235,1,-15.5164356991,0.249970542497
