,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.5526895003,0.395744630583
0,0.00025673941127,151,-13.5683025757,0.392042086123
0,0.00051347882254,140,-13.5620592682,0.390516593947
0,0.000770218204707,127,-13.5651809942,0.391392077935
0,0.00102695764508,120,-13.5589352111,0.395303886556
0,0.00128369708546,115,-13.5558112986,0.400204512656
0,0.00154043640941,109,-13.5589327355,0.394443518949
0,0.00179717584979,106,-13.55893288,0.394443560846
0,0.00205391529016,102,-13.5620523472,0.404814468482
0,0.00231065461412,97,-13.5682979857,0.38749841195
0,0.00256739417091,89,-13.5620544615,0.391968169814
0,0.00282413349487,85,-13.5714219706,0.385379617125
0,0.00308087281883,83,-13.5683002446,0.387771396072
0,0.00333761237562,79,-13.5714218983,0.385379516066
0,0.00359435169958,73,-13.5620545337,0.392365836021
0,0.00385109125637,69,-13.5339522233,0.41285237683
0,0.00410783058032,64,-13.5214666386,0.422750462566
0,0.00436457013711,61,-13.5214688252,0.420412114661
0,0.00462130922824,60,-13.5183494303,0.424144472009
0,0.00487804878503,58,-13.5183472437,0.429195510334
0,0.00513478834182,56,-13.5152254455,0.424764730222
0,0.00539152743295,53,-13.5152277766,0.42132903398
0,0.00564826698974,52,-13.5152254455,0.428601957914
0,0.00590500654653,49,-13.5183495749,0.421932890271
0,0.00616174563766,48,-13.5120994908,0.451268091745
0,0.00641848519444,46,-13.5089776925,0.44666349712
0,0.00667522475123,44,-13.5058559665,0.422509191813
0,0.00693196384236,43,-13.49961237,0.417374477733
0,0.00718870339915,40,-13.5183430149,0.494568988211
0,0.00744544295594,38,-13.5089776924,0.493437046924
0,0.00770218251273,37,-13.5120973041,0.494252177698
0,0.00795892160386,36,-13.5152191023,0.494786832171
0,0.00847240071744,34,-13.5214648855,0.488085566538
0,0.00872914027423,33,-13.5152213612,0.489933811625
0,0.00898587889969,32,-13.5245889427,0.483490434732
0,0.00924261845648,30,-13.5183453461,0.488917323132
0,0.00949935801327,29,-13.5214672167,0.485900621184
0,0.00975609757006,28,-13.5121017496,0.493890107712
0,0.0100128371269,27,-13.5121017496,0.493890107712
0,0.0102695766836,26,-13.5121017496,0.493890107712
0,0.0105263162404,25,-13.5121017496,0.493890107712
0,0.0112965339795,24,-13.5121017496,0.493890107712
0,0.0118100130931,23,-13.5089800236,0.496485381493
0,0.0120667526498,22,-13.5121017496,0.493890107712
0,0.0123234912753,21,-13.5152234756,0.493636052094
0,0.0125802308321,20,-13.5152234756,0.494425129922
0,0.0138639276847,19,-13.5152234756,0.493636052094
0,0.0154043650255,18,-13.5058584421,0.508181370624
0,0.0159178432077,17,-13.5121109295,0.488880890878
0,0.0161745827645,16,-13.5121064118,0.487328459539
0,0.018485236913,15,-13.512108743,0.483208814611
0,0.0192554555833,14,-13.5589384821,0.480634005945
0,0.0207958929241,13,-13.5652024804,0.482608429534
0,0.0220795888454,12,-13.5683242787,0.489069841324
0,0.022593067959,11,-13.5652024804,0.482608429534
0,0.0241335052997,10,-13.6089070057,0.514256527657
0,0.0243902429938,9,-13.6151505299,0.51150579213
0,0.0272143781185,8,-13.6120262559,0.52922147322
0,0.028241334483,7,-13.6089045299,0.530910730067
0,0.0333761237562,6,-13.5808297597,0.501477962003
0,0.0397946089506,4,-13.8930350313,0.450249123929
0,0.0415917858481,3,-14.2489581829,0.356253572211
0,0.0472400523722,2,-15.6350178147,0.00374119280833
0,0.0539152771235,1,-15.6350178147,0.00374119280833
