,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.4153372966,0.568208500511
0,0.00025673941127,151,-13.4028381235,0.547613830031
0,0.00051347882254,140,-13.4215706656,0.522562879345
0,0.000770218204707,127,-13.4122118126,0.518354802978
0,0.00102695764508,120,-13.4434488599,0.534035253853
0,0.00128369708546,115,-13.4715192753,0.533182159707
0,0.00154043640941,109,-13.3435063011,0.636318756798
0,0.00179717584979,106,-13.3934699273,0.64500075587
0,0.00205391529016,102,-13.331036239,0.545690370831
0,0.00231065461412,97,-13.3403974237,0.507675970456
0,0.00256739417091,89,-13.3247773181,0.574443830504
0,0.00282413349487,85,-13.3091758985,0.529190703332
0,0.00308087281883,83,-13.2873270333,0.518109869403
0,0.00333761237562,79,-13.3341377075,0.595364595778
0,0.00359435169958,73,-13.3528856825,0.535036739236
0,0.00385109125637,69,-13.3122779095,0.55283908859
0,0.00410783058032,64,-13.2841871637,0.557640028184
0,0.00436457013711,61,-13.2841890797,0.515453804197
0,0.00462130922824,60,-13.2997957399,0.575077214484
0,0.00487804878503,58,-13.2904230442,0.578081256347
0,0.00513478834182,56,-13.2966848023,0.573136767108
0,0.00539152743295,53,-13.3091560929,0.653066239569
0,0.00564826698974,52,-13.2186217748,0.580192055336
0,0.00590500654653,49,-13.2154974099,0.54742991052
0,0.00616174563766,48,-13.2779480127,0.5514934555
0,0.00641848519444,46,-13.2779389234,0.57731927793
0,0.00667522475123,44,-13.2623388047,0.55925428224
0,0.00693196384236,43,-13.281056999,0.550086957945
0,0.00718870339915,40,-13.3372477594,0.607996882358
0,0.00744544295594,38,-13.3060321802,0.565963439294
0,0.00770218251273,37,-13.2591925388,0.578591052176
0,0.00795892160386,36,-13.2310950889,0.626100463796
0,0.00847240071744,34,-13.2685695167,0.584203068501
0,0.00872914027423,33,-13.2186225513,0.538325100687
0,0.00898587889969,32,-13.2748163117,0.606787320654
0,0.00924261845648,30,-13.2404702785,0.600751255115
0,0.00949935801327,29,-13.271695453,0.603822454194
0,0.00975609757006,28,-13.240472013,0.569711730432
0,0.0100128371269,27,-13.2841786525,0.567065645296
0,0.0102695766836,26,-13.2498366129,0.578326308845
0,0.0105263162404,25,-13.2997921433,0.65553441556
0,0.0112965339795,24,-13.2404717237,0.613592595352
0,0.0118100130931,23,-13.2311053174,0.571002134719
0,0.0120667526498,22,-13.3185375887,0.547698575825
0,0.0123234912753,21,-13.3403912974,0.521605551616
0,0.0125802308321,20,-13.318540444,0.522596961748
0,0.0138639276847,19,-13.2685823289,0.575151381415
0,0.0154043650255,18,-13.2529818853,0.557133886298
0,0.0159178432077,17,-13.3029254896,0.537993722152
0,0.0161745827645,16,-13.3216712234,0.554153680967
0,0.018485236913,15,-13.237341197,0.660182525797
0,0.0192554555833,14,-13.2998153466,0.515625652153
0,0.0207958929241,13,-13.3060524017,0.572371169694
0,0.0220795888454,12,-13.31541664,0.575705920337
0,0.022593067959,11,-13.2998198824,0.569384082285
0,0.0241335052997,10,-13.3185485579,0.609859015579
0,0.0243902429938,9,-13.2779566695,0.592050593231
0,0.0272143781185,8,-13.3185477815,0.594631581323
0,0.028241334483,7,-13.35290426,0.495757576571
0,0.0333761237562,6,-13.4434104962,0.548305019284
0,0.0397946089506,4,-13.7931061161,0.502753738953
0,0.0415917858481,3,-14.2676641799,0.390523663385
0,0.0472400523722,2,-15.0137981849,0.276378041544
0,0.0539152771235,1,-15.5445166168,0.121398320503
