,Thresh,n,ll_mean,ll_std
0,0.0,184,-13.5589171951,0.559053242929
0,0.00025673941127,151,-13.4590345771,0.552407440417
0,0.00051347882254,140,-13.4153318954,0.528958926705
0,0.000770218204707,127,-13.3903481663,0.586091437528
0,0.00102695764508,120,-13.459038426,0.504823197266
0,0.00128369708546,115,-13.4371903559,0.489234172986
0,0.00154043640941,109,-13.3497620058,0.466292500156
0,0.00179717584979,106,-13.3903519429,0.489604238511
0,0.00205391529016,102,-13.3653777014,0.498968487465
0,0.00231065461412,97,-13.3809787779,0.49526161009
0,0.00256739417091,89,-13.4246800867,0.582620138385
0,0.00282413349487,85,-13.4028274987,0.533333551781
0,0.00308087281883,83,-13.4059515559,0.533789671588
0,0.00333761237562,79,-13.4277994091,0.49248779338
0,0.00359435169958,73,-13.3716226354,0.35819537407
0,0.00385109125637,69,-13.3997182415,0.422439936384
0,0.00410783058032,64,-13.3778616419,0.460504821589
0,0.00436457013711,61,-13.3591141546,0.492084395832
0,0.00462130922824,60,-13.3278852389,0.53754989359
0,0.00487804878503,58,-13.3559863208,0.496762088044
0,0.00513478834182,56,-13.3341500511,0.50508458197
0,0.00539152743295,53,-13.3996933941,0.560468071207
0,0.00564826698974,52,-13.3497379898,0.580917972565
0,0.00590500654653,49,-13.3372659585,0.536927928934
0,0.00616174563766,48,-13.3154122681,0.488162798576
0,0.00641848519444,46,-13.3216626412,0.495687344001
0,0.00667522475123,44,-13.3279033286,0.474070066362
0,0.00693196384236,43,-13.3341363535,0.463196698008
0,0.00718870339915,40,-13.3278923955,0.508388294314
0,0.00744544295594,38,-13.2592227362,0.515686751391
0,0.00770218251273,37,-13.2623416975,0.508862478156
0,0.00795892160386,36,-13.2467315314,0.49861859787
0,0.00847240071744,34,-13.1998947085,0.53511987314
0,0.00872914027423,33,-13.1967768497,0.519249779128
0,0.00898587889969,32,-13.1905358011,0.522683253763
0,0.00924261845648,30,-13.2748243545,0.53175065234
0,0.00949935801327,29,-13.3153924441,0.545182035851
0,0.00975609757006,28,-13.3559867546,0.560335625212
0,0.0100128371269,27,-13.3622302066,0.5606357194
0,0.0102695766836,26,-13.3122751636,0.555143189461
0,0.0105263162404,25,-13.2966690093,0.546011483434
0,0.0112965339795,24,-13.259198973,0.504088588715
0,0.0118100130931,23,-13.2467136049,0.484857263107
0,0.0120667526498,22,-13.2279968022,0.446931129317
0,0.0123234912753,21,-13.2716950028,0.506871403084
0,0.0125802308321,20,-13.2966575704,0.539877050497
0,0.0138639276847,19,-13.2904244732,0.526617308981
0,0.0154043650255,18,-13.2810761915,0.523038824878
0,0.0159178432077,17,-13.2623299513,0.509762847014
0,0.0161745827645,16,-13.324780572,0.510609965244
0,0.018485236913,15,-13.2997884946,0.589012227449
0,0.0192554555833,14,-13.2311101615,0.561327275411
0,0.0207958929241,13,-13.2435926201,0.550545593721
0,0.0220795888454,12,-13.2498471676,0.524475746753
0,0.022593067959,11,-13.2435990534,0.56527409202
0,0.0241335052997,10,-13.2654539001,0.556057526047
0,0.0243902429938,9,-13.2966657028,0.542768111555
0,0.0272143781185,8,-13.3122744234,0.479171080357
0,0.028241334483,7,-13.3684836343,0.441530328901
0,0.0333761237562,6,-13.4340178155,0.5189005645
0,0.0397946089506,4,-13.7837274944,0.59662256547
0,0.0415917858481,3,-14.2551682953,0.383635763261
0,0.0472400523722,2,-15.6350178147,0.00374119280833
0,0.0539152771235,1,-15.6350178147,0.00374119280833
