,Thresh,n,ll_mean,ll_std
0,0.0,205,-13.5277461402,0.303205219104
0,0.000265886745183,181,-13.4648041291,0.319801921126
0,0.000531773490366,166,-13.5003689956,0.296981730175
0,0.000797660206445,152,-13.4401938097,0.395749168947
0,0.00106354698073,142,-13.4045605352,0.332519029462
0,0.0013294336386,135,-13.4155302079,0.290561850831
0,0.00159532041289,131,-13.4894576637,0.323879719154
0,0.00186120707076,126,-13.5250236825,0.283547625011
0,0.00212709396146,119,-13.4565746628,0.196244152523
0,0.00239298050292,116,-13.4949287804,0.273747993445
0,0.0026588672772,110,-13.4565819871,0.276432200884
0,0.00292475405149,103,-13.5305079091,0.26089279961
0,0.00319064082578,97,-13.5469355727,0.283873781519
0,0.00372241414152,92,-13.5660885719,0.248073843853
0,0.00398830091581,87,-13.5414619848,0.238278939581
0,0.00425418792292,81,-13.4648311765,0.264169022311
0,0.00452007446438,71,-13.5497126277,0.324687785661
0,0.00478596100584,67,-13.4894656826,0.270307780548
0,0.00505184801295,63,-13.4593642031,0.302727702439
0,0.00531773455441,60,-13.451160047,0.315817535834
0,0.00558362156153,58,-13.4511504717,0.334427655229
0,0.00611539464444,56,-13.4292818146,0.367664201108
0,0.00638128165156,52,-13.4073727893,0.339231092431
0,0.00664716819301,50,-13.4210736142,0.349498659124
0,0.00691305520013,49,-13.4347483409,0.330098383814
0,0.00717894174159,48,-13.4292693516,0.315382163527
0,0.00744482828304,47,-13.3964202715,0.306622077553
0,0.00771071529016,45,-13.4238143455,0.352317589455
0,0.00797660183161,42,-13.3252633116,0.340723346955
0,0.00824248883873,40,-13.3197580275,0.287269083001
0,0.00850837584585,38,-13.3334320505,0.277483992055
0,0.00877426192164,37,-13.330688896,0.265124049203
0,0.00904014892876,35,-13.3279687546,0.303158773101
0,0.00930603593588,33,-13.319763899,0.333574285647
0,0.00957192201167,29,-13.2924372712,0.408023162978
0,0.00983780901879,27,-13.3198162269,0.409644249271
0,0.0101036960259,26,-13.3252968965,0.421283971812
0,0.0103695821017,25,-13.2979109287,0.406170116374
0,0.0111672431231,24,-13.330756288,0.397335719254
0,0.0122307892889,22,-13.3389871739,0.473058022763
0,0.012496676296,21,-13.3170607198,0.420814674677
0,0.0127625633031,20,-13.3280217333,0.450588941188
0,0.013294336386,19,-13.3718217229,0.462893003932
0,0.0140919964761,18,-13.3909702952,0.429882138763
0,0.0146237704903,16,-13.3663220809,0.442932285842
0,0.0148896565661,14,-13.3526350152,0.447055526445
0,0.0159532036632,13,-13.3581139455,0.446687833013
0,0.0162190906703,12,-13.3553711689,0.438043154893
0,0.0167508646846,11,-13.39914817,0.397464777563
0,0.0178144108504,10,-13.421067551,0.396194168217
0,0.0186120718718,9,-13.4128227393,0.340670392146
0,0.0196756180376,8,-13.3635590489,0.373466970068
0,0.0202073920518,7,-13.4237617512,0.346368063083
0,0.022068599239,6,-13.4538525608,0.361587366009
0,0.0223344862461,5,-13.440207396,0.36035120687
0,0.026588672772,4,-13.3826996473,0.371556172653
0,0.0271204467863,3,-13.3553145413,0.36832130757
0,0.0335017293692,2,-13.4374323774,0.445798884221
0,0.0531773455441,1,-13.4428946724,0.38429115996
