,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,param_max_samples,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.746199697256,0.0447272956371,-14.9045766518,-11.8703985589,0.3,0.1,10,"{'max_features': 0.3, 'max_samples': 0.1, 'n_estimators': 10}",46,-15.1092520972,-11.931650569,-14.4349720021,-11.8424589308,-14.3101035406,-11.9245225532,-15.5837804656,-11.7140043102,-14.5848021303,-11.8817015929,-14.4849149928,-11.9138211129,-15.2341396382,-11.7639586554,-15.4950753169,-11.9910707465,0.0368894261134,0.0101301842919,0.476014767153,0.0864765185134
1,1.732616961,0.092201679945,-14.3270024659,-10.0110020322,0.3,0.1,30,"{'max_features': 0.3, 'max_samples': 0.1, 'n_estimators': 30}",36,-14.5848148498,-9.89071642986,-14.0603735553,-9.79794938461,-14.6597397427,-9.94780002987,-14.8595313626,-10.047709629,-14.6597345392,-9.84789794764,-13.6357887558,-10.0762505203,-13.9354825454,-10.1725882643,-14.2204773519,-10.3071040521,0.050033217414,0.0189581362618,0.40079448313,0.161960188676
2,5.71991813183,0.280034244061,-13.9523533181,-8.47406710357,0.3,0.1,100,"{'max_features': 0.3, 'max_samples': 0.1, 'n_estimators': 100}",24,-13.5109243413,-8.62760465862,-13.4859476425,-8.33145548114,-13.9354802328,-8.28863774235,-15.2591169151,-8.28864121168,-14.160246817,-8.37784201878,-13.9354744512,-8.68826077461,-13.8106192873,-8.57051684586,-13.5207047476,-8.61957809551,0.200469463689,0.0740486923154,0.544323288093,0.157437631407
3,14.6867704391,0.672633707523,-13.5839473917,-7.87820415222,0.3,0.1,300,"{'max_features': 0.3, 'max_samples': 0.1, 'n_estimators': 300}",8,-13.4110181244,-7.92111993975,-13.3111280961,-7.81765013252,-13.6607608292,-7.73915316125,-14.2351705535,-7.74985707968,-13.6607631419,-7.95323582519,-13.7356816749,-7.94966694374,-13.2362066722,-8.02459610741,-13.4207320255,-7.87035402826,0.422930287914,0.0989570450729,0.298089460946,0.0958811860795
4,1.25869274139,0.0321697294712,-15.0669280875,-6.84035624841,0.3,0.3,10,"{'max_features': 0.3, 'max_samples': 0.3, 'n_estimators': 10}",48,-15.209168721,-6.73652570794,-14.7846110951,-6.80074979673,-15.1841960694,-6.89708811891,-16.0333118995,-6.96488158476,-15.1092607697,-6.8792438769,-15.4589021752,-6.83642960743,-14.2601507212,-6.79004488707,-14.4954100038,-6.81788640751,0.0560944716516,0.00341718145255,0.522075667133,0.0667442035514
5,3.91082003713,0.0971491634846,-14.3082744644,-3.64027638895,0.3,0.3,30,"{'max_features': 0.3, 'max_samples': 0.3, 'n_estimators': 30}",35,-14.3350767703,-3.56450932969,-14.2102071524,-3.62516247197,-13.9854399901,-3.47887038278,-15.0593304986,-3.68938614775,-14.7846093606,-3.59661720264,-13.9354889052,-3.71436385729,-13.9354900615,-3.59661530277,-14.220489502,-3.85668641673,0.133998617419,0.0342940078736,0.385889126347,0.106399843207
6,12.4301840067,0.249281138182,-13.7837627809,-1.68945777196,0.3,0.3,100,"{'max_features': 0.3, 'max_samples': 0.3, 'n_estimators': 100}",21,-14.1602491296,-1.50929413042,-13.1363143312,-1.69483309448,-13.8605605434,-1.63417549164,-14.7346582757,-1.72337770299,-13.6857415751,-1.69483317708,-13.7356874565,-1.6662892294,-13.4110285313,-1.78760261781,-13.545690262,-1.80525673183,0.424927525697,0.0480162529594,0.458076287883,0.0868202239419
7,35.5172975659,0.616890192032,-13.6120464048,-0.980760901967,0.3,0.3,300,"{'max_features': 0.3, 'max_samples': 0.3, 'n_estimators': 300}",10,-13.5858411399,-0.959811283977,-12.961488425,-0.988356966324,-13.760662999,-0.924131060262,-14.3100902428,-0.999059893516,-14.1602439262,-1.00619666517,-13.6857346372,-0.991923782691,-13.1363125968,-0.96694706439,-13.2957685818,-1.00966049941,0.45215235476,0.102911913499,0.442385361743,0.0270092010886
8,2.2952131331,0.0273157060146,-14.7640867177,-1.8277192155,0.3,0.7,10,"{'max_features': 0.3, 'max_samples': 0.7, 'n_estimators': 10}",44,-14.7845977973,-1.80900971124,-15.009369585,-1.73408046497,-14.9594219691,-1.83755431975,-15.1342472972,-1.88750825197,-14.9344400669,-1.72694418894,-14.5098916915,-1.94816345932,-14.8345558202,-1.88750750854,-13.9455776789,-1.79098581924,0.0486848308843,0.00196179376835,0.354246336452,0.0727805979826
9,8.09314030409,0.0900342166424,-14.2614415953,-0.177509108531,0.3,0.7,30,"{'max_features': 0.3, 'max_samples': 0.7, 'n_estimators': 30}",33,-14.5848125372,-0.149858740348,-14.060357945,-0.181971486872,-14.2102013708,-0.156995264189,-14.6347665129,-0.167699430427,-14.5848113809,-0.167699265221,-13.8355965642,-0.178403431459,-14.5098974731,-0.242628428888,-13.6706618058,-0.174816820839,0.681350827651,0.0345903907383,0.350624456115,0.026566685932
