,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,31.3573834002,0.182437419891,-15.1887309286,-5.29542229628,10,10,"{'epochs': 10, 'batch_size': 10}",6,-16.1831923277,-5.24509101849,-15.2091987854,-5.23438668705,-15.0343919585,-5.30931708976,-15.5588407691,-5.20583893962,-14.9844310449,-5.12377465637,-15.0094256667,-5.40209404736,-14.7846781618,-5.43778500947,-14.7453681345,-5.40509092214,0.818059266567,0.0301381871092,0.444956917587,0.104649982423
1,155.368688732,0.254033684731,-15.5352919771,-0.503091886244,10,50,"{'epochs': 50, 'batch_size': 10}",12,-15.8835268679,-0.792118461793,-15.4339815581,-0.185540285712,-16.058348727,-0.745733906634,-15.5838301875,-0.456716296817,-15.5088948877,-0.299719710979,-15.7336776604,-0.47455574785,-14.7597037757,-0.256904367675,-15.3202166385,-0.81344631249,2.16222144277,0.0473111576673,0.370031985863,0.235718036747
2,301.086924136,0.331661850214,-15.775688124,-0.27429537318,10,100,"{'epochs': 100, 'batch_size': 10}",18,-16.3330675524,-0.513809148366,-15.7586468431,-0.206950518058,-15.8835245553,-9.99200722163e-16,-15.9584321033,-0.0677932180473,-16.1082888268,-0.27831319577,-15.2591683715,-0.267606716647,-15.7586693914,-0.642259391032,-15.1452515014,-0.217630797524,2.66214287833,0.0398212036295,0.375991519484,0.19951583378
3,17.4308276176,0.332297056913,-15.0139087344,-5.47962857992,20,10,"{'epochs': 10, 'batch_size': 20}",5,-15.483950566,-5.45920151965,-14.8845577832,-5.437783027,-15.6587545021,-5.59119817573,-15.6087930103,-4.85616380957,-14.4600024699,-5.75177570306,-15.0843644354,-5.41994217172,-14.7597078228,-5.61618910176,-14.1705294664,-5.70477513084,0.0821793070051,0.0518577273845,0.511705753809,0.262271490813
4,81.3130359352,0.43417596817,-15.426014608,-0.0530752476045,20,50,"{'epochs': 50, 'batch_size': 20}",9,-16.2830973882,-9.99200722163e-16,-14.7347045286,-9.99200722163e-16,-15.5338773681,-9.99200722163e-16,-15.5588552232,-9.99200722163e-16,-15.3590607125,-9.99200722163e-16,-15.5089070291,-9.99200722163e-16,-15.1343091605,-0.424601980836,-15.2952108739,-9.99200722163e-16,0.898774582985,0.0606134259831,0.411619867561,0.140423905935
5,163.088120729,0.486435234547,-15.7070001136,-0.0909782759285,20,100,"{'epochs': 100, 'batch_size': 20}",17,-15.9584315251,-9.99200722163e-16,-15.3840345204,-9.99200722163e-16,-16.4329587371,-0.0927710101879,-15.933471593,-9.99200722163e-16,-15.5338744773,-9.99200722163e-16,-15.8086060222,-9.99200722163e-16,-15.3091223471,-9.99200722163e-16,-15.2952039309,-0.63505519724,0.739179584622,0.0897117730086,0.373159971373,0.207871712345
6,13.1080604196,0.550428569317,-14.9577026854,-5.76461855767,40,10,"{'epochs': 10, 'batch_size': 40}",4,-15.7835986809,-5.80884468233,-14.684740146,-5.78743436738,-14.110345454,-5.80528191351,-15.7586508902,-5.43421141966,-14.559880935,-5.69110298386,-15.1842469476,-5.56265761478,-14.9095495142,-5.91947447266,-14.670401177,-6.10794100715,0.408146074039,0.101241054661,0.548947696502,0.194081914859
7,59.6115605831,0.708579033613,-15.3979212324,-0.0691252058262,40,50,"{'epochs': 50, 'batch_size': 40}",8,-16.2081840586,-9.99200722163e-16,-14.8096305778,-9.99200722163e-16,-14.9345077118,-9.99200722163e-16,-15.9834192089,-9.99200722163e-16,-14.8595706776,-9.99200722163e-16,-15.7336788168,-0.0178402770635,-15.6837381388,-9.99200722163e-16,-14.9703314935,-0.535161369546,3.0993893522,0.114355447517,0.527650403871,0.176241884315
8,120.715953231,0.753716617823,-15.4634825367,-9.99200722163e-16,40,100,"{'epochs': 100, 'batch_size': 40}",11,-16.0333633558,-9.99200722163e-16,-14.7846550353,-9.99200722163e-16,-15.6337795378,-9.99200722163e-16,-15.8835216645,-9.99200722163e-16,-15.4090042812,-9.99200722163e-16,-15.7087084778,-9.99200722163e-16,-15.5339004946,-9.99200722163e-16,-14.7203901417,-9.99200722163e-16,2.14625479089,0.0857360647674,0.448748236935,0.0
9,10.2608206868,0.803977698088,-14.9264747978,-6.0790519628,60,10,"{'epochs': 10, 'batch_size': 60}",3,-16.1582335519,-5.84454307871,-14.8095987789,-6.37616755802,-15.7336741915,-6.18707177256,-15.5088960441,-5.93016261391,-14.1852662997,-6.0051031768,-14.7097237827,-6.03363539485,-14.0104508004,-6.06930810169,-14.2954986958,-6.18642400585,0.42398586883,0.129786629124,0.737850139379,0.156629817248
10,42.1095034182,0.903881460428,-15.460359878,-9.99200722163e-16,60,50,"{'epochs': 50, 'batch_size': 60}",10,-15.9834105365,-9.99200722163e-16,-15.2591608554,-9.99200722163e-16,-15.3840449273,-9.99200722163e-16,-15.8835187737,-9.99200722163e-16,-15.4090054375,-9.99200722163e-16,-15.6088172931,-9.99200722163e-16,-15.5838475323,-9.99200722163e-16,-14.5704301907,-9.99200722163e-16,0.500269769448,0.190397463851,0.407798815041,0.0
11,82.757096976,0.88929644227,-15.6383149943,-0.0432629403388,60,100,"{'epochs': 100, 'batch_size': 60}",16,-16.432947752,-9.99200722163e-16,-14.9594653312,-9.99200722163e-16,-15.4339902306,-9.99200722163e-16,-16.1082888268,-9.99200722163e-16,-15.5338750555,-9.99200722163e-16,-15.5089087636,-9.99200722163e-16,-16.0333749191,-0.346103522711,-15.0952764227,-9.99200722163e-16,0.327652765659,0.103634648625,0.478731591608,0.114462981122
12,8.93548667431,0.965469807386,-14.7797401969,-6.3154248249,80,10,"{'epochs': 10, 'batch_size': 80}",2,-15.6087878069,-6.11927128545,-14.7846371123,-6.11926897256,-14.8845485327,-6.06575053686,-15.0593582504,-6.07645767681,-14.7596661952,-6.1371166013,-14.584833351,-6.42254790043,-14.7097272517,-6.34762038882,-13.8456876937,-7.23536523701,0.511667812898,0.0875114495998,0.459862012588,0.3686109008
13,34.8735003173,1.21059414744,-15.5508977536,-0.0138250438745,80,50,"{'epochs': 50, 'batch_size': 80}",14,-15.9584425102,-9.99200722163e-16,-14.9095194498,-9.99200722163e-16,-15.6088034172,-0.00713619342844,-15.8086008188,-9.99200722163e-16,-15.6837213721,-9.99200722163e-16,-15.6337743344,-9.99200722163e-16,-15.5338976038,-9.99200722163e-16,-15.2702195737,-0.103464157568,1.02627243156,0.14298520813,0.306352243661,0.0339608275311
14,68.933178246,1.34442469478,-15.547773794,-9.99200722163e-16,80,100,"{'epochs': 100, 'batch_size': 80}",13,-16.2331445689,-9.99200722163e-16,-15.583824984,-9.99200722163e-16,-15.4090089065,-9.99200722163e-16,-15.8585472784,-9.99200722163e-16,-15.4589536316,-9.99200722163e-16,-16.0583388983,-9.99200722163e-16,-14.9844593748,-9.99200722163e-16,-14.7953686708,-9.99200722163e-16,0.745940713068,0.128762301492,0.466183815127,0.0
15,8.84277537465,1.29823303223,-14.6923253414,-6.57233663988,100,10,"{'epochs': 10, 'batch_size': 100}",1,-15.3590497274,-6.3404951816,-14.1103414069,-6.50462754785,-15.1093214766,-6.44040618495,-15.1093104916,-6.62237023755,-14.7846342215,-6.77222600419,-15.0593831113,-6.61882605442,-14.3101440119,-6.72584260547,-13.6956976566,-6.55389930297,0.501148162204,0.0673693643382,0.54921200935,0.134287485106
16,30.6533461213,1.45190396905,-15.2948906984,-0.000446006926588,100,50,"{'epochs': 50, 'batch_size': 100}",7,-15.7336736133,-9.99200722163e-16,-14.9344915233,-9.99200722163e-16,-14.8595903351,-9.99200722163e-16,-15.3840327859,-9.99200722163e-16,-15.6587464079,-9.99200722163e-16,-15.6587545021,-0.0035680554127,-15.5338999164,-9.99200722163e-16,-14.5954307481,-9.99200722163e-16,0.263735030007,0.223477534048,0.407856397405,0.00118002341076
17,62.1258044839,1.80203065276,-15.5946068076,-9.99200722163e-16,100,100,"{'epochs': 100, 'batch_size': 100}",15,-16.3580245937,-9.99200722163e-16,-15.8085921464,-9.99200722163e-16,-15.5838296093,-9.99200722163e-16,-15.8086013969,-9.99200722163e-16,-14.8096265306,-9.99200722163e-16,-15.6088120897,-9.99200722163e-16,-16.0583464144,-9.99200722163e-16,-14.7203895631,-9.99200722163e-16,2.95259008454,0.626750087378,0.532666037819,0.0
