,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_l1_ratio,param_loss,param_penalty,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.228681594133,0.0099304318428,-15.5540474438,-15.3470892716,8e-05,0.7,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 8e-05, 'loss': 'log', 'l1_ratio': 0.7}",19,-14.9595052244,-15.2286556098,-15.2092467728,-15.4427447994,-15.2841664622,-14.8896883631,-15.6837728285,-15.3321523456,-15.3840611158,-14.8111848662,-15.4340307019,-15.6782615679,-15.7836663258,-15.2536399276,-16.6947549252,-16.140386693,0.0113538710244,0.00756608324064,0.494786100914,0.398047958079
1,0.209416002035,0.0026293694973,-15.7351099683,-15.3046950588,8e-05,0.7,modified_huber,elasticnet,"{'penalty': 'elasticnet', 'alpha': 8e-05, 'loss': 'modified_huber', 'l1_ratio': 0.7}",26,-15.2092323188,-15.1073297483,-14.7596968378,-15.1501471567,-14.1852784411,-14.4829006394,-15.8835320714,-14.4722066333,-16.1082998119,-15.2072326566,-16.5578509033,-15.792418773,-16.2831210928,-15.4034816517,-16.8947067338,-16.8218432113,0.0274228867694,0.000621549610043,0.87412236871,0.706230470085
2,0.187101274729,0.0033478140831,-15.8225334247,-15.6347535622,8e-05,0.7,perceptron,elasticnet,"{'penalty': 'elasticnet', 'alpha': 8e-05, 'loss': 'perceptron', 'l1_ratio': 0.7}",29,-15.4589703983,-15.5069506329,-16.2831424848,-15.5605031836,-15.4090227824,-15.7067713179,-15.9334889379,-15.0787929045,-15.5838405944,-15.3820713367,-16.3081122456,-15.8352444416,-15.5838486886,-15.3142856356,-16.0199840355,-16.6934090451,0.00885279816074,0.00237181351237,0.338454908674,0.456018302935
3,0.207002937794,0.0035003721714,-15.6851700523,-15.4849011408,8e-05,0.75,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 8e-05, 'loss': 'log', 'l1_ratio': 0.75}",24,-14.8096560169,-15.1287425413,-15.5838590955,-15.6389966856,-14.9345256348,-14.7112747715,-15.9584858723,-15.5141268888,-16.2331728988,-15.414188709,-15.9335218931,-15.849524841,-15.6088363725,-15.2143860314,-16.4198338448,-16.407968658,0.00822523540153,0.002262165119,0.538785721353,0.476068409616
4,0.182449012995,0.00280159711838,-15.7757001943,-15.501843862,8e-05,0.75,modified_huber,elasticnet,"{'penalty': 'elasticnet', 'alpha': 8e-05, 'loss': 'modified_huber', 'l1_ratio': 0.75}",28,-14.9844680472,-15.45700017,-15.5838440633,-15.1858310149,-15.683731779,-14.8218779636,-16.6327688582,-15.1822600684,-15.8086164291,-15.5319371809,-15.9834463825,-15.935143385,-15.9085099265,-15.8423622146,-15.6201035615,-16.0583388983,0.0079735833832,0.00113808858846,0.431869485222,0.400102496028
5,0.186382621527,0.00260972976685,-15.6227209266,-15.2395874734,8e-05,0.75,perceptron,elasticnet,"{'penalty': 'elasticnet', 'alpha': 8e-05, 'loss': 'perceptron', 'l1_ratio': 0.75}",20,-14.4849918882,-14.9039598413,-15.4090152663,-15.0074187449,-15.4090302985,-15.082364264,-15.9334924068,-15.0787966216,-15.3341198597,-14.6649067369,-17.0823060737,-16.2027467149,-14.7097451747,-14.5399806048,-16.6197873891,-16.4365262587,0.00804651307267,0.000447843662337,0.8309231389,0.651648578725
6,0.207703351974,0.00233402848244,-15.8256622269,-15.3863336244,8e-05,0.8,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 8e-05, 'loss': 'log', 'l1_ratio': 0.8}",31,-14.9595081152,-14.7969211526,-14.8096542824,-14.9217961534,-16.1582595692,-15.4356099276,-16.4329916923,-15.692523299,-15.4589767581,-14.4864821591,-16.657756542,-15.9993722647,-15.5339161049,-15.4534521045,-16.5947908818,-16.304511934,0.00596626751341,0.000221256293114,0.686056814535,0.580138747129
7,0.186379849911,0.00328728556633,-15.397928966,-15.2217579401,8e-05,0.8,modified_huber,elasticnet,"{'penalty': 'elasticnet', 'alpha': 8e-05, 'loss': 'modified_huber', 'l1_ratio': 0.8}",9,-14.8845774407,-15.0573822591,-15.2342182681,-15.3142943089,-15.2591695278,-15.0288291425,-15.3341048275,-14.8076148283,-15.8086048659,-15.1786883785,-15.3840599595,-15.4498784321,-15.6587585492,-15.6246956355,-15.6200989329,-15.3126805356,0.00630772139343,0.00245717873828,0.273842067942,0.242084188033
8,0.18286472559,0.00251564383507,-15.513455194,-15.3769697104,8e-05,0.8,perceptron,elasticnet,"{'penalty': 'elasticnet', 'alpha': 8e-05, 'loss': 'perceptron', 'l1_ratio': 0.8}",15,-15.034411616,-15.3249794764,-14.534949911,-15.0074474908,-15.2341910945,-14.7291031537,-15.8835661829,-15.653284354,-15.733693849,-15.3214186901,-15.5089613763,-15.5712219706,-15.9584748872,-15.3749465425,-16.2199034436,-16.0333560049,0.00982736524319,0.000246507370844,0.51809700646,0.371987471244
9,0.205347776413,0.00266107916832,-15.1013428155,-14.9488028947,8e-05,0.9,log,elasticnet,"{'penalty': 'elasticnet', 'alpha': 8e-05, 'loss': 'log', 'l1_ratio': 0.9}",6,-14.285184658,-14.6256256644,-15.1343062696,-14.7862012092,-14.634827798,-14.7326845908,-15.5089515476,-15.1822928618,-15.1842666051,-14.6970056887,-15.3091506771,-15.06453043,-15.0843806239,-15.1323199309,-15.6700855832,-15.3697627819,0.00870776950009,0.000545029459976,0.422003148821,0.254898985111
