,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6.59691807628,0.026081264019,-13.6495397026,-12.7267517283,identity,1,"(10,)",lbfgs,"{'alpha': 1, 'activation': 'identity', 'solver': 'lbfgs', 'hidden_layer_sizes': (10,)}",45,-14.0354003255,-12.6488680347,-12.8865970656,-12.8379742282,-13.8356081274,-12.7701803493,-14.185249533,-12.6131835982,-14.4349881907,-12.6167538013,-13.535922432,-12.7773149733,-13.411052236,-12.7202279039,-12.8709367297,-12.8295109374,0.35444002358,0.0078211898862,0.54144333468,0.0854972810216
1,39.6180894971,0.00625941157341,-13.5371450956,-12.8204099048,identity,1,"(10,)",sgd,"{'alpha': 1, 'activation': 'identity', 'solver': 'sgd', 'hidden_layer_sizes': (10,)}",24,-13.9355004684,-12.7416365668,-12.8865953311,-12.8558129358,-13.7357082704,-12.8736530476,-14.3350946934,-12.6167504972,-14.0603764461,-12.7452024746,-13.2362350022,-12.8629468163,-13.1613130001,-12.848677238,-12.9459100516,-13.0185996619,7.36834564727,0.0068540504362,0.513945242976,0.111419459867
2,11.5271793604,0.00525951385498,-13.6151992751,-12.8931129081,identity,1,"(10,)",adam,"{'alpha': 1, 'activation': 'identity', 'solver': 'adam', 'hidden_layer_sizes': (10,)}",36,-14.0603770243,-12.7380721459,-12.8116785325,-12.9664297574,-13.7856529954,-12.9378768886,-14.2851482338,-12.741636732,-14.3600656105,-12.7594740354,-13.5109520931,-13.0199475323,-13.1862920115,-12.9414538652,-12.9209256944,-13.040012308,2.29214799867,0.0029205966578,0.564941115488,0.118440120007
3,5.50174179673,0.00815546512604,-13.6339300232,-12.7361186125,identity,1,"(30,)",lbfgs,"{'alpha': 1, 'activation': 'identity', 'solver': 'lbfgs', 'hidden_layer_sizes': (30,)}",39,-14.1103223275,-12.623891399,-12.7866995211,-12.8165655653,-13.9355068282,-12.8165657305,-14.3600702358,-12.6595689794,-14.3350918025,-12.6310263534,-13.3611057764,-12.8094282154,-13.3860778499,-12.7452047874,-12.7959599364,-12.7866978692,0.704602410372,0.00686973964882,0.601291994294,0.0794179965088
4,40.3290718198,0.00952288508415,-13.5652434583,-12.8003398656,identity,1,"(30,)",sgd,"{'alpha': 1, 'activation': 'identity', 'solver': 'sgd', 'hidden_layer_sizes': (30,)}",30,-13.9854498188,-12.734501282,-12.8616215231,-12.8807894063,-13.9105255042,-12.7987229753,-14.110327531,-12.6809768163,-14.1103246402,-12.6667044294,-13.2861826181,-12.8344013818,-13.2612105446,-12.8451084391,-12.995893809,-12.9615141945,1.04040578593,0.00497330144374,0.484705132253,0.0949058781812
5,14.3154194951,0.0103573799133,-13.5059211833,-12.8850789101,identity,1,"(30,)",adam,"{'alpha': 1, 'activation': 'identity', 'solver': 'adam', 'hidden_layer_sizes': (30,)}",14,-13.8855488054,-12.8308339872,-12.8116640785,-12.9699851746,-13.6607839557,-13.0627629582,-14.410015539,-12.7273600498,-14.2351954144,-12.7559041627,-12.9365446815,-12.9057618292,-13.2112571471,-12.8665137153,-12.8959187726,-12.961509404,1.99447463204,0.00651843595635,0.589748030002,0.10600626787
6,13.503500551,0.0124634206295,-13.6651506108,-12.7544041093,identity,1,"(100,)",lbfgs,"{'alpha': 1, 'activation': 'identity', 'solver': 'lbfgs', 'hidden_layer_sizes': (100,)}",48,-14.0104276739,-12.6845490845,-13.0114689961,-12.8237013457,-13.8855568997,-12.8129975925,-14.3101203072,-12.6381605644,-14.3850411529,-12.6096175253,-13.5109486241,-12.8415410445,-13.4360266221,-12.7666132851,-12.7709680577,-12.8580524322,1.48846541483,0.00514165395654,0.548270103198,0.0908815359889
7,61.5724352002,0.00950947403908,-13.5933428328,-12.7709049851,identity,1,"(100,)",sgd,"{'alpha': 1, 'activation': 'identity', 'solver': 'sgd', 'hidden_layer_sizes': (100,)}",32,-13.9355022029,-12.727365006,-12.836647137,-12.8629499552,-13.810632585,-12.8201325469,-14.3850434656,-12.602479432,-14.2351965707,-12.6452970056,-13.2861837744,-12.8094261503,-13.3860801625,-12.8129966838,-12.8709344154,-12.886593101,1.29326667319,0.00553877414755,0.551663788758,0.0959004835954
8,18.7055409551,0.00965678691864,-13.5277748068,-12.8520721465,identity,1,"(100,)",adam,"{'alpha': 1, 'activation': 'identity', 'solver': 'adam', 'hidden_layer_sizes': (100,)}",20,-13.71072579,-12.798720745,-12.936539478,-12.8629411167,-13.6857502475,-12.8415310496,-14.0104322992,-12.713089728,-14.2351931018,-12.6595659231,-13.3361250305,-12.9378728411,-13.0614160339,-12.9485831199,-13.2458125962,-13.0542726485,1.84628912898,0.00468305451994,0.42941589564,0.120939835323
9,3.1485556066,0.00911527872086,-13.6589058717,-12.7593100361,identity,3,"(10,)",lbfgs,"{'alpha': 3, 'activation': 'identity', 'solver': 'lbfgs', 'hidden_layer_sizes': (10,)}",47,-14.0853479414,-12.7237984374,-12.9365458378,-12.7987249578,-13.8106331632,-12.8165649045,-14.2351977271,-12.6595684838,-14.3600650323,-12.6667069901,-13.5109486241,-12.8022919394,-13.5608991308,-12.7452042918,-12.7709674791,-12.8616202842,0.397104097384,0.00808142728998,0.544287363696,0.0681269347574
