,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,65.5603897572,7.21187698841,-13.7463114758,-12.6130071089,0.1,0.01,linear,"{'kernel': 'linear', 'C': 0.1, 'gamma': 0.01}",8,-13.5733698463,-12.6175533862,-14.2351893437,-12.5842521188,-13.8480854918,-12.5842457582,-13.3284501509,-12.6659771723,0.446241205543,0.0813878464641,0.336843549885,0.0334684964008
1,39.544845283,9.167737782,-14.2832107274,-13.4371302426,0.1,0.01,rbf,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.01}",12,-14.1976317897,-13.4208948562,-14.0852580373,-13.2002702491,-14.7220849366,-13.3501258562,-14.127811964,-13.777230009,0.160711234059,0.0417695333384,0.256555761512,0.211898477252
2,40.7153525949,7.49598926306,-13.7025989525,-14.3519767911,0.1,0.01,sigmoid,"{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.01}",4,-13.5109309902,-14.478342898,-13.9230028685,-14.2493872881,-13.9105148082,-14.0745434911,-13.465861555,-14.6056334871,0.660532442971,0.0262476871656,0.214816499461,0.20481940489
3,55.9406867027,7.28663659096,-13.7463114758,-12.6130071089,0.1,0.1,linear,"{'kernel': 'linear', 'C': 0.1, 'gamma': 0.1}",8,-13.5733698463,-12.6175533862,-14.2351893437,-12.5842521188,-13.8480854918,-12.5842457582,-13.3284501509,-12.6659771723,0.642545257147,0.190280739137,0.336843549885,0.0334684964008
4,52.2204117179,9.63807553053,-15.63501692,-15.6350169626,0.1,0.1,rbf,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1}",14,-15.6336037767,-15.6354880245,-15.6336037767,-15.6354880245,-15.6336037767,-15.6354880245,-15.639257883,-15.6336037767,0.0764267313577,0.0667229940964,0.00244807847814,0.000815903219436
5,36.1084203124,5.05346846581,-16.6123976613,-17.463674244,0.1,0.1,sigmoid,"{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.1}",26,-16.8824916164,-17.5547431613,-16.8325373516,-17.5256030585,-15.945958497,-17.2966459067,-16.7886669073,-17.4777048494,2.86134984523,0.0570383833338,0.386221092831,0.100279670344
6,55.1656719446,7.17980629206,-13.7463114758,-12.6130071089,0.1,1,linear,"{'kernel': 'linear', 'C': 0.1, 'gamma': 1}",8,-13.5733698463,-12.6175533862,-14.2351893437,-12.5842521188,-13.8480854918,-12.5842457582,-13.3284501509,-12.6659771723,0.533899275871,0.128868017763,0.336843549885,0.0334684964008
7,56.2373814583,9.79688704014,-15.63501692,-15.6350169626,0.1,1,rbf,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 1}",14,-15.6336037767,-15.6354880245,-15.6336037767,-15.6354880245,-15.6336037767,-15.6354880245,-15.639257883,-15.6336037767,0.381464413411,0.116832964874,0.00244807847814,0.000815903219436
8,23.1916559935,5.04846894741,-16.5530765427,-17.5490192296,0.1,1,sigmoid,"{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 1}",23,-16.4454427503,-17.6837911141,-16.9449174639,-17.6213476237,-16.5952867543,-17.6421636624,-16.2265411491,-17.2487745184,0.303781507298,0.0255802232626,0.261494540482,0.174798190328
9,173.245730042,6.71232795715,-13.7150909604,-12.6306981621,1,0.01,linear,"{'kernel': 'linear', 'C': 1, 'gamma': 0.01}",5,-13.535907978,-12.6633452792,-14.1103194367,-12.5842524079,-13.8855476491,-12.5551070047,-13.3284489942,-12.7200879568,1.84954029692,0.530538647794,0.302836049804,0.0650530568363
