,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,99.5090016425,4.16742151976,-13.6089371173,-12.7414546374,0.1,0.01,linear,"{'kernel': 'linear', 'C': 0.1, 'gamma': 0.01}",1,-14.0603602576,-12.7166465494,-12.7367322477,-12.8807732161,-13.5109335919,-12.7773032436,-14.5348759064,-12.6452818892,-14.3101029624,-12.6345778882,-13.3111327214,-12.8058395092,-13.4110360474,-12.7059384182,-12.9958799231,-12.7652763855,0.48620255186,0.0306088669466,0.594432525028,0.0774244441332
1,54.8117088079,5.14124724269,-14.0834092153,-13.1900599838,0.1,0.01,rbf,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.01}",12,-14.0103351681,-13.1411726181,-14.2350994396,-13.2589166294,-13.485881154,-13.2196698371,-14.3599829334,-13.0055880818,-14.534788604,-13.1376033236,-14.6097111841,-13.1875525475,-13.9603852395,-13.2589153904,-13.4706469319,-13.3110614423,0.822233873718,0.0233129007104,0.408209683978,0.0895671861062
2,54.9581791461,4.33600842953,-13.8555853034,-14.5709783405,0.1,0.01,sigmoid,"{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.01}",11,-14.110313077,-14.5399445899,-13.1862781357,-14.6398555107,-13.9354929523,-14.6148760665,-14.2601605499,-14.4828563641,-14.6847193322,-14.4578788198,-13.8605790446,-14.593467321,-13.4110493452,-14.6327198129,-13.3957575042,-14.6062282393,0.650083079281,0.0656258124082,0.47162944043,0.0649533216097
3,98.5980879962,4.09220227599,-13.6089371173,-12.7414546374,0.1,0.1,linear,"{'kernel': 'linear', 'C': 0.1, 'gamma': 0.1}",1,-14.0603602576,-12.7166465494,-12.7367322477,-12.8807732161,-13.5109335919,-12.7773032436,-14.5348759064,-12.6452818892,-14.3101029624,-12.6345778882,-13.3111327214,-12.8058395092,-13.4110360474,-12.7059384182,-12.9958799231,-12.7652763855,0.560378620734,0.134993451212,0.594432525028,0.0774244441332
4,103.63904804,5.66450920701,-15.63501692,-15.6350169382,0.1,0.1,rbf,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1}",14,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6449160805,-15.6336037767,1.3158856148,0.053860011009,0.00374017804882,0.000534124841024
5,53.100083977,2.84488451481,-16.6717137205,-17.3768516425,0.1,0.1,sigmoid,"{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 0.1}",22,-16.2581345653,-17.580011148,-17.1072567552,-17.4158782861,-16.5078691759,-17.4372879403,-17.2570972902,-17.3516528757,-15.9334767965,-17.1447037619,-17.2321257949,-17.3195406248,-16.3330438478,-17.4016060645,-16.7447583543,-17.3641324384,6.29485573487,0.0312331522798,0.462263901099,0.114584105743
6,98.4521543682,4.18730339408,-13.6089371173,-12.7414546374,0.1,1,linear,"{'kernel': 'linear', 'C': 0.1, 'gamma': 1}",1,-14.0603602576,-12.7166465494,-12.7367322477,-12.8807732161,-13.5109335919,-12.7773032436,-14.5348759064,-12.6452818892,-14.3101029624,-12.6345778882,-13.3111327214,-12.8058395092,-13.4110360474,-12.7059384182,-12.9958799231,-12.7652763855,1.44823443638,0.116510200684,0.594432525028,0.0774244441332
7,108.432554543,5.73426502943,-15.63501692,-15.6350169382,0.1,1,rbf,"{'kernel': 'rbf', 'C': 0.1, 'gamma': 1}",14,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6336037767,-15.6352188184,-15.6449160805,-15.6336037767,0.773849623611,0.0913081084179,0.00374017804882,0.000534124841024
8,35.1306568682,2.90451490879,-16.7154251596,-17.5235919467,0.1,1,sigmoid,"{'kernel': 'sigmoid', 'C': 0.1, 'gamma': 1}",24,-16.3580315316,-17.6371019345,-16.8325431333,-17.583580112,-16.3580251718,-17.6156922803,-17.2321286858,-17.5050828104,-16.6077730801,-17.4729701464,-17.2820757235,-17.5086503702,-16.7326432762,-17.6085564173,-16.3198946803,-17.2571015026,6.50272166151,0.0514192698466,0.358044400187,0.115287733707
9,477.295509368,3.88851347566,-13.6495235849,-12.7267369331,1,0.01,linear,"{'kernel': 'linear', 'C': 1, 'gamma': 0.01}",7,-14.1103084517,-12.6845347941,-12.8116554061,-12.8522288554,-13.5359062435,-12.7808714643,-14.5848235223,-12.6417148251,-14.2102059961,-12.6381456132,-13.4609790381,-12.8129761983,-13.4609842415,-12.6595532849,-13.0208712232,-12.7438704296,5.07942312197,0.311638424788,0.568182740196,0.0772830685841
