,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,143.59219566,1.24690231681,-13.5246225147,-4.41853471916,entropy,10,,1,2,250,"{'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",31,-13.4110181244,-4.54570474346,-12.7866630969,-4.4065515736,-13.435994245,-4.2495562268,-14.3100827267,-4.16392248388,-13.785629869,-4.22814772912,-13.8105984735,-4.83828404825,-13.3860396912,-4.43509444744,-13.2707703387,-4.48101650069,2.28705368516,0.179539445128,0.420702889502,0.2019628168
1,229.178117335,2.42309084535,-13.5745746454,-4.41630377265,entropy,10,,1,2,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",63,-13.4859412828,-4.54570499126,-12.8615833645,-4.48148057206,-13.5109150907,-4.21387534227,-14.3100804141,-4.10326529406,-13.960447681,-4.23171578454,-13.7107020854,-4.83114793743,-13.4110140773,-4.37800539563,-13.3457477106,-4.54523486399,15.6270648017,0.132572420725,0.404329161484,0.219152186695
2,297.140262365,2.73492965102,-13.5058891647,-4.43012973638,entropy,10,,1,2,350,"{'min_samples_leaf': 1, 'n_estimators': 350, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",22,-13.2112230355,-4.53143260441,-12.9115321367,-4.48504854487,-13.4110192808,-4.21030736946,-14.2351589902,-4.13180957216,-13.8855239445,-4.31378114163,-13.7606514357,-4.81330774297,-13.5358836952,-4.39227761728,-13.0958242948,-4.56307329824,3.73462757416,0.0983980168735,0.412159506927,0.203120744192
3,209.005137026,1.94269293547,-13.6557485925,-4.83777783431,entropy,10,,1,10,250,"{'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",97,-13.4609634277,-4.91321569001,-12.8366118692,-4.92035279207,-13.5608661756,-4.6170683298,-14.5348493109,-4.68485997839,-14.1352672274,-4.68842943805,-13.7356799404,-5.22720365769,-13.6108068536,-4.78476453871,-13.3707378536,-4.86632824978,3.21154791715,0.183437463374,0.475713923747,0.181034872634
4,255.03546688,2.56409201026,-13.5933073449,-4.80298972853,entropy,10,,1,10,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",73,-13.4609651622,-4.84899077518,-12.8615868334,-4.8739679891,-13.5608650193,-4.57781905944,-14.4848993824,-4.65274731447,-14.0103941405,-4.68486121744,-13.5109121999,-5.21293118823,-13.5109104654,-4.74551617698,-13.3457465535,-4.82708410741,3.15850102766,0.287479462823,0.446912222435,0.182455034429
5,295.03219986,2.77626264095,-13.6307715152,-4.82216656643,entropy,10,,1,10,350,"{'min_samples_leaf': 1, 'n_estimators': 350, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",88,-13.3610693522,-4.90251111076,-12.9115338712,-4.80974266126,-13.4859418609,-4.63847624926,-14.5348481546,-4.60993064952,-14.1352637584,-4.69199708045,-13.810600208,-5.21649940885,-13.5858342019,-4.77762867569,-13.220784267,-4.93054669568,3.36064663366,0.311721459511,0.48546122387,0.184244463313
6,208.497824162,2.61541482806,-13.6463817007,-6.25473391203,entropy,10,,1,30,250,"{'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",95,-13.5109121999,-6.26551868639,-12.9115344493,-6.40467342571,-13.3111246271,-6.0906848798,-14.3600309208,-6.08711376808,-14.2851077625,-6.18345382491,-13.885518741,-6.57236880858,-13.5358871642,-6.24054072904,-13.3707384322,-6.19351717376,6.77746128757,0.48834880685,0.465496037037,0.153104735627
7,232.344314009,2.24513658881,-13.6057952331,-6.27391106445,entropy,10,,1,30,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",78,-13.5109127781,-6.24054196809,-12.8615862553,-6.43321786901,-13.1862538529,-6.10495751447,-14.2851100751,-6.08354587787,-14.3350559565,-6.22270251706,-13.8355711251,-6.59734536168,-13.3610687741,-6.21556425855,-13.4707053685,-6.29341314891,0.798261737732,0.316241161454,0.482603226346,0.159017727743
8,280.394350469,2.74500137568,-13.5839413927,-6.28907484879,entropy,10,,1,30,350,"{'min_samples_leaf': 1, 'n_estimators': 350, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",69,-13.4359919324,-6.24411051912,-12.7866648314,-6.46533011991,-13.3111246271,-6.07998063096,-14.2601374235,-6.0407287999,-14.1352643366,-6.26195112659,-13.8105961608,-6.6580023863,-13.4110181244,-6.24054031603,-13.5206879688,-6.32195489149,2.10861235993,0.312128844347,0.444210201741,0.186669422304
9,195.850461096,1.94855880737,-13.5995513613,-7.35235034251,entropy,10,,1,50,250,"{'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",75,-13.5358871642,-7.22533525696,-12.9365082573,-7.38232862128,-13.3111223145,-7.2217686058,-14.5348516236,-7.1075882719,-13.960444212,-7.38946588855,-13.8355734377,-7.70345170855,-13.485938392,-7.35378244331,-13.1957935454,-7.43508194371,1.18337804783,0.251513605913,0.469517978585,0.16788682649
10,234.535996228,2.42302140594,-13.5808185895,-7.36305411476,entropy,10,,1,50,300,"{'min_samples_leaf': 1, 'n_estimators': 300, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",68,-13.6357835523,-7.22176662333,-12.8865606414,-7.4144413678,-13.3360955443,-7.20036043853,-14.5847998176,-7.08974766442,-13.8355734377,-7.41444252425,-13.7856252437,-7.76410889838,-13.3610676177,-7.33237394563,-13.2207825312,-7.46719145574,0.634366448434,0.293442652171,0.479285606774,0.193339086758
11,266.938980222,2.270470649,-13.5214996392,-7.34788956074,entropy,10,,1,50,350,"{'min_samples_leaf': 1, 'n_estimators': 350, 'min_samples_split': 50, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",30,-13.485938392,-7.17538124214,-12.7367166374,-7.40730542218,-13.1862509621,-7.17895144523,-14.4849040077,-7.06477135914,-13.8605466675,-7.45369105118,-13.8105984735,-7.72842850946,-13.3860414257,-7.29312517089,-13.2207831098,-7.48146228574,2.24717888477,0.52997567906,0.495619715987,0.199634048217
12,167.783800215,1.54030111432,-13.5496000256,-4.77801503811,entropy,10,,3,2,250,"{'min_samples_leaf': 3, 'n_estimators': 250, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",48,-13.3860420038,-5.07734656941,-12.7866659877,-4.85612812505,-13.111332429,-4.37800688249,-14.3850053069,-4.59208946382,-14.1352672274,-4.63490819385,-13.7856240874,-5.23790716311,-13.3860443165,-4.77049264747,-13.4207256611,-4.67724125971,1.02852939221,0.375270754745,0.492574356269,0.257989374782
13,204.767312527,2.04969149828,-13.4871589948,-4.78336650565,entropy,10,,3,2,300,"{'min_samples_leaf': 3, 'n_estimators': 300, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",11,-13.31112058,-4.95246438215,-12.7866654096,-4.9239211779,-13.061384235,-4.42795957566,-14.1602393009,-4.58852140841,-14.085317877,-4.63490778083,-13.8355722814,-5.24147513592,-13.3860454728,-4.78476495172,-13.2707703387,-4.71291763264,2.96332625797,0.543316251135,0.459939533535,0.237038212898
14,229.472229242,1.95259901881,-13.5308666033,-4.80165210813,entropy,10,,3,2,350,"{'min_samples_leaf': 3, 'n_estimators': 350, 'min_samples_split': 2, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",33,-13.2611723859,-4.97387238422,-12.8615879898,-4.91321668125,-13.1363056588,-4.46720851561,-14.3850047288,-4.57781707696,-14.0603429128,-4.65631627852,-13.6857259648,-5.24861108154,-13.5858365146,-4.81687736784,-13.270768603,-4.75929747909,2.30045122423,0.424020994578,0.471832916939,0.231025341043
15,165.982632697,1.45988562703,-13.5277440892,-5.07237516296,entropy,10,,3,10,250,"{'min_samples_leaf': 3, 'n_estimators': 250, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",32,-13.2361974217,-5.23791021942,-12.5868732115,-5.17725484686,-13.2861485065,-4.86326448369,-14.360031499,-4.84185515998,-14.010395875,-4.89180867918,-13.810596739,-5.44485553349,-13.610808588,-4.99171365252,-13.3207512033,-5.13033872857,4.15153449397,0.292497484474,0.510412792867,0.198897048328
16,153.025694042,1.21478423476,-13.465303203,-5.07014584559,entropy,10,,3,10,300,"{'min_samples_leaf': 3, 'n_estimators': 300, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",3,-13.1612748415,-5.19866160988,-12.6368219837,-5.1344379341,-13.2112265045,-4.79190354064,-14.4099779585,-4.88467207274,-13.8855262571,-4.95960197983,-13.7356741588,-5.48410430823,-13.4609651622,-5.02739428925,-13.2207819526,-5.08039103008,12.6980992404,0.286376897312,0.505645466973,0.199368781853
17,162.740855694,1.40471386909,-13.5058891647,-5.07817356439,entropy,10,,3,10,350,"{'min_samples_leaf': 3, 'n_estimators': 350, 'min_samples_split': 10, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",22,-13.2361962653,-5.1808210024,-12.6368219837,-5.13800615472,-13.4110181244,-4.81331154271,-14.3350548002,-4.8525589132,-13.8605507147,-5.00598645239,-13.785622931,-5.48767211583,-13.5109121999,-5.04880286953,-13.2707662887,-5.09822946433,0.805286400433,0.294932686029,0.472227865172,0.196639014559
18,110.658338696,0.932415366173,-13.5620865404,-6.3840737784,entropy,10,,3,30,250,"{'min_samples_leaf': 3, 'n_estimators': 250, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",51,-13.386046051,-6.45462744053,-12.8865623759,-6.37969712042,-13.3860443165,-6.23697647337,-14.3850024161,-6.1977243119,-14.0103947187,-6.31904075663,-13.8605455112,-6.72936456839,-13.3360914971,-6.32617430676,-13.2457767243,-6.42898524921,1.23565325618,0.156649342602,0.45232231112,0.154185411027
19,137.318319321,1.48417380452,-13.5683301231,-6.39076253435,entropy,10,,3,30,300,"{'min_samples_leaf': 3, 'n_estimators': 300, 'min_samples_split': 30, 'criterion': 'entropy', 'max_features': None, 'max_depth': 10}",56,-13.4359913542,-6.42608192339,-12.9365105699,-6.4011054529,-13.3610710867,-6.21199958986,-14.4099785367,-6.17988395223,-13.9354715604,-6.34401739232,-13.7856217747,-6.7293648162,-13.3360920753,-6.31546939709,-13.345743082,-6.51817775084,1.27093038177,1.0069248027,0.426265969646,0.164514706566
