,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
0,21/11/2017 19:45,E1,Aston Villa,Sunderland,H,0.442220457664,-0.146014836453,1.2,1.7
2,21/11/2017 19:45,E1,Brentford,Burton,H,0.479978327882,-0.23944613255,0.8,1.39
3,21/11/2017 19:45,E1,Bristol City,Preston,H,0.462633708983,-0.0636820804908,0.8,1.9
4,21/11/2017 19:45,E1,Derby,QPR,H,0.447191695005,-0.10836386055,2.4,1.8
10,22/11/2017 19:45,E1,Middlesbrough,Birmingham,H,0.55493210784,-0.0474775307145,2.2,1.66
11,22/11/2017 19:45,E1,Wolves,Leeds,H,0.550963814927,-0.0779670026828,2.2,1.59
13,25/11/2017 15:00,E1,Aston Villa,Ipswich,H,0.457570285328,-0.171360532282,1.0,1.59
15,25/11/2017 15:00,E1,Fulham,Millwall,H,0.4155672687,-0.127910992169,1.11022302463e-16,1.84
20,25/11/2017 15:00,E1,Wolves,Bolton,H,0.504822046508,-0.241446610208,1.8,1.34
21,25/11/2017 17:30,E1,Sheffield United,Birmingham,H,0.578612841396,-0.0425051710267,3.4,1.61
