,Date,Div,HomeTeam,AwayTeam,pred,probs,prob_less_bet,H-A,INFO_ODD_BET
0,08/12/2017 19:30,D1,Stuttgart,Leverkusen,H,0.518368746195,0.200908428735,0.4,3.15
3,09/12/2017 14:30,D1,Hamburg,Wolfsburg,H,0.53470757813,0.142550715385,0.6,2.55
6,10/12/2017 12:30,D1,FC Koln,Freiburg,H,0.448068906616,0.00754027225495,1.4,2.27
8,10/12/2017 17:00,D1,Augsburg,Hertha,H,0.49118178164,-0.0242821358858,-0.2,1.94
9,12/12/2017 17:30,D1,Wolfsburg,RB Leipzig,H,0.51505066692,0.192470021759,1.8,3.1
11,12/12/2017 19:30,D1,Hamburg,Ein Frankfurt,H,0.443033971537,0.0584185869216,0.0,2.6
12,12/12/2017 19:30,D1,Freiburg,M'gladbach,H,0.423402226922,0.138501942022,0.6,3.51
13,13/12/2017 17:30,D1,Hoffenheim,Stuttgart,H,0.55734507862,0.0310292891461,1.8,1.9
16,13/12/2017 19:30,D1,Schalke 04,Augsburg,H,0.583854223123,0.0282986675677,0.4,1.8
17,13/12/2017 19:30,D1,Hertha,Hannover,H,0.488882691367,-0.0136298714469,0.6,1.99
