,index,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,INFO_WIN_P,probs_A,probs_D,probs_H,probs,pred,WIN,WIN_P,INFO_ODD_BET,prob_less_bet
0,35335,4.6,10.0,0.2,14.4,5.6,2.2,1.4,2.0,0.2,0.4,0.4,4.0,13.6,0.0,13.8,4.4,0.8,0.8,0.6,0.2,0.2,2.8,5.67,9.67,0.0,16.67,4.33,3.0,1.33,2.0,0.33,0.33,0.33,3.33,15.33,0.0,8.67,3.0,0.33,1.0,0.33,0.33,0.33,2.33,3.847,1.581,0.447,7.861,2.51,1.304,0.894,1.0,0.447,0.548,0.548,3.873,4.669,0.0,9.011,2.881,0.837,1.304,0.548,0.447,0.447,1.643,5.033,1.528,0.0,10.017,2.517,1.0,1.155,1.0,0.577,0.577,0.577,4.933,5.686,0.0,4.619,1.732,0.577,1.732,0.577,0.577,0.577,2.082,3.4,12.4,0.2,17.2,5.2,2.0,1.4,0.6,0.6,0.2,0.2,5.0,10.8,0.2,13.0,3.6,0.2,0.2,0.2,0.6,0.2,1.4,4.33,11.67,0.0,23.67,7.67,2.33,2.0,1.0,0.67,0.0,0.33,2.67,8.67,0.33,9.33,3.0,0.33,0.33,0.33,0.33,0.33,1.33,1.817,4.159,0.447,9.68,3.768,0.707,1.517,0.894,0.548,0.447,0.447,3.536,3.271,0.447,6.083,1.817,0.447,0.447,0.447,0.548,0.447,0.894,1.528,5.508,0.0,5.508,2.309,0.577,1.732,1.0,0.577,0.0,0.577,2.082,0.577,0.577,4.163,1.732,0.577,0.577,0.577,0.577,0.577,1.155,Chelsea,1.49,4.45,6.93,2016-10-01,E0,2.0,0.0,A,D,Hull,1.48,4.63,7.68,1.49,1.48,0.536470562091,0.235778847208,0.227750590701,0.536470562091,A,0.49,0.48,1.49,-0.134670377507
1,35336,5.4,12.0,0.0,12.4,3.0,2.2,0.8,0.8,0.2,0.6,0.2,6.6,8.6,0.0,13.8,3.4,0.2,0.2,0.2,0.6,0.2,1.6,5.67,13.0,0.0,11.33,2.67,3.0,0.67,0.67,0.33,0.33,0.33,6.33,10.0,0.0,12.67,3.67,0.0,0.0,0.0,1.0,0.0,2.0,1.517,2.646,0.0,2.51,0.707,1.304,0.447,0.447,0.447,0.548,0.447,2.881,2.51,0.0,3.033,1.342,0.447,0.447,0.447,0.548,0.447,1.14,0.577,2.0,0.0,2.082,0.577,1.0,0.577,0.577,0.577,0.577,0.577,3.512,1.732,0.0,1.155,1.528,0.0,0.0,0.0,0.0,0.0,1.0,3.6,10.0,0.2,14.8,6.0,1.0,2.0,1.8,0.6,0.0,0.4,4.8,12.6,0.0,13.8,4.6,0.8,0.8,0.4,0.2,0.4,1.4,3.33,11.33,0.0,16.0,5.33,1.33,2.67,1.0,1.0,0.0,0.0,5.33,12.33,0.0,13.33,3.67,0.67,0.33,0.33,0.33,0.33,0.67,1.673,2.915,0.447,5.891,2.55,0.707,1.225,1.304,0.548,0.0,0.548,2.049,2.191,0.0,2.95,2.191,1.095,0.837,0.548,0.447,0.548,1.517,2.082,3.055,0.0,6.928,3.215,0.577,0.577,1.0,0.0,0.0,0.0,2.517,2.309,0.0,4.041,1.528,1.155,0.577,0.577,0.577,0.577,0.577,West Brom,3.16,3.17,2.44,2016-10-01,E0,1.0,1.0,D,A,Sunderland,3.26,3.24,2.47,3.17,3.24,0.420160360855,0.291064075339,0.288775563806,0.420160360855,A,-1.0,-1.0,3.16,0.103704664653
2,35337,6.0,13.2,0.0,15.0,4.6,2.2,1.6,1.6,0.4,0.4,0.2,4.8,11.0,0.0,9.6,3.2,1.0,0.8,0.4,0.4,0.2,2.0,7.0,11.67,0.0,17.33,4.33,2.33,1.0,1.33,0.33,0.33,0.33,4.0,10.33,0.0,8.67,3.33,1.0,0.67,0.67,0.0,0.33,1.33,3.391,4.919,0.0,6.964,1.673,1.789,1.517,0.894,0.548,0.548,0.447,2.28,3.082,0.0,3.975,1.643,0.707,0.837,0.548,0.548,0.447,1.414,4.359,6.11,0.0,7.506,1.155,2.309,1.0,0.577,0.577,0.577,0.577,2.646,4.041,0.0,4.933,1.155,1.0,1.155,0.577,0.0,0.577,1.528,6.4,11.8,0.2,17.4,4.6,2.6,1.8,1.4,0.4,0.4,0.2,3.8,11.0,0.0,10.8,4.0,0.6,0.8,0.2,0.6,0.2,1.6,7.0,9.0,0.0,19.33,5.0,2.67,2.33,1.0,0.67,0.33,0.0,3.67,13.0,0.0,10.67,3.33,0.67,0.33,0.33,0.67,0.0,1.67,3.13,4.438,0.447,6.768,1.517,1.673,0.837,1.14,0.548,0.548,0.447,2.683,5.431,0.0,5.718,3.162,0.548,0.837,0.447,0.548,0.447,1.14,4.0,1.0,0.0,8.083,1.732,2.309,0.577,1.0,0.577,0.577,0.0,3.786,5.292,0.0,4.041,1.528,0.577,0.577,0.577,0.577,0.0,1.528,Liverpool,1.44,4.72,7.38,2016-10-01,E0,2.0,1.0,A,H,Swansea,1.43,4.92,8.44,1.44,1.43,0.558122358864,0.221973589881,0.219904051255,0.558122358864,A,0.44,0.43,1.44,-0.13632208558
3,35338,4.2,10.4,0.2,9.4,2.4,0.6,0.6,2.2,0.0,0.2,0.8,5.2,10.2,0.2,16.6,5.8,0.4,0.8,0.2,0.4,0.4,1.6,5.0,12.0,0.33,8.0,3.33,1.0,0.33,2.0,0.0,0.33,0.67,5.33,12.67,0.33,19.67,6.33,0.33,0.67,0.33,0.33,0.33,2.0,1.924,2.881,0.447,3.975,1.817,0.548,0.548,1.304,0.0,0.447,0.447,3.493,4.764,0.447,5.273,3.701,0.548,0.837,0.447,0.548,0.548,0.894,1.0,2.646,0.577,2.0,1.528,0.0,0.577,1.732,0.0,0.577,0.577,4.509,4.041,0.577,4.509,5.132,0.577,1.155,0.577,0.577,0.577,1.0,4.4,12.8,0.2,10.2,3.8,2.2,2.0,2.0,0.4,0.2,0.4,4.6,15.4,0.0,13.8,5.0,1.0,0.4,0.4,0.4,0.2,3.2,4.67,14.67,0.0,12.67,4.33,2.67,2.0,1.67,0.67,0.0,0.33,2.67,17.33,0.0,10.0,4.33,1.0,0.33,0.33,0.33,0.33,4.33,1.817,4.087,0.447,3.834,2.049,1.643,0.707,1.0,0.548,0.447,0.548,3.209,3.578,0.0,6.017,1.732,1.225,0.548,0.548,0.548,0.447,1.924,2.517,4.509,0.0,2.517,2.517,1.528,1.0,1.155,0.577,0.0,0.577,2.517,3.055,0.0,4.0,2.082,1.732,0.577,0.577,0.577,0.577,1.528,Bournemouth,3.21,3.28,2.35,2016-10-01,E0,2.0,2.0,D,A,Watford,3.27,3.32,2.42,3.28,3.32,0.175482319512,0.260837519493,0.563680160994,0.563680160994,H,-1.0,-1.0,2.35,0.138148246101
4,35339,2.8,13.0,0.0,10.0,3.2,1.4,1.0,1.8,0.2,0.2,0.6,6.8,9.8,0.0,15.0,6.0,0.8,1.0,0.2,0.4,0.4,1.4,2.67,13.33,0.0,7.33,1.67,1.67,1.0,1.33,0.33,0.33,0.33,6.33,9.33,0.0,14.0,4.33,1.0,1.0,0.33,0.33,0.33,1.33,1.789,2.345,0.0,4.243,2.387,0.894,0.707,1.304,0.447,0.447,0.548,2.775,3.701,0.0,3.391,2.739,0.837,1.225,0.447,0.548,0.548,1.14,1.528,2.082,0.0,0.577,1.528,1.155,1.0,1.528,0.577,0.577,0.577,1.528,3.786,0.0,3.606,2.082,1.0,1.732,0.577,0.577,0.577,0.577,3.4,14.0,0.2,11.0,6.0,1.6,2.6,1.4,0.6,0.0,0.4,6.0,10.2,0.0,18.4,4.0,1.0,0.6,0.4,0.4,0.2,2.8,4.0,14.67,0.33,13.0,7.33,1.67,2.33,1.0,0.67,0.0,0.33,3.67,11.33,0.0,15.67,2.33,1.0,0.67,0.33,0.67,0.0,3.33,1.673,3.674,0.447,5.701,2.739,1.14,1.673,1.14,0.548,0.0,0.548,4.416,3.271,0.0,4.669,2.55,1.0,0.894,0.548,0.548,0.447,1.483,2.0,0.577,0.577,5.0,2.082,0.577,2.082,1.0,0.577,0.0,0.577,2.517,3.215,0.0,3.055,1.528,1.0,1.155,0.577,0.577,0.0,1.528,Middlesbrough,3.5,3.31,2.21,2016-10-01,E0,1.0,1.0,D,D,West Ham,3.66,3.35,2.23,3.31,3.35,0.207983687357,0.284806393833,0.507209918809,0.507209918809,H,-1.0,-1.0,2.21,0.0547212310264
5,35383,4.4,10.4,0.0,14.4,5.8,2.0,1.8,0.8,0.4,0.6,0.0,4.2,12.8,0.2,10.8,3.0,1.0,0.2,0.4,0.6,0.0,2.2,4.33,11.33,0.0,15.67,6.67,1.67,2.33,0.67,0.67,0.33,0.0,2.33,12.67,0.33,9.33,3.0,1.33,0.0,0.67,0.33,0.0,2.33,2.51,3.209,0.0,7.635,2.775,1.225,1.789,0.837,0.548,0.548,0.0,2.588,3.962,0.447,3.633,1.871,1.225,0.447,0.548,0.548,0.0,2.28,2.517,4.041,0.0,7.371,2.517,0.577,2.082,0.577,0.577,0.577,0.0,0.577,4.726,0.577,4.163,2.646,1.528,0.0,0.577,0.577,0.0,3.215,7.4,9.2,0.0,15.4,4.6,1.6,0.4,1.0,0.2,0.4,0.4,5.4,12.4,0.0,10.0,3.0,0.0,0.6,0.0,0.6,0.4,1.4,9.0,7.67,0.0,16.33,3.67,1.33,0.33,1.67,0.0,0.33,0.67,4.33,12.67,0.0,9.67,2.67,0.0,1.0,0.0,0.33,0.67,1.0,3.13,5.31,0.0,6.427,2.608,1.14,0.548,1.0,0.447,0.548,0.548,2.608,1.817,0.0,4.123,1.0,0.0,0.894,0.0,0.548,0.548,1.14,3.0,6.429,0.0,8.386,1.155,1.528,0.577,0.577,0.0,0.577,0.577,3.055,1.528,0.0,5.774,1.155,0.0,1.0,0.0,0.577,0.577,1.0,Arsenal,1.38,4.91,8.94,2016-10-02,E0,1.0,0.0,A,D,Burnley,1.38,5.13,10.17,1.38,1.38,0.542850359596,0.229993818571,0.227155821834,0.542850359596,A,0.38,0.38,1.38,-0.181787321564
6,35384,3.2,11.0,0.0,13.8,4.8,2.0,2.0,1.4,0.6,0.0,0.4,6.4,9.2,0.0,15.6,4.2,1.0,0.8,0.4,0.4,0.2,1.8,1.0,10.0,0.0,14.0,5.0,2.33,1.33,1.33,0.33,0.0,0.67,5.33,10.0,0.0,14.0,2.67,0.67,0.67,0.33,0.33,0.33,2.33,4.438,3.742,0.0,3.564,3.347,2.121,1.581,0.894,0.548,0.0,0.548,2.191,1.304,0.0,3.209,2.588,0.707,0.447,0.548,0.548,0.447,2.049,1.0,3.464,0.0,3.606,4.0,2.517,1.528,1.155,0.577,0.0,0.577,1.155,1.0,0.0,2.646,2.082,0.577,0.577,0.577,0.577,0.577,2.517,4.8,9.6,0.0,9.4,3.0,2.0,0.4,2.4,0.0,0.2,0.8,5.8,10.8,0.0,17.0,6.0,0.0,1.2,0.0,0.2,0.8,0.8,4.67,8.67,0.0,9.67,3.0,1.67,0.33,1.67,0.0,0.33,0.67,4.33,11.67,0.0,11.67,4.33,0.0,0.67,0.0,0.33,0.67,1.0,2.387,1.817,0.0,2.191,1.581,0.707,0.548,1.517,0.0,0.447,0.447,3.899,4.324,0.0,9.11,3.082,0.0,0.837,0.0,0.447,0.447,0.837,3.215,1.528,0.0,3.055,1.0,0.577,0.577,1.528,0.0,0.577,0.577,2.517,2.082,0.0,3.215,2.887,0.0,0.577,0.0,0.577,0.577,1.0,Southampton,3.49,3.31,2.21,2016-10-02,E0,0.0,0.0,D,D,Leicester,3.63,3.35,2.24,3.31,3.35,0.132564777506,0.217435855783,0.649999366712,0.649999366712,H,-1.0,-1.0,2.21,0.197510678929
7,35385,4.0,12.0,0.0,11.4,2.2,2.0,0.6,2.4,0.0,0.2,0.8,8.2,12.6,0.0,15.0,5.8,0.2,1.0,0.2,0.2,0.6,1.8,4.33,11.33,0.0,10.33,2.0,2.33,0.67,2.0,0.0,0.33,0.67,9.33,15.67,0.0,15.67,6.33,0.0,1.0,0.0,0.33,0.67,2.33,1.581,4.062,0.0,2.191,1.304,2.0,0.548,1.517,0.0,0.447,0.447,2.387,4.45,0.0,4.062,2.864,0.447,1.0,0.447,0.447,0.548,1.095,2.082,2.517,0.0,2.082,1.732,2.309,0.577,1.732,0.0,0.577,0.577,0.577,2.082,0.0,4.726,3.786,0.0,1.0,0.0,0.577,0.577,0.577,3.2,9.6,0.2,12.4,2.6,0.8,1.0,2.2,0.2,0.2,0.6,5.8,12.0,0.0,15.0,5.2,0.6,1.6,0.2,0.2,0.6,1.6,3.33,10.0,0.0,13.67,3.33,1.33,1.0,2.33,0.33,0.0,0.67,5.33,11.67,0.0,14.0,5.0,0.67,2.0,0.33,0.0,0.67,1.33,2.588,1.673,0.447,4.159,2.302,1.095,0.707,1.304,0.447,0.447,0.548,1.789,3.317,0.0,3.742,1.483,0.894,1.342,0.447,0.447,0.548,1.817,3.055,2.0,0.0,4.041,2.517,1.155,1.0,1.528,0.577,0.0,0.577,2.309,3.055,0.0,2.0,2.0,1.155,1.732,0.577,0.0,0.577,2.309,Stoke,9.59,5.25,1.34,2016-10-02,E0,1.0,1.0,D,D,Man United,10.61,5.46,1.35,5.25,5.46,0.13493232773,0.21918923825,0.645878434021,0.645878434021,H,-1.0,-1.0,1.34,-0.100390222696
8,35386,4.8,12.0,0.0,14.4,5.2,2.8,2.4,1.6,0.6,0.2,0.2,5.0,11.6,0.0,10.6,3.8,1.4,1.0,0.4,0.4,0.2,2.4,6.0,10.67,0.0,16.0,5.33,3.33,3.0,1.0,1.0,0.0,0.0,4.33,14.0,0.0,11.67,3.67,1.67,0.67,0.67,0.33,0.0,3.0,2.168,4.243,0.0,5.367,0.837,1.304,1.14,1.342,0.548,0.447,0.447,2.449,4.506,0.0,4.45,2.28,0.548,0.707,0.548,0.548,0.447,1.14,1.732,2.082,0.0,3.464,1.155,1.155,1.0,0.0,0.0,0.0,0.0,2.517,1.732,0.0,3.215,1.155,0.577,0.577,0.577,0.577,0.0,1.0,3.8,14.2,0.2,11.0,2.4,3.4,0.8,1.0,0.2,0.4,0.4,9.6,10.6,0.0,20.2,5.2,0.4,0.4,0.2,0.6,0.2,1.4,3.33,14.0,0.33,9.67,2.33,4.33,0.33,1.0,0.0,0.33,0.67,9.67,12.33,0.0,20.67,6.0,0.33,0.0,0.33,0.67,0.0,2.33,2.387,3.271,0.447,3.742,0.548,1.673,0.837,0.0,0.447,0.548,0.548,3.209,4.93,0.0,7.12,2.588,0.548,0.548,0.447,0.548,0.447,1.517,2.082,4.359,0.577,3.512,0.577,1.155,0.577,0.0,0.0,0.577,0.577,4.509,6.11,0.0,10.017,2.646,0.577,0.0,0.577,0.577,0.0,1.155,Man City,2.42,3.43,2.96,2016-10-02,E0,0.0,2.0,H,H,Tottenham,2.48,3.54,2.99,2.96,2.99,0.346543538001,0.306034175699,0.3474222863,0.3474222863,H,1.96,1.99,2.96,0.00958444846223
9,35424,4.0,10.2,0.0,11.4,4.4,1.4,1.2,1.6,0.4,0.0,0.6,7.0,12.8,0.0,17.0,6.2,0.4,0.6,0.2,0.4,0.4,2.0,3.67,11.0,0.0,11.67,5.0,1.67,0.67,1.0,0.33,0.0,0.67,6.0,12.67,0.0,14.0,5.0,0.0,0.33,0.0,0.67,0.33,2.0,2.121,2.28,0.0,3.578,3.13,0.894,1.643,1.517,0.548,0.0,0.548,3.674,2.168,0.0,5.788,2.168,0.894,0.894,0.447,0.548,0.548,1.0,2.517,2.646,0.0,4.619,3.464,0.577,0.577,1.0,0.577,0.0,0.577,1.732,2.309,0.0,4.583,1.732,0.0,0.577,0.0,0.577,0.577,1.0,2.6,9.8,0.0,10.6,3.8,2.2,1.0,2.6,0.2,0.0,0.8,6.4,10.4,0.0,14.0,4.4,0.4,1.2,0.0,0.6,0.4,1.2,2.0,12.0,0.0,12.0,4.67,3.33,1.67,2.67,0.33,0.0,0.67,6.67,10.67,0.0,13.33,4.0,0.67,1.67,0.0,0.67,0.33,1.67,1.517,4.438,0.0,4.037,2.168,1.924,1.732,1.14,0.447,0.0,0.447,1.673,2.074,0.0,3.082,1.949,0.548,1.095,0.0,0.548,0.548,1.304,1.732,4.583,0.0,3.606,2.517,1.528,2.082,0.577,0.577,0.0,0.577,2.082,2.082,0.0,4.041,1.732,0.577,1.155,0.0,0.577,0.577,1.528,Swansea,11.22,5.91,1.28,2016-10-15,E0,2.0,3.0,H,H,Arsenal,12.8,6.15,1.28,1.28,1.28,0.150292079602,0.216784732174,0.632923188224,0.632923188224,H,0.28,0.28,1.28,-0.148326811776
