,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,INFO_WIN_P,probs_A,probs_D,probs_H,probs,pred,WIN,WIN_P,INFO_ODD,INFO_ODD_BET,prob_less_bet
29342,2.0,15.4,0.0,6.8,1.8,2.8,0.6,1.4,0.2,0.2,0.6,4.8,12.6,0.0,19.0,5.8,0.4,0.6,0.2,0.4,0.4,1.6,2.0,15.0,0.0,7.0,1.33,2.67,0.67,1.33,0.33,0.0,0.67,5.33,12.33,0.0,19.0,6.67,0.33,0.67,0.0,0.67,0.33,2.33,1.871,3.209,0.0,2.775,1.304,0.447,0.548,1.14,0.447,0.447,0.548,1.304,3.362,0.0,2.828,2.168,0.548,0.548,0.447,0.548,0.548,1.342,1.732,4.359,0.0,3.606,0.577,0.577,0.577,1.528,0.577,0.0,0.577,1.528,2.517,0.0,0.0,2.517,0.577,0.577,0.0,0.577,0.577,1.155,6.0,16.8,0.2,11.4,4.4,2.2,2.2,0.8,0.8,0.0,0.2,4.8,12.2,0.0,11.4,3.6,1.2,0.6,0.6,0.2,0.2,0.6,6.67,20.0,0.33,11.33,5.67,2.0,3.0,0.67,1.0,0.0,0.0,6.0,10.33,0.0,14.0,3.33,2.0,0.33,1.0,0.0,0.0,0.67,1.581,7.19,0.447,3.507,3.209,0.837,2.683,1.095,0.447,0.0,0.447,1.924,2.864,0.0,4.561,2.074,1.643,0.894,0.548,0.447,0.447,0.548,1.528,7.81,0.577,2.082,3.786,1.0,3.464,1.155,0.0,0.0,0.0,1.0,1.528,0.0,2.0,2.082,1.732,0.577,0.0,0.0,0.0,0.577,Bastia,3.86,3.18,2.06,2014-11-01,F1,0.0,1.0,H,H,Guingamp,4.24,3.19,2.1,2.06,2.1,0.259711038426,0.290803388075,0.449485573499,0.449485573499,H,1.06,1.1,0,2.06,-0.0359513197045
29343,5.4,14.6,0.0,11.2,3.6,2.2,1.0,1.4,0.6,0.0,0.4,4.4,10.4,0.0,9.0,4.8,0.2,0.8,0.2,0.4,0.4,1.6,5.0,13.33,0.0,13.67,4.67,2.0,1.0,0.67,0.67,0.0,0.33,4.67,12.0,0.0,8.67,4.33,0.0,0.67,0.0,0.67,0.33,1.67,2.608,2.702,0.0,3.768,1.817,1.095,0.707,2.191,0.548,0.0,0.548,1.14,3.435,0.0,4.637,3.114,0.447,1.095,0.447,0.548,0.548,1.14,3.464,1.528,0.0,2.309,1.528,0.0,0.0,1.155,0.577,0.0,0.577,1.528,3.606,0.0,5.508,3.512,0.0,1.155,0.0,0.577,0.577,0.577,2.8,15.2,0.2,7.2,2.0,1.4,0.4,1.2,0.2,0.2,0.6,5.6,12.6,0.0,17.4,6.0,0.2,0.2,0.2,0.6,0.2,1.6,2.0,15.67,0.33,6.33,2.0,1.67,0.67,0.67,0.33,0.33,0.33,7.0,11.0,0.0,20.33,6.33,0.33,0.33,0.33,0.33,0.33,2.0,1.789,5.891,0.447,1.924,1.581,1.14,0.894,0.837,0.447,0.447,0.548,2.608,3.975,0.0,6.986,2.915,0.447,0.447,0.447,0.548,0.447,1.517,1.732,5.132,0.577,1.528,2.0,1.528,1.155,0.577,0.577,0.577,0.577,2.0,3.606,0.0,8.083,4.041,0.577,0.577,0.577,0.577,0.577,1.732,St Etienne,3.09,2.95,2.52,2014-11-01,F1,1.0,1.0,D,H,Lille,3.18,3.03,2.63,2.95,3.03,0.212053630969,0.331872565181,0.45607380385,0.45607380385,H,-1.0,-1.0,0,2.52,0.0592484070251
29344,2.0,8.8,0.4,10.8,5.2,1.2,1.4,0.6,0.4,0.6,0.0,3.0,15.0,0.4,10.2,3.2,1.0,0.4,0.6,0.4,0.0,0.8,2.67,10.67,0.33,13.0,6.0,1.0,2.0,0.67,0.67,0.33,0.0,3.0,15.33,0.67,12.33,4.0,1.33,0.67,0.67,0.33,0.0,0.0,2.121,4.207,0.548,4.324,2.775,1.304,1.14,0.548,0.548,0.548,0.0,1.581,6.205,0.894,3.421,1.304,0.707,0.548,0.548,0.548,0.0,1.304,2.517,4.619,0.577,4.359,3.464,1.732,1.0,0.577,0.577,0.577,0.0,1.0,8.021,1.155,1.528,1.0,0.577,0.577,0.577,0.577,0.0,0.0,4.2,12.4,0.0,8.8,3.2,1.6,0.8,0.8,0.6,0.2,0.2,6.0,11.0,0.2,9.8,3.4,0.2,0.0,0.2,0.8,0.0,1.4,3.67,14.33,0.0,9.0,4.0,2.0,1.33,0.0,1.0,0.0,0.0,5.0,11.33,0.33,8.33,1.67,0.33,0.0,0.33,0.67,0.0,1.33,3.114,2.793,0.0,3.768,1.643,0.548,0.837,1.789,0.548,0.447,0.447,2.828,2.915,0.447,5.263,2.793,0.447,0.0,0.447,0.447,0.0,0.548,3.055,1.155,0.0,5.292,1.732,0.0,0.577,0.0,0.0,0.0,0.0,3.464,2.082,0.577,6.807,2.082,0.577,0.0,0.577,0.577,0.0,0.577,Paris SG,1.48,4.04,7.25,2014-11-01,F1,2.0,1.0,A,H,Lorient,1.52,4.18,7.98,1.48,1.52,0.349527220613,0.323638408523,0.326834370863,0.349527220613,A,0.48,0.52,0,1.48,-0.326148455062
29345,3.4,13.6,0.0,11.4,3.6,1.6,1.2,1.0,0.2,0.6,0.2,4.2,8.4,0.0,13.6,3.4,0.2,0.4,0.0,0.8,0.2,1.2,4.0,14.33,0.0,12.0,3.67,2.0,1.33,1.33,0.0,1.0,0.0,3.33,10.0,0.0,14.67,3.33,0.33,0.67,0.0,0.67,0.33,1.67,2.608,4.393,0.0,4.037,2.074,1.517,1.304,1.225,0.447,0.548,0.447,1.924,2.966,0.0,5.413,2.302,0.447,0.548,0.0,0.447,0.447,0.837,3.464,6.028,0.0,1.0,1.528,1.732,1.528,1.528,0.0,0.0,0.0,2.082,2.0,0.0,7.371,3.215,0.577,0.577,0.0,0.577,0.577,0.577,5.0,12.4,0.4,10.2,2.4,0.8,0.6,1.8,0.0,0.4,0.6,5.0,13.0,0.0,13.6,5.8,0.4,0.4,0.0,1.0,0.0,1.2,4.67,11.0,0.67,9.33,1.67,1.0,0.33,2.0,0.0,0.33,0.67,4.67,11.33,0.0,16.33,7.0,0.33,0.33,0.0,1.0,0.0,1.0,1.871,2.702,0.894,5.404,1.673,0.837,0.548,1.304,0.0,0.548,0.548,1.414,4.0,0.0,4.669,3.033,0.548,0.548,0.0,0.0,0.0,0.837,2.082,1.0,1.155,5.033,1.155,1.0,0.577,1.732,0.0,0.577,0.577,1.155,3.055,0.0,3.055,3.464,0.577,0.577,0.0,0.0,0.0,1.0,Caen,2.96,3.09,2.5,2014-11-01,F1,2.0,3.0,H,H,Metz,3.01,3.21,2.62,2.5,2.62,0.220645772373,0.329705078346,0.449649149281,0.449649149281,H,1.5,1.62,0,2.5,0.0496491492811
29346,4.4,14.4,0.2,8.0,2.6,2.0,1.0,2.2,0.2,0.0,0.8,4.2,11.0,0.2,10.2,4.4,0.4,1.0,0.2,0.2,0.6,1.0,4.67,13.67,0.0,8.0,2.67,2.33,1.0,1.33,0.33,0.0,0.67,4.33,13.0,0.33,10.67,3.33,0.33,0.67,0.33,0.0,0.67,1.33,2.608,3.05,0.447,2.236,0.548,0.707,1.0,2.28,0.447,0.0,0.447,3.493,4.123,0.447,3.421,1.817,0.548,1.225,0.447,0.447,0.548,1.225,2.082,2.082,0.0,3.0,0.577,0.577,1.0,1.155,0.577,0.0,0.577,4.509,1.732,0.577,4.726,1.155,0.577,0.577,0.577,0.0,0.577,1.528,3.4,18.4,0.2,10.8,4.6,2.0,0.6,1.0,0.4,0.0,0.6,4.4,12.4,0.0,11.2,3.4,0.2,0.4,0.2,0.4,0.4,0.8,3.67,17.33,0.33,11.67,5.67,2.0,0.67,1.0,0.33,0.0,0.67,4.0,11.33,0.0,9.67,3.0,0.0,0.33,0.0,0.67,0.33,0.67,1.517,2.793,0.447,2.28,1.817,0.707,0.548,1.0,0.548,0.0,0.548,0.894,2.408,0.0,2.49,1.673,0.447,0.548,0.447,0.548,0.548,0.837,0.577,3.215,0.577,1.155,1.528,1.0,0.577,1.0,0.577,0.0,0.577,1.0,2.517,0.0,1.155,2.0,0.0,0.577,0.0,0.577,0.577,0.577,Evian Thonon Gaillard,4.14,3.19,1.98,2014-11-01,F1,0.0,2.0,H,H,Montpellier,4.22,3.27,2.07,1.98,2.07,0.272897793826,0.322832166357,0.404270039817,0.404270039817,H,0.98,1.07,0,1.98,-0.100780465234
29347,3.0,14.4,0.0,13.2,5.0,1.2,1.0,1.2,0.2,0.4,0.4,5.4,13.4,0.0,11.0,3.6,0.2,0.6,0.2,0.4,0.4,2.2,3.0,12.67,0.0,12.0,5.0,0.67,1.0,1.33,0.0,0.67,0.33,5.33,15.0,0.0,11.0,3.33,0.0,0.33,0.0,0.67,0.33,2.0,1.0,5.128,0.0,4.087,1.414,1.095,0.0,0.837,0.447,0.548,0.548,1.14,3.286,0.0,2.646,1.517,0.447,0.894,0.447,0.548,0.548,0.837,1.0,4.041,0.0,4.359,0.0,0.577,0.0,0.577,0.0,0.577,0.577,1.528,3.464,0.0,3.606,0.577,0.0,0.577,0.0,0.577,0.577,1.0,2.0,17.2,0.2,8.0,2.8,2.6,1.0,0.8,0.4,0.2,0.4,7.4,13.2,0.0,11.6,2.6,0.2,0.4,0.0,0.8,0.2,1.6,2.0,15.0,0.0,5.33,2.0,2.33,0.67,0.67,0.33,0.33,0.33,7.33,14.33,0.0,12.67,3.0,0.0,0.33,0.0,0.67,0.33,1.67,1.0,3.271,0.447,3.937,2.49,1.14,1.225,0.447,0.548,0.447,0.548,2.51,1.789,0.0,4.219,0.894,0.447,0.548,0.0,0.447,0.447,0.894,1.0,1.732,0.0,2.082,1.0,1.155,0.577,0.577,0.577,0.577,0.577,3.512,1.155,0.0,5.508,1.0,0.0,0.577,0.0,0.577,0.577,1.155,Lyon,2.33,3.18,3.16,2014-11-01,F1,3.0,1.0,A,D,Nice,2.43,3.28,3.25,2.33,2.43,0.272288653168,0.322789354245,0.404921992587,0.404921992587,H,-1.0,-1.0,0,3.16,0.0884662963844
29364,3.4,16.2,0.0,10.2,2.2,1.6,0.8,1.0,0.4,0.0,0.6,6.2,14.4,0.0,13.2,3.2,0.4,0.8,0.4,0.0,0.6,1.8,4.0,16.0,0.0,7.67,2.33,2.33,1.33,0.67,0.67,0.0,0.33,8.33,15.0,0.0,17.33,3.33,0.67,0.67,0.67,0.0,0.33,2.0,2.702,4.604,0.0,3.564,1.789,1.342,1.304,1.0,0.548,0.0,0.548,3.271,1.517,0.0,6.14,1.483,0.548,0.837,0.548,0.0,0.548,1.304,2.646,6.0,0.0,1.155,2.309,1.155,1.528,1.155,0.577,0.0,0.577,2.082,1.732,0.0,3.215,2.082,0.577,1.155,0.577,0.0,0.577,1.0,4.0,16.4,0.0,9.6,3.8,2.4,1.0,2.0,0.0,0.4,0.6,3.8,12.2,0.0,13.0,3.2,0.4,0.4,0.4,0.2,0.4,0.8,5.33,14.67,0.0,10.33,4.0,2.0,1.0,1.67,0.0,0.33,0.67,4.0,10.67,0.0,11.0,2.33,0.0,0.67,0.0,0.33,0.67,1.0,2.739,5.128,0.0,1.817,1.483,0.894,0.0,1.225,0.0,0.548,0.548,0.837,3.194,0.0,6.205,1.643,0.548,0.548,0.548,0.447,0.548,0.837,2.082,6.11,0.0,2.082,2.0,1.0,0.0,0.577,0.0,0.577,0.577,1.0,2.309,0.0,3.606,1.528,0.0,0.577,0.0,0.577,0.577,1.0,Toulouse,3.37,3.22,2.21,2014-11-02,F1,1.0,2.0,H,D,Bordeaux,3.56,3.35,2.25,2.21,2.25,0.224636269128,0.30068896575,0.474674765121,0.474674765121,H,1.21,1.25,0,2.21,0.0221860773385
29365,2.8,11.8,0.0,7.4,2.2,1.6,1.0,1.0,0.4,0.2,0.4,7.6,11.0,0.0,14.2,4.4,0.8,0.4,0.6,0.2,0.2,0.8,3.67,11.0,0.0,8.0,2.33,1.0,1.0,1.33,0.33,0.0,0.67,8.33,8.0,0.0,15.33,4.67,0.67,0.67,0.33,0.33,0.33,0.67,2.387,4.438,0.0,1.14,1.095,1.14,0.707,1.0,0.548,0.447,0.548,4.393,4.848,0.0,3.033,1.517,0.837,0.894,0.548,0.447,0.447,0.447,2.887,4.583,0.0,1.0,1.528,1.0,1.0,1.155,0.577,0.0,0.577,5.859,1.0,0.0,1.155,2.082,1.155,1.155,0.577,0.577,0.577,0.577,2.8,17.8,0.0,9.8,3.4,1.6,0.6,2.2,0.2,0.0,0.8,7.8,14.2,0.0,17.4,6.6,0.2,1.2,0.2,0.2,0.6,1.2,3.0,18.67,0.0,10.33,3.67,2.0,0.33,2.33,0.0,0.0,1.0,7.33,13.67,0.0,15.0,6.67,0.0,1.33,0.0,0.33,0.67,1.33,1.789,4.266,0.0,2.387,1.673,1.14,0.894,1.483,0.447,0.0,0.447,2.168,4.147,0.0,3.435,1.517,0.447,1.095,0.447,0.447,0.548,0.447,2.0,5.774,0.0,3.055,2.309,1.0,0.577,0.577,0.0,0.0,0.0,1.528,4.933,0.0,1.0,1.528,0.0,1.155,0.0,0.577,0.577,0.577,Lens,11.72,5.45,1.26,2014-11-02,F1,1.0,2.0,H,D,Marseille,13.49,5.92,1.28,1.26,1.28,0.156090106861,0.256156228173,0.587753664966,0.587753664966,H,0.26,0.28,0,1.26,-0.205897128685
29366,3.8,16.2,0.0,10.8,3.0,1.4,0.4,1.0,0.2,0.4,0.4,6.0,10.8,0.2,13.4,4.0,0.0,0.0,0.0,1.0,0.0,1.2,5.0,13.67,0.0,13.0,4.67,0.67,0.33,1.67,0.0,0.33,0.67,5.33,10.67,0.0,14.33,4.67,0.0,0.0,0.0,1.0,0.0,1.33,2.28,6.301,0.0,3.564,2.55,1.14,0.548,1.414,0.447,0.548,0.548,1.871,3.899,0.447,1.817,1.871,0.0,0.0,0.0,0.0,0.0,0.837,2.0,7.371,0.0,1.0,1.528,0.577,0.577,1.528,0.0,0.577,0.577,2.082,4.619,0.0,1.528,2.082,0.0,0.0,0.0,0.0,0.0,0.577,4.4,10.8,0.0,7.8,3.0,1.6,0.8,1.0,0.2,0.4,0.4,6.0,14.0,0.0,14.4,4.4,0.2,0.6,0.2,0.4,0.4,1.2,3.0,11.33,0.0,8.67,4.33,2.0,1.0,1.33,0.0,0.67,0.33,6.0,13.0,0.0,14.33,4.0,0.0,1.0,0.0,0.33,0.67,1.33,2.702,1.924,0.0,3.194,2.449,1.517,0.447,0.707,0.447,0.548,0.548,2.646,2.915,0.0,3.209,0.548,0.447,0.894,0.447,0.548,0.548,1.095,1.0,2.517,0.0,4.163,2.082,1.732,0.0,0.577,0.0,0.577,0.577,3.606,1.0,0.0,4.509,0.0,0.0,1.0,0.0,0.577,0.577,1.155,Rennes,3.87,3.08,2.1,2014-11-02,F1,1.0,1.0,D,D,Nantes,4.13,3.16,2.14,3.08,3.16,0.219845561545,0.310753853963,0.469400584492,0.469400584492,H,-1.0,-1.0,0,2.1,-0.00678989169871
29396,4.0,13.2,0.0,10.6,3.0,1.8,0.6,1.8,0.2,0.0,0.8,3.2,11.4,0.0,11.6,4.8,0.2,0.8,0.0,0.6,0.4,0.6,4.67,14.0,0.0,11.67,3.33,2.0,1.0,2.0,0.33,0.0,0.67,3.67,11.33,0.0,11.33,5.67,0.33,1.0,0.0,0.67,0.33,0.67,1.732,3.271,0.0,3.05,2.0,0.837,0.894,1.483,0.447,0.0,0.447,1.095,3.647,0.0,3.362,3.033,0.447,0.837,0.0,0.548,0.548,0.548,2.082,1.732,0.0,3.215,2.309,1.0,1.0,2.0,0.577,0.0,0.577,1.155,5.132,0.0,4.619,3.055,0.577,1.0,0.0,0.577,0.577,0.577,4.2,8.0,0.0,8.2,3.4,1.6,1.2,2.2,0.2,0.2,0.6,4.8,10.0,0.0,11.6,5.2,0.6,0.6,0.4,0.4,0.2,1.2,6.0,7.67,0.0,8.0,3.0,2.0,1.0,1.33,0.33,0.0,0.67,5.67,11.67,0.0,14.67,5.67,0.33,0.0,0.33,0.67,0.0,1.67,2.775,2.915,0.0,0.837,1.673,0.894,1.304,2.28,0.447,0.447,0.548,2.168,3.808,0.0,4.722,2.168,0.548,1.342,0.548,0.548,0.447,1.095,1.732,2.082,0.0,1.0,2.0,1.0,1.732,1.155,0.577,0.0,0.577,0.577,2.517,0.0,2.309,1.528,0.577,0.0,0.577,0.577,0.0,1.155,Lorient,4.03,3.23,2.0,2014-11-07,F1,0.0,1.0,H,D,Rennes,4.41,3.29,2.04,2.0,2.04,0.233881497561,0.320278833043,0.445839669396,0.445839669396,H,1.0,1.04,0,2.0,-0.0541603306039
