,A_MEANS_FIVE_AC,A_MEANS_FIVE_AF,A_MEANS_FIVE_AR,A_MEANS_FIVE_AS,A_MEANS_FIVE_AST,A_MEANS_FIVE_AY,A_MEANS_FIVE_FTAG,A_MEANS_FIVE_FTHG,A_MEANS_FIVE_FTR_A,A_MEANS_FIVE_FTR_D,A_MEANS_FIVE_FTR_H,A_MEANS_FIVE_HC,A_MEANS_FIVE_HF,A_MEANS_FIVE_HR,A_MEANS_FIVE_HS,A_MEANS_FIVE_HST,A_MEANS_FIVE_HTAG,A_MEANS_FIVE_HTHG,A_MEANS_FIVE_HTR_A,A_MEANS_FIVE_HTR_D,A_MEANS_FIVE_HTR_H,A_MEANS_FIVE_HY,A_MEANS_THREE_AC,A_MEANS_THREE_AF,A_MEANS_THREE_AR,A_MEANS_THREE_AS,A_MEANS_THREE_AST,A_MEANS_THREE_AY,A_MEANS_THREE_FTAG,A_MEANS_THREE_FTHG,A_MEANS_THREE_FTR_A,A_MEANS_THREE_FTR_D,A_MEANS_THREE_FTR_H,A_MEANS_THREE_HC,A_MEANS_THREE_HF,A_MEANS_THREE_HR,A_MEANS_THREE_HS,A_MEANS_THREE_HST,A_MEANS_THREE_HTAG,A_MEANS_THREE_HTHG,A_MEANS_THREE_HTR_A,A_MEANS_THREE_HTR_D,A_MEANS_THREE_HTR_H,A_MEANS_THREE_HY,A_STD_FIVE_AC,A_STD_FIVE_AF,A_STD_FIVE_AR,A_STD_FIVE_AS,A_STD_FIVE_AST,A_STD_FIVE_AY,A_STD_FIVE_FTAG,A_STD_FIVE_FTHG,A_STD_FIVE_FTR_A,A_STD_FIVE_FTR_D,A_STD_FIVE_FTR_H,A_STD_FIVE_HC,A_STD_FIVE_HF,A_STD_FIVE_HR,A_STD_FIVE_HS,A_STD_FIVE_HST,A_STD_FIVE_HTAG,A_STD_FIVE_HTHG,A_STD_FIVE_HTR_A,A_STD_FIVE_HTR_D,A_STD_FIVE_HTR_H,A_STD_FIVE_HY,A_STD_THREE_AC,A_STD_THREE_AF,A_STD_THREE_AR,A_STD_THREE_AS,A_STD_THREE_AST,A_STD_THREE_AY,A_STD_THREE_FTAG,A_STD_THREE_FTHG,A_STD_THREE_FTR_A,A_STD_THREE_FTR_D,A_STD_THREE_FTR_H,A_STD_THREE_HC,A_STD_THREE_HF,A_STD_THREE_HR,A_STD_THREE_HS,A_STD_THREE_HST,A_STD_THREE_HTAG,A_STD_THREE_HTHG,A_STD_THREE_HTR_A,A_STD_THREE_HTR_D,A_STD_THREE_HTR_H,A_STD_THREE_HY,H_MEANS_FIVE_AC,H_MEANS_FIVE_AF,H_MEANS_FIVE_AR,H_MEANS_FIVE_AS,H_MEANS_FIVE_AST,H_MEANS_FIVE_AY,H_MEANS_FIVE_FTAG,H_MEANS_FIVE_FTHG,H_MEANS_FIVE_FTR_A,H_MEANS_FIVE_FTR_D,H_MEANS_FIVE_FTR_H,H_MEANS_FIVE_HC,H_MEANS_FIVE_HF,H_MEANS_FIVE_HR,H_MEANS_FIVE_HS,H_MEANS_FIVE_HST,H_MEANS_FIVE_HTAG,H_MEANS_FIVE_HTHG,H_MEANS_FIVE_HTR_A,H_MEANS_FIVE_HTR_D,H_MEANS_FIVE_HTR_H,H_MEANS_FIVE_HY,H_MEANS_THREE_AC,H_MEANS_THREE_AF,H_MEANS_THREE_AR,H_MEANS_THREE_AS,H_MEANS_THREE_AST,H_MEANS_THREE_AY,H_MEANS_THREE_FTAG,H_MEANS_THREE_FTHG,H_MEANS_THREE_FTR_A,H_MEANS_THREE_FTR_D,H_MEANS_THREE_FTR_H,H_MEANS_THREE_HC,H_MEANS_THREE_HF,H_MEANS_THREE_HR,H_MEANS_THREE_HS,H_MEANS_THREE_HST,H_MEANS_THREE_HTAG,H_MEANS_THREE_HTHG,H_MEANS_THREE_HTR_A,H_MEANS_THREE_HTR_D,H_MEANS_THREE_HTR_H,H_MEANS_THREE_HY,H_STD_FIVE_AC,H_STD_FIVE_AF,H_STD_FIVE_AR,H_STD_FIVE_AS,H_STD_FIVE_AST,H_STD_FIVE_AY,H_STD_FIVE_FTAG,H_STD_FIVE_FTHG,H_STD_FIVE_FTR_A,H_STD_FIVE_FTR_D,H_STD_FIVE_FTR_H,H_STD_FIVE_HC,H_STD_FIVE_HF,H_STD_FIVE_HR,H_STD_FIVE_HS,H_STD_FIVE_HST,H_STD_FIVE_HTAG,H_STD_FIVE_HTHG,H_STD_FIVE_HTR_A,H_STD_FIVE_HTR_D,H_STD_FIVE_HTR_H,H_STD_FIVE_HY,H_STD_THREE_AC,H_STD_THREE_AF,H_STD_THREE_AR,H_STD_THREE_AS,H_STD_THREE_AST,H_STD_THREE_AY,H_STD_THREE_FTAG,H_STD_THREE_FTHG,H_STD_THREE_FTR_A,H_STD_THREE_FTR_D,H_STD_THREE_FTR_H,H_STD_THREE_HC,H_STD_THREE_HF,H_STD_THREE_HR,H_STD_THREE_HS,H_STD_THREE_HST,H_STD_THREE_HTAG,H_STD_THREE_HTHG,H_STD_THREE_HTR_A,H_STD_THREE_HTR_D,H_STD_THREE_HTR_H,H_STD_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,INFO_WIN_P,probs_A,probs_D,probs_H,probs,pred,WIN,WIN_P,INFO_ODD,INFO_ODD_BET,prob_less_bet
29348,7.4,15.8,0.2,17.2,5.0,2.6,1.2,0.4,0.6,0.2,0.2,2.4,15.0,0.0,7.4,2.2,0.6,0.2,0.4,0.6,0.0,2.0,7.33,15.67,0.33,17.0,6.0,3.0,1.33,0.67,0.33,0.33,0.33,1.67,17.67,0.0,7.0,2.0,0.67,0.33,0.33,0.67,0.0,2.0,4.393,1.643,0.447,2.775,1.871,1.14,1.095,0.548,0.548,0.447,0.447,1.14,4.848,0.0,2.302,0.837,0.548,0.447,0.548,0.548,0.0,0.0,5.132,1.155,0.577,1.732,1.732,1.0,1.528,0.577,0.577,0.577,0.577,0.577,4.041,0.0,3.0,1.0,0.577,0.577,0.577,0.577,0.0,0.0,4.0,18.2,0.0,10.4,3.8,2.0,1.6,1.4,0.4,0.2,0.4,6.2,11.0,0.2,15.0,7.0,1.2,1.0,0.4,0.0,0.6,1.2,5.0,23.0,0.0,12.33,4.67,3.0,2.0,1.67,0.33,0.33,0.33,7.0,13.67,0.33,14.0,7.33,1.67,1.33,0.33,0.0,0.67,1.33,2.345,6.76,0.0,4.561,2.049,1.581,1.517,1.342,0.548,0.447,0.548,3.701,5.099,0.447,4.183,3.391,1.643,1.0,0.548,0.0,0.548,1.095,1.0,2.0,0.0,4.619,2.309,1.0,2.0,1.528,0.577,0.577,0.577,4.583,4.041,0.577,5.568,3.215,2.082,1.155,0.577,0.0,0.577,1.155,Juventus,1.43,4.27,8.16,2014-11-01,I1,2.0,0.0,A,D,Empoli,1.45,4.48,9.3,1.43,1.45,0.481929824365,0.253702216599,0.264367959036,0.481929824365,A,0.43,0.45,0,1.43,-0.217370874936
29349,6.6,11.6,0.2,11.4,3.2,2.2,1.0,1.0,0.4,0.2,0.4,5.6,12.4,0.2,11.8,3.4,0.8,0.4,0.4,0.6,0.0,1.6,9.33,13.0,0.33,13.67,3.33,3.0,1.33,1.33,0.33,0.33,0.33,5.67,14.33,0.33,11.67,3.67,1.0,0.67,0.33,0.67,0.0,2.67,5.225,2.302,0.447,5.683,1.095,1.095,1.0,1.225,0.548,0.447,0.548,1.14,4.722,0.447,6.301,1.14,0.837,0.894,0.548,0.548,0.0,1.673,4.509,1.732,0.577,6.028,1.155,0.0,1.155,1.528,0.577,0.577,0.577,0.577,0.577,0.577,7.371,1.528,1.0,1.155,0.577,0.577,0.0,1.155,2.6,10.0,0.0,8.2,4.0,2.2,1.6,3.2,0.2,0.2,0.6,9.2,12.4,0.0,23.8,10.6,0.8,1.4,0.2,0.4,0.4,1.8,3.0,11.0,0.0,7.67,4.67,2.67,2.0,3.67,0.0,0.33,0.67,9.67,13.0,0.0,22.0,11.0,1.33,1.33,0.33,0.33,0.33,1.67,0.894,4.301,0.0,2.049,2.345,1.304,0.894,2.387,0.447,0.447,0.548,5.45,3.13,0.0,6.419,3.209,0.837,1.517,0.447,0.548,0.548,0.837,1.0,4.583,0.0,2.517,2.309,1.528,1.0,2.082,0.0,0.577,0.577,4.041,3.464,0.0,5.292,4.359,0.577,1.528,0.577,0.577,0.577,1.155,Roma,3.01,3.33,2.38,2014-11-01,I1,0.0,2.0,H,H,Napoli,3.19,3.49,2.38,2.38,2.38,0.171809378066,0.19469205725,0.633498564684,0.633498564684,H,1.38,1.38,0,2.38,0.213330497457
29350,4.6,13.0,0.2,14.6,3.6,2.0,0.6,1.2,0.2,0.4,0.4,4.4,14.6,0.2,12.0,3.6,0.6,0.6,0.4,0.4,0.2,2.4,3.33,13.67,0.0,15.0,4.33,2.67,0.67,1.33,0.33,0.33,0.33,3.0,16.0,0.33,12.0,4.0,0.67,1.0,0.33,0.33,0.33,3.0,3.209,3.391,0.447,1.949,1.517,1.414,0.548,1.304,0.447,0.548,0.548,2.302,4.219,0.447,2.646,2.608,0.548,0.894,0.548,0.548,0.447,1.517,1.528,4.163,0.0,2.646,1.528,1.528,0.577,1.528,0.577,0.577,0.577,1.732,4.0,0.577,3.606,3.464,0.577,1.0,0.577,0.577,0.577,1.732,4.0,11.8,0.4,10.2,4.0,1.8,2.4,1.8,0.8,0.0,0.2,6.2,19.8,0.2,11.8,3.6,1.2,0.2,0.6,0.4,0.0,2.2,5.0,13.33,0.33,11.33,4.0,2.33,2.33,1.0,1.0,0.0,0.0,6.33,20.0,0.0,9.67,3.67,1.0,0.0,0.67,0.33,0.0,2.67,3.0,3.194,0.548,3.114,2.236,0.837,1.817,1.304,0.447,0.0,0.447,0.837,5.07,0.447,4.658,0.548,1.304,0.447,0.548,0.548,0.0,1.483,3.464,2.309,0.577,2.887,1.0,0.577,0.577,0.0,0.0,0.0,0.0,0.577,5.568,0.0,3.215,0.577,1.0,0.0,0.577,0.577,0.0,1.155,Inter,2.22,3.31,3.34,2014-11-01,I1,0.0,2.0,H,H,Parma,2.25,3.42,3.54,3.34,3.54,0.419013676504,0.304268781306,0.27671754219,0.419013676504,A,-1.0,-1.0,0,2.22,-0.0314367739464
29367,2.8,13.0,0.6,11.0,3.2,1.4,1.2,2.6,0.2,0.2,0.6,7.0,17.4,0.6,16.0,7.0,0.6,1.8,0.2,0.2,0.6,1.6,2.33,13.33,0.33,8.33,3.0,1.67,1.67,1.33,0.33,0.33,0.33,7.33,18.0,0.33,14.0,5.0,1.0,1.0,0.33,0.33,0.33,2.67,2.049,1.732,0.548,4.472,2.387,0.548,1.304,2.702,0.447,0.447,0.548,2.55,3.362,0.894,4.301,3.808,0.894,1.789,0.447,0.447,0.548,1.673,1.155,2.309,0.577,3.512,3.0,0.577,1.528,1.528,0.577,0.577,0.577,3.512,4.583,0.577,3.606,3.606,1.0,1.732,0.577,0.577,0.577,1.155,5.4,17.0,0.0,13.2,3.4,2.0,1.6,1.2,0.6,0.2,0.2,6.0,17.8,0.2,12.4,4.0,0.4,0.4,0.4,0.2,0.4,2.0,4.33,19.0,0.0,10.33,3.67,2.67,2.0,1.33,0.67,0.33,0.0,6.33,20.0,0.33,14.0,4.67,0.0,0.67,0.0,0.33,0.67,2.0,3.847,4.123,0.0,5.357,0.548,1.414,0.894,0.837,0.548,0.447,0.447,3.082,3.834,0.447,3.975,1.225,0.548,0.548,0.548,0.447,0.548,0.707,3.055,4.359,0.0,3.786,0.577,1.528,1.0,0.577,0.577,0.577,0.0,4.041,3.0,0.577,3.606,0.577,0.0,0.577,0.0,0.577,0.577,1.0,Sassuolo,3.06,3.18,2.42,2014-11-02,I1,0.0,0.0,D,D,Chievo,3.28,3.25,2.45,3.18,3.25,0.213367001566,0.297240333335,0.489392665099,0.489392665099,H,-1.0,-1.0,0,2.42,0.0761695246031
29368,4.6,15.2,0.0,11.4,3.0,3.0,0.8,2.2,0.0,0.2,0.8,8.2,11.0,0.0,17.0,7.0,0.6,1.6,0.0,0.2,0.8,1.6,3.0,15.0,0.0,7.67,3.0,3.0,1.0,2.67,0.0,0.33,0.67,8.0,12.33,0.0,18.67,8.0,0.67,2.0,0.0,0.0,1.0,1.0,2.881,6.611,0.0,5.367,2.0,1.414,1.304,0.837,0.0,0.447,0.447,2.683,4.062,0.0,2.828,2.55,0.894,0.894,0.0,0.447,0.447,1.517,1.732,8.66,0.0,2.082,2.646,1.732,1.732,0.577,0.0,0.577,0.577,3.464,5.132,0.0,2.309,3.0,1.155,1.0,0.0,0.0,0.0,1.0,5.2,17.8,0.2,14.2,3.4,2.8,0.8,1.6,0.2,0.2,0.6,4.8,11.8,0.4,13.8,4.4,0.0,0.8,0.0,0.4,0.6,1.6,3.33,18.67,0.0,12.0,2.67,3.33,0.67,1.0,0.33,0.33,0.33,5.67,10.67,0.0,15.33,3.0,0.0,0.33,0.0,0.67,0.33,2.0,3.033,5.07,0.447,3.493,1.342,1.483,0.447,1.14,0.447,0.447,0.548,3.493,3.271,0.894,5.975,2.702,0.0,0.837,0.0,0.548,0.548,0.894,1.155,6.028,0.0,2.0,1.155,1.528,0.577,1.0,0.577,0.577,0.577,3.055,2.082,0.0,6.506,1.0,0.0,0.577,0.0,0.577,0.577,0.0,Palermo,6.85,4.09,1.51,2014-11-02,I1,2.0,0.0,A,A,Milan,7.13,4.29,1.55,6.85,7.13,0.129632182818,0.246820267908,0.623547549274,0.623547549274,H,-1.0,-1.0,0,1.51,-0.0387041063556
29369,3.6,17.0,0.0,13.2,4.4,3.0,0.8,0.8,0.4,0.4,0.2,4.4,15.4,0.2,15.8,3.6,0.0,0.4,0.0,0.6,0.4,3.2,5.0,17.0,0.0,15.67,5.0,2.67,1.0,0.67,0.33,0.67,0.0,5.0,12.33,0.0,17.67,3.67,0.0,0.33,0.0,0.67,0.33,2.0,2.51,3.742,0.0,4.207,2.074,1.0,0.447,0.837,0.548,0.548,0.447,1.517,5.683,0.447,6.458,1.817,0.0,0.548,0.0,0.548,0.548,1.924,1.732,5.292,0.0,3.512,2.646,1.155,0.0,0.577,0.577,0.577,0.0,1.0,2.082,0.0,4.619,2.082,0.0,0.577,0.0,0.577,0.577,1.0,5.4,16.4,0.0,10.4,2.6,2.6,1.2,1.4,0.2,0.2,0.6,4.8,17.4,0.0,15.4,4.8,0.6,0.8,0.2,0.2,0.6,2.0,6.33,17.67,0.0,11.0,2.67,3.0,0.33,1.0,0.0,0.33,0.67,5.0,19.33,0.0,13.67,3.33,0.0,0.67,0.0,0.33,0.67,2.0,5.03,6.269,0.0,5.683,2.074,1.517,2.168,0.894,0.447,0.447,0.548,1.643,5.32,0.0,7.987,3.114,1.342,0.447,0.447,0.447,0.548,1.0,6.807,8.145,0.0,7.937,1.528,0.0,0.577,1.0,0.0,0.577,0.577,1.732,5.508,0.0,4.041,1.528,0.0,0.577,0.0,0.577,0.577,1.0,Fiorentina,2.53,3.17,2.92,2014-11-02,I1,1.0,3.0,H,H,Sampdoria,2.59,3.27,3.04,2.92,3.04,0.271670883157,0.284521961436,0.443807155407,0.443807155407,H,1.92,2.04,0,2.92,0.101341401982
29370,7.0,14.4,0.0,12.4,3.6,2.6,0.6,1.6,0.2,0.0,0.8,5.2,14.2,0.0,18.8,6.2,0.2,0.8,0.2,0.2,0.6,2.2,8.0,14.33,0.0,12.0,2.0,2.33,0.0,1.67,0.0,0.0,1.0,4.67,16.0,0.0,17.33,4.33,0.0,1.33,0.0,0.0,1.0,2.0,3.674,4.615,0.0,4.93,3.13,1.14,0.894,0.548,0.447,0.0,0.447,1.483,3.701,0.0,3.347,2.775,0.447,0.837,0.447,0.447,0.548,1.304,4.583,0.577,0.0,3.464,1.0,1.155,0.0,0.577,0.0,0.0,0.0,1.528,3.0,0.0,3.215,1.528,0.0,0.577,0.0,0.0,0.0,1.0,5.4,11.6,0.4,13.0,3.2,1.8,0.4,0.6,0.2,0.4,0.4,7.0,13.0,0.0,17.2,3.8,0.0,0.2,0.0,0.8,0.2,2.2,5.33,13.33,0.33,13.33,4.0,2.33,0.33,1.0,0.0,0.33,0.67,6.0,13.67,0.0,17.67,4.33,0.0,0.33,0.0,0.67,0.33,2.33,3.362,4.159,0.548,3.674,2.168,0.837,0.548,0.548,0.447,0.548,0.548,2.646,2.915,0.0,5.119,1.304,0.0,0.447,0.0,0.447,0.447,1.095,1.528,4.726,0.577,4.933,2.646,0.577,0.577,0.0,0.0,0.577,0.577,2.0,2.517,0.0,4.619,1.155,0.0,0.577,0.0,0.577,0.577,1.155,Atalanta,4.52,3.37,1.87,2014-11-02,I1,0.0,0.0,D,D,Torino,5.03,3.46,1.86,3.37,3.46,0.250201018628,0.272588769915,0.477210211457,0.477210211457,H,-1.0,-1.0,0,1.87,-0.0575491468322
29371,3.8,17.4,0.4,11.2,4.4,3.0,1.6,1.6,0.4,0.4,0.2,7.4,17.4,0.2,16.6,6.4,0.4,0.4,0.2,0.6,0.2,1.8,4.67,16.33,0.33,14.0,6.0,2.33,2.0,1.33,0.67,0.33,0.0,5.67,20.67,0.33,13.67,5.0,0.33,0.33,0.33,0.33,0.33,2.0,1.924,3.975,0.548,4.087,2.966,1.225,0.894,1.517,0.548,0.548,0.447,2.966,6.58,0.447,4.336,2.608,0.548,0.548,0.447,0.548,0.447,0.447,2.082,5.132,0.577,1.732,2.646,0.577,0.0,0.577,0.577,0.577,0.0,1.528,6.807,0.577,2.082,2.0,0.577,0.577,0.577,0.577,0.577,0.0,6.0,11.8,0.2,12.4,3.8,1.8,0.6,2.0,0.0,0.2,0.8,4.2,11.2,0.0,13.0,4.0,0.4,0.8,0.0,0.8,0.2,2.0,4.0,12.67,0.33,13.0,4.67,1.33,1.0,2.33,0.0,0.33,0.67,6.0,11.33,0.0,13.67,4.0,0.67,1.33,0.0,0.67,0.33,2.33,3.464,2.168,0.447,4.159,1.643,1.304,0.894,1.225,0.0,0.447,0.447,2.775,3.033,0.0,2.55,1.0,0.894,1.095,0.0,0.447,0.447,0.707,3.0,2.082,0.577,5.568,1.528,1.528,1.0,1.528,0.0,0.577,0.577,1.0,4.163,0.0,1.528,1.0,1.155,1.155,0.0,0.577,0.577,0.577,Genoa,3.91,3.27,2.03,2014-11-02,I1,4.0,2.0,A,D,Udinese,4.13,3.36,2.08,3.91,4.13,0.243127352563,0.279680764219,0.477191883218,0.477191883218,H,-1.0,-1.0,0,2.03,-0.0154189542203
29377,2.0,8.0,0.0,9.4,3.8,1.4,0.8,2.6,0.2,0.2,0.6,8.6,13.0,0.0,20.4,7.6,0.2,0.8,0.0,0.8,0.2,1.8,2.0,6.33,0.0,9.33,3.67,1.0,1.0,2.67,0.33,0.0,0.67,11.67,13.0,0.0,23.67,8.67,0.33,0.33,0.0,1.0,0.0,1.67,0.707,4.743,0.0,1.14,1.643,0.894,0.837,2.793,0.447,0.447,0.548,4.669,3.162,0.0,5.683,5.941,0.447,1.304,0.0,0.447,0.447,0.837,1.0,2.082,0.0,1.528,2.082,0.0,1.0,3.055,0.577,0.0,0.577,2.082,2.0,0.0,2.082,6.429,0.577,0.577,0.0,0.0,0.0,1.155,7.6,12.0,0.2,15.6,5.0,1.0,1.4,1.2,0.4,0.4,0.2,3.4,15.2,0.2,9.6,3.8,0.8,1.0,0.4,0.2,0.4,3.2,6.33,12.0,0.33,15.67,5.33,1.33,1.33,1.0,0.33,0.67,0.0,3.0,18.0,0.33,8.67,3.0,0.67,1.0,0.33,0.33,0.33,4.33,3.286,5.385,0.447,3.782,2.646,0.707,1.14,0.837,0.548,0.548,0.447,0.894,4.604,0.447,2.074,1.643,0.837,0.707,0.548,0.447,0.548,1.643,3.055,3.0,0.577,4.041,1.155,0.577,0.577,1.0,0.577,0.577,0.0,1.0,3.464,0.577,1.155,1.732,0.577,1.0,0.577,0.577,0.577,0.577,Verona,2.5,3.2,2.92,2014-11-03,I1,1.0,1.0,D,H,Cesena,2.59,3.29,3.03,3.2,3.29,0.17970009674,0.31488211463,0.50541778863,0.50541778863,H,-1.0,-1.0,0,2.92,0.162952035206
29378,6.0,17.4,0.0,13.8,5.2,2.2,1.8,1.0,0.4,0.2,0.4,5.0,16.8,0.2,11.4,4.6,1.8,0.8,0.4,0.4,0.2,1.6,6.67,16.0,0.0,16.67,6.67,2.67,2.67,0.67,0.67,0.0,0.33,7.0,15.33,0.33,12.33,5.0,2.67,0.33,0.67,0.33,0.0,1.33,3.082,7.301,0.0,4.207,2.168,0.837,2.049,0.707,0.548,0.447,0.548,3.606,5.63,0.447,3.286,0.894,2.049,0.837,0.548,0.548,0.447,0.894,4.041,7.55,0.0,2.082,0.577,0.577,2.309,0.577,0.577,0.0,0.577,2.646,6.807,0.577,3.055,0.0,2.309,0.577,0.577,0.577,0.0,0.577,2.6,10.6,0.2,9.4,2.8,1.0,0.8,1.8,0.2,0.0,0.8,5.8,18.0,0.2,15.6,7.2,0.4,1.0,0.2,0.2,0.6,2.4,3.33,11.0,0.33,10.67,4.0,1.0,1.33,1.67,0.33,0.0,0.67,4.67,17.67,0.33,14.33,8.0,0.67,1.33,0.33,0.0,0.67,2.33,2.074,1.342,0.447,4.037,2.168,0.0,0.837,1.304,0.447,0.0,0.447,2.168,6.205,0.447,2.881,1.304,0.548,1.225,0.447,0.447,0.548,0.548,2.517,1.732,0.577,5.132,2.0,0.0,0.577,1.528,0.577,0.0,0.577,2.082,4.509,0.577,3.215,1.0,0.577,1.528,0.577,0.0,0.577,0.577,Cagliari,6.25,4.02,1.55,2014-11-03,I1,2.0,4.0,H,H,Lazio,6.59,4.32,1.57,1.55,1.57,0.297585785152,0.250822980345,0.451591234503,0.451591234503,H,0.55,0.57,0,1.55,-0.193570055819
