,league,season,historical_training_year,features,ll,acc,prec_A,prec_D,prec_H,rec_A,rec_D,rec_H,f1_A,f1_D,f1_H,bet_all,bet_lte_19,bet_lte_4,bet_btw_19_4,bet_btw_19_5,bet_btw_15_4,bet_btw_15_5
0,D1,2014,4,best_features_MLP,1.00640621506,0.519841269841,0.448275862069,0.0,0.541237113402,0.382352941176,0.0,0.853658536585,0.412698412698,0.0,0.662460567823,0.0190873015873,-0.0717307692308,-0.0344081632653,0.000214285714286,0.0329166666667,-0.0138341968912,0.0103553299492
1,D1,2014,5,best_features_MLP,1.01185903875,0.507936507937,0.416666666667,0.0,0.536458333333,0.367647058824,0.0,0.837398373984,0.390625,0.0,0.653968253968,-0.0175396825397,-0.0877884615385,-0.0476326530612,-0.011,0.0195833333333,-0.030621761658,-0.00786802030457
2,D1,2014,6,best_features_MLP,1.00305061023,0.519841269841,0.412698412698,0.0,0.555555555556,0.382352941176,0.0,0.853658536585,0.396946564885,0.0,0.673076923077,0.0188492063492,-0.0546153846154,-0.0371544715447,-0.0174468085106,0.0201388888889,-0.0174226804124,0.0100507614213
3,D1,2014,7,best_features_MLP,1.00240144826,0.507936507937,0.4,0.0,0.53807106599,0.323529411765,0.0,0.861788617886,0.357723577236,0.0,0.6625,-0.00746031746032,-0.0581553398058,-0.0617142857143,-0.0576595744681,-0.0168055555556,-0.0466494845361,-0.0169543147208
4,D1,2014,8,best_features_MLP,1.0098243548,0.515873015873,0.402597402597,0.5,0.566473988439,0.455882352941,0.016393442623,0.79674796748,0.427586206897,0.031746031746,0.662162162162,0.0197619047619,-0.0570873786408,-0.0322857142857,-0.00730496453901,0.0372727272727,-0.00948453608247,0.0230612244898
5,D1,2014,9,best_features_MLP,1.00702482168,0.519841269841,0.431034482759,0.0,0.546391752577,0.367647058824,0.0,0.861788617886,0.396825396825,0.0,0.668769716088,0.0186904761905,-0.063619047619,-0.0387398373984,-0.0132142857143,0.026993006993,-0.0194329896907,0.00984771573604
6,D1,2015,4,best_features_MLP,1.01836160342,0.473251028807,0.413333333333,0.0,0.5,0.407894736842,0.0,0.770642201835,0.41059602649,0.0,0.606498194946,-0.104362139918,-0.0155882352941,-0.0931666666667,-0.150507246377,-0.162642857143,-0.1025,-0.111947368421
7,D1,2015,5,best_features_MLP,1.02030302181,0.489711934156,0.451612903226,0.0,0.502762430939,0.368421052632,0.0,0.834862385321,0.405797101449,0.0,0.627586206897,-0.0490946502058,-0.0201020408163,-0.0208898305085,-0.0214492753623,-0.049014084507,-0.00623655913978,-0.0271578947368
8,D1,2015,6,best_features_MLP,1.02063981102,0.506172839506,0.466666666667,0.0,0.52380952381,0.460526315789,0.0,0.807339449541,0.46357615894,0.0,0.635379061372,-0.0182304526749,-0.0155882352941,-0.00595833333333,0.00115942028986,-0.0131428571429,0.00882978723404,-0.00178947368421
9,D1,2015,7,best_features_MLP,1.01298714514,0.506172839506,0.465753424658,0.0,0.523529411765,0.447368421053,0.0,0.816513761468,0.456375838926,0.0,0.637992831541,0.0117283950617,-0.00765306122449,0.00483050847458,0.0136956521739,-0.0148591549296,0.0199462365591,-0.00152631578947
10,D1,2015,8,best_features_MLP,1.03437582572,0.489711934156,0.477611940299,0.25,0.51875,0.421052631579,0.0689655172414,0.761467889908,0.447552447552,0.108108108108,0.617100371747,-0.0443209876543,-0.024693877551,-0.024243697479,-0.0239285714286,-0.0575862068966,-0.012192513369,-0.0379166666667
11,D1,2015,9,best_features_MLP,1.01906790139,0.502057613169,0.465753424658,0.0,0.517647058824,0.447368421053,0.0,0.807339449541,0.456375838926,0.0,0.63082437276,-0.0283127572016,-0.025145631068,-0.0202489626556,-0.0165942028986,-0.0306428571429,-0.0094708994709,-0.0198429319372
12,D1,2016,4,best_features_MLP,1.02621389261,0.523076923077,0.462686567164,0.0,0.546875,0.442857142857,0.0,0.833333333333,0.452554744526,0.0,0.660377358491,0.0722307692308,-0.0645045045045,0.0437154150198,0.128309859155,0.154353741497,0.0842926829268,0.103571428571
13,D1,2016,5,best_features_MLP,1.0183991686,0.534615384615,0.527272727273,0.0,0.536585365854,0.414285714286,0.0,0.873015873016,0.464,0.0,0.664652567976,0.0951153846154,-0.0398181818182,0.0757370517928,0.165886524823,0.190821917808,0.118774509804,0.137320574163
14,D1,2016,6,best_features_MLP,1.01820039123,0.526923076923,0.491525423729,0.0,0.537313432836,0.414285714286,0.0,0.857142857143,0.449612403101,0.0,0.660550458716,0.09,-0.0473394495413,0.07472,0.169078014184,0.185782312925,0.117733990148,0.130956937799
15,D1,2016,7,best_features_MLP,1.02297356602,0.515384615385,0.457142857143,0.0,0.536842105263,0.457142857143,0.0,0.809523809524,0.457142857143,0.0,0.645569620253,0.0616153846154,-0.0646788990826,0.0452,0.130141843972,0.140675675676,0.0813793103448,0.0904285714286
16,D1,2016,8,best_features_MLP,1.02311006751,0.526923076923,0.470588235294,0.0,0.546875,0.457142857143,0.0,0.833333333333,0.463768115942,0.0,0.660377358491,0.0920769230769,-0.0560185185185,0.0812048192771,0.186312056738,0.194189189189,0.125940594059,0.133540669856
17,D1,2016,9,best_features_MLP,1.02461600761,0.526923076923,0.450704225352,0.333333333333,0.559139784946,0.457142857143,0.015625,0.825396825397,0.45390070922,0.0298507462687,0.666666666667,0.105038461538,-0.0678703703704,0.086015936255,0.202237762238,0.217382550336,0.137696078431,0.150285714286
18,E0,2014,4,best_features_MLP,0.992467684153,0.53125,0.595744680851,0.0,0.520146520147,0.291666666667,0.0,0.934210526316,0.391608391608,0.0,0.668235294118,0.07859375,0.0570833333333,0.0440333333333,0.0216447368421,0.0375925925926,0.0345957446809,0.044612244898
19,E0,2014,5,best_features_MLP,0.989549834808,0.53125,0.58,0.0,0.522222222222,0.302083333333,0.0,0.927631578947,0.397260273973,0.0,0.668246445498,0.07275,0.0580952380952,0.0275247524752,-0.0125,0.018125,0.0136974789916,0.0327642276423
20,E0,2014,6,best_features_MLP,0.991023539338,0.521875,0.516129032258,0.0,0.523255813953,0.333333333333,0.0,0.888157894737,0.405063291139,0.0,0.658536585366,0.01903125,0.0576,-0.00400651465798,-0.0695394736842,-0.057106918239,-0.0220331950207,-0.0154032258065
21,E0,2014,7,best_features_MLP,0.991083037772,0.521875,0.527272727273,0.0,0.520754716981,0.302083333333,0.0,0.907894736842,0.384105960265,0.0,0.661870503597,0.01759375,0.0530872483221,-0.00225490196078,-0.0611842105263,-0.0550625,-0.019875,-0.0172580645161
22,E0,2014,8,best_features_MLP,0.98935497091,0.509375,0.5,0.0,0.511111111111,0.260416666667,0.0,0.907894736842,0.342465753425,0.0,0.654028436019,0.00990625,0.0644755244755,-0.0148666666667,-0.0946052631579,-0.0980864197531,-0.0405957446809,-0.0451020408163
23,E0,2014,9,best_features_MLP,0.98537530468,0.53125,0.546875,0.0,0.52734375,0.364583333333,0.0,0.888157894737,0.4375,0.0,0.661764705882,0.03140625,0.0669078947368,0.00161812297735,-0.0743137254902,-0.0544025157233,-0.0147325102881,-0.00345381526104
24,E0,2015,4,best_features_MLP,1.04395906959,0.464516129032,0.426829268293,0.0,0.478070175439,0.388888888889,0.0,0.81954887218,0.406976744186,0.0,0.603878116343,-0.0904516129032,-0.03640625,-0.0675838926174,-0.0910588235294,-0.113854748603,-0.0647177419355,-0.0815175097276
25,E0,2015,5,best_features_MLP,1.05427086293,0.448387096774,0.386666666667,0.0,0.468085106383,0.322222222222,0.0,0.827067669173,0.351515151515,0.0,0.597826086957,-0.109129032258,-0.0408943089431,-0.105460750853,-0.152176470588,-0.162841530055,-0.110329218107,-0.120078125
26,E0,2015,6,best_features_MLP,1.03903657257,0.461290322581,0.423076923077,0.0,0.474137931034,0.366666666667,0.0,0.827067669173,0.392857142857,0.0,0.602739726027,-0.102451612903,-0.0410236220472,-0.0769696969697,-0.103823529412,-0.125977653631,-0.075991902834,-0.0924609375
27,E0,2015,7,best_features_MLP,1.03506310125,0.454838709677,0.404494382022,0.0,0.475113122172,0.4,0.0,0.789473684211,0.402234636872,0.0,0.593220338983,-0.115419354839,-0.03640625,-0.0965886287625,-0.141637426901,-0.157094972067,-0.0995582329317,-0.111634241245
28,E0,2015,8,best_features_MLP,1.03644491419,0.454838709677,0.394230769231,0.0,0.485436893204,0.455555555556,0.0,0.751879699248,0.422680412371,0.0,0.589970501475,-0.095064516129,-0.062619047619,-0.0692592592593,-0.0741520467836,-0.0976666666667,-0.0667206477733,-0.083515625
29,E0,2015,9,best_features_MLP,1.03472724115,0.464516129032,0.41,0.0,0.490476190476,0.455555555556,0.0,0.774436090226,0.431578947368,0.0,0.600583090379,-0.075935483871,-0.048515625,-0.055652173913,-0.0609941520468,-0.0800558659218,-0.0504016064257,-0.0640077821012
30,E0,2016,4,best_features_MLP,0.952924477024,0.576802507837,0.481481481481,0.0,0.625592417062,0.597701149425,0.0,0.825,0.533333333333,0.0,0.711590296496,0.0391849529781,0.0407142857143,0.047654723127,0.0499275362319,0.0181632653061,0.0947272727273,0.072576419214
31,E0,2016,5,best_features_MLP,0.964652863064,0.576802507837,0.474074074074,1.0,0.650273224044,0.735632183908,0.0138888888889,0.74375,0.576576576577,0.027397260274,0.69387755102,0.080407523511,0.0529518072289,0.0510526315789,0.0425547445255,0.035306122449,0.101467889908,0.0942105263158
32,E0,2016,6,best_features_MLP,0.965142486796,0.564263322884,0.516853932584,0.4,0.590909090909,0.528735632184,0.0555555555556,0.8125,0.522727272727,0.0975609756098,0.684210526316,0.0396865203762,0.0355900621118,0.0622073578595,0.0873722627737,0.0744217687075,0.106588785047,0.0972321428571
33,E0,2016,7,best_features_MLP,0.95642407871,0.561128526646,0.475247524752,0.0,0.600917431193,0.551724137931,0.0,0.81875,0.510638297872,0.0,0.693121693122,0.0139498432602,0.0267682926829,0.0349174917492,0.0383333333333,0.0141780821918,0.0727649769585,0.0558666666667
34,E0,2016,8,best_features_MLP,0.96121712711,0.570532915361,0.486486486486,0.285714285714,0.626865671642,0.620689655172,0.0277777777778,0.7875,0.545454545455,0.0506329113924,0.698060941828,0.0443573667712,0.0531325301205,0.0415032679739,0.0214388489209,0.0157046979866,0.0863470319635,0.0797816593886
35,E0,2016,9,best_features_MLP,0.950479472815,0.551724137931,0.459183673469,0.0,0.592760180995,0.51724137931,0.0,0.81875,0.486486486486,0.0,0.687664041995,-0.00686520376176,0.0267682926829,0.0026821192053,-0.032700729927,-0.0378911564626,0.0326511627907,0.0263555555556
36,E1,2014,4,best_features_MLP,1.0710190593,0.422988505747,0.401515151515,0.5,0.43143812709,0.39552238806,0.0161290322581,0.728813559322,0.398496240602,0.03125,0.542016806723,-0.107793103448,0.0581679389313,-0.106736596737,-0.174523809524,-0.171939799331,-0.121240694789,-0.12
37,E1,2014,5,best_features_MLP,1.06747688025,0.425287356322,0.414634146341,0.0,0.42776203966,0.253731343284,0.0,0.853107344633,0.314814814815,0.0,0.569811320755,-0.129310344828,0.0512121212121,-0.128624708625,-0.20801369863,-0.204747474747,-0.144540942928,-0.142941176471
38,E1,2014,6,best_features_MLP,1.06802648702,0.429885057471,0.446153846154,0.0,0.427027027027,0.216417910448,0.0,0.892655367232,0.291457286432,0.0,0.577696526508,-0.11324137931,0.0390769230769,-0.109158878505,-0.172696245734,-0.174381270903,-0.123855721393,-0.125808823529
39,E1,2014,7,best_features_MLP,1.06751847305,0.409195402299,0.371681415929,0.0,0.422360248447,0.313432835821,0.0,0.768361581921,0.34008097166,0.0,0.545090180361,-0.173655172414,0.0406766917293,-0.164046511628,-0.255993150685,-0.268518518519,-0.182202970297,-0.192200488998
40,E1,2014,8,best_features_MLP,1.06883673996,0.411494252874,0.375886524823,0.0,0.428571428571,0.39552238806,0.0,0.71186440678,0.385454545455,0.0,0.535031847134,-0.156137931034,0.0271111111111,-0.148306264501,-0.228109965636,-0.235986394558,-0.165407407407,-0.171544117647
41,E1,2014,9,best_features_MLP,1.06620150118,0.427586206897,0.423529411765,0.0,0.428571428571,0.268656716418,0.0,0.847457627119,0.328767123288,0.0,0.569259962049,-0.125402298851,0.0429007633588,-0.121518691589,-0.193253424658,-0.197224080268,-0.137014925373,-0.140880195599
42,E1,2015,4,best_features_MLP,1.09626589113,0.38963963964,0.309090909091,0.358490566038,0.427046263345,0.283333333333,0.141791044776,0.631578947368,0.295652173913,0.20320855615,0.509554140127,-0.105923423423,-0.0347,-0.0978422273782,-0.120858895706,-0.11754491018,-0.102711864407,-0.100427553444
43,E1,2015,5,best_features_MLP,1.0904830168,0.405405405405,0.319587628866,0.326086956522,0.445182724252,0.258333333333,0.111940298507,0.705263157895,0.285714285714,0.166666666667,0.545824847251,-0.0640990990991,-0.00704081632653,-0.0670960187354,-0.0854153846154,-0.0669732937685,-0.0700968523002,-0.0559058823529
44,E1,2015,6,best_features_MLP,1.06894328601,0.416666666667,0.345454545455,0.0,0.426735218509,0.158333333333,0.0,0.873684210526,0.217142857143,0.0,0.573402417962,-0.115900900901,0.00363636363636,-0.121350114416,-0.174180064309,-0.165408805031,-0.127548076923,-0.121725768322
45,E1,2015,7,best_features_MLP,1.07168195046,0.439189189189,0.423076923077,0.0,0.441326530612,0.183333333333,0.0,0.910526315789,0.255813953488,0.0,0.594501718213,-0.0472297297297,0.012,-0.0654587155963,-0.0986495176849,-0.0915408805031,-0.0710817307692,-0.0661938534279
46,E1,2015,8,best_features_MLP,1.07184035105,0.439189189189,0.43137254902,0.0,0.440203562341,0.183333333333,0.0,0.910526315789,0.25730994152,0.0,0.593481989708,-0.044527027027,0.00529411764706,-0.0533486238532,-0.0788141025641,-0.0849529780564,-0.0583894230769,-0.0633569739953
47,E1,2015,9,best_features_MLP,1.07425173728,0.416666666667,0.340909090909,0.0,0.435393258427,0.25,0.0,0.815789473684,0.288461538462,0.0,0.567765567766,-0.108085585586,-0.00216666666667,-0.102018348624,-0.144437299035,-0.149150943396,-0.107253012048,-0.111421800948
48,E1,2016,4,best_features_MLP,1.04570792128,0.486111111111,0.444444444444,0.0,0.489898989899,0.125,0.0,0.941747572816,0.19512195122,0.0,0.644518272425,0.0477777777778,0.0876859504132,0.0281042654028,0.00185810810811,0.0262913907285,0.0185279187817,0.036725
49,E1,2016,5,best_features_MLP,1.0412432546,0.493055555556,0.41095890411,0.333333333333,0.512747875354,0.234375,0.0204081632653,0.878640776699,0.298507462687,0.0384615384615,0.647584973166,0.0466666666667,0.0751612903226,0.0299765258216,0.00925925925926,0.0368874172185,0.0206281407035,0.0411910669975
50,E1,2016,6,best_features_MLP,1.03867879225,0.502314814815,0.467741935484,0.0,0.508108108108,0.2265625,0.0,0.912621359223,0.305263157895,0.0,0.652777777778,0.0657638888889,0.0751612903226,0.0518117647059,0.0405405405405,0.0677408637874,0.0439798488665,0.0643034825871
51,E1,2016,7,best_features_MLP,1.042515941,0.49537037037,0.414634146341,1.0,0.511494252874,0.265625,0.0204081632653,0.864077669903,0.32380952381,0.04,0.642599277978,0.0518981481481,0.0608064516129,0.0487058823529,0.0420945945946,0.0537541528239,0.0406549118388,0.0494029850746
52,E1,2016,8,best_features_MLP,1.04006043049,0.490740740741,0.424242424242,0.0,0.502732240437,0.21875,0.0,0.893203883495,0.288659793814,0.0,0.643356643357,0.0371759259259,0.0694308943089,0.036179245283,0.0206081081081,0.0292052980132,0.0272222222222,0.0335820895522
53,E1,2016,9,best_features_MLP,1.04635137454,0.481481481481,1.0,0.0,0.479069767442,0.015625,0.0,1.0,0.0307692307692,0.0,0.647798742138,0.0528935185185,0.0945689655172,0.0375721153846,0.0134237288136,0.0420723684211,0.0296401028278,0.0511557788945
54,E2,2014,4,best_features_MLP,1.06868523238,0.435779816514,0.394230769231,0.0,0.448795180723,0.280821917808,0.0,0.837078651685,0.328,0.0,0.58431372549,-0.089747706422,-0.0506164383562,-0.0876551724138,-0.103263888889,-0.106366782007,-0.0892326139089,-0.0914114832536
55,E2,2014,5,best_features_MLP,1.07257810537,0.435779816514,0.4,0.0,0.456375838926,0.369863013699,0.0,0.76404494382,0.384341637011,0.0,0.571428571429,-0.0729357798165,-0.0367361111111,-0.0881062355658,-0.110625,-0.102862068966,-0.0897108433735,-0.084412470024
56,E2,2014,6,best_features_MLP,1.06380321536,0.428899082569,0.37984496124,0.0,0.449511400651,0.335616438356,0.0,0.775280898876,0.356363636364,0.0,0.569072164948,-0.108830275229,-0.0499315068493,-0.106781609195,-0.1325,-0.135501730104,-0.109184652278,-0.111315789474
57,E2,2014,7,best_features_MLP,1.06387131522,0.433486238532,0.389705882353,0.0,0.453333333333,0.36301369863,0.0,0.76404494382,0.375886524823,0.0,0.569037656904,-0.0965137614679,-0.0367361111111,-0.0995612009238,-0.127847222222,-0.122989690722,-0.101662650602,-0.0984688995215
