,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_objective,param_reg_alpha,param_scale_pos_weight,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6.37432774901,0.024016469717,-1.01109213085,-0.699334793681,0.5,0.28,0.01,5,2,220,multi:softprob,0.48,1,0.8500000000000003,"{'reg_alpha': 0.48, 'colsample_bytree': 0.5, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 2, 'n_estimators': 220, 'subsample': 0.8500000000000003, 'objective': 'multi:softprob', 'max_depth': 5, 'gamma': 0.28}",5,-1.02676042661,-0.69850415988,-1.00604910976,-0.697799958299,-1.00860809172,-0.699799237374,-1.00034788266,-0.700784782214,-1.02272837386,-0.699433857196,-1.0054240316,-0.700866012099,-0.999414813246,-0.702998935746,-1.01924213071,-0.694491406637,0.270738236715,0.0180886503075,0.0097693187533,0.00236121328476
1,29.9094993174,0.0727568268776,-1.02104847619,-0.432925927343,0.9000000000000004,0.85,0.01,8,7,400,multi:softprob,0.72,1,0.8000000000000003,"{'reg_alpha': 0.72, 'colsample_bytree': 0.9000000000000004, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 7, 'n_estimators': 400, 'subsample': 0.8000000000000003, 'objective': 'multi:softprob', 'max_depth': 8, 'gamma': 0.85}",21,-1.0368037691,-0.433432553543,-1.00615594338,-0.433088137321,-1.01016968833,-0.433001204265,-1.00888812618,-0.433209152626,-1.03971993863,-0.431397068407,-1.02495565534,-0.433702423964,-1.00500939609,-0.435735310848,-1.03670700197,-0.429841567772,1.96244585437,0.044771023601,0.01415399579,0.00160915861768
2,9.95385199785,0.0326546132565,-1.01031610407,-0.781190877363,0.7500000000000002,0.16,0.01,3,5,460,multi:softprob,0.32999999999999996,1,0.7500000000000002,"{'reg_alpha': 0.32999999999999996, 'colsample_bytree': 0.7500000000000002, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 5, 'n_estimators': 460, 'subsample': 0.7500000000000002, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.16}",3,-1.02964055538,-0.781401329545,-1.00432876831,-0.782611474309,-0.998200554045,-0.782525080897,-0.992230404376,-0.781345893273,-1.02656034997,-0.777586468532,-1.01102234461,-0.77885747,-0.996660006001,-0.784511233154,-1.02377535456,-0.780688069191,0.0948584835015,0.0179127776277,0.0137658271612,0.00204879984356
3,3.81330153346,0.0115099847317,-1.02945128522,-0.82891545811,0.6000000000000001,0.85,0.01,6,5,100,multi:softprob,0.78,1,0.9000000000000004,"{'reg_alpha': 0.78, 'colsample_bytree': 0.6000000000000001, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.9000000000000004, 'objective': 'multi:softprob', 'max_depth': 6, 'gamma': 0.85}",27,-1.04256292611,-0.825685764428,-1.0186086959,-0.831738959783,-1.03119667721,-0.829431017096,-1.02481765311,-0.827873473624,-1.03384322896,-0.827526264613,-1.02988455955,-0.833231325725,-1.02083772542,-0.831378325562,-1.03375150316,-0.824458534046,0.083559900238,0.00371317060219,0.00731519815184,0.00287752227954
4,3.31700825691,0.0158044695854,-1.01326726839,-0.912662289851,0.55,0.37,0.01,3,6,190,multi:softprob,0.27,1,0.6000000000000001,"{'reg_alpha': 0.27, 'colsample_bytree': 0.55, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 6, 'n_estimators': 190, 'subsample': 0.6000000000000001, 'objective': 'multi:softprob', 'max_depth': 3, 'gamma': 0.37}",9,-1.02734208301,-0.909842912304,-1.0086575766,-0.913669045627,-1.0090025879,-0.913551879498,-1.00212553038,-0.91304473738,-1.02231018918,-0.910952837995,-1.0138000563,-0.913123979111,-1.00255079106,-0.915446187317,-1.02022509058,-0.911666739576,0.0220834992353,0.00878183116099,0.008715688981,0.00164987389164
5,4.34350585938,0.0161000490189,-1.01523693031,-0.775950350625,0.5,0.04,0.01,5,3,160,multi:softprob,0.36,1,0.9000000000000004,"{'reg_alpha': 0.36, 'colsample_bytree': 0.5, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 3, 'n_estimators': 160, 'subsample': 0.9000000000000004, 'objective': 'multi:softprob', 'max_depth': 5, 'gamma': 0.04}",12,-1.02907361865,-0.774814159734,-1.00804721426,-0.775552704521,-1.01470981276,-0.777094286538,-1.00620909905,-0.775965294044,-1.0237792036,-0.775950360285,-1.01175669774,-0.776209540353,-1.00666193127,-0.780703575064,-1.02152549767,-0.77131288446,0.075533275421,0.00897888473393,0.00809474790076,0.00242188663966
6,25.0228068531,0.0461092591286,-1.02241274285,-0.411994087384,0.7000000000000002,0.01,0.01,6,6,580,multi:softprob,0.12,1,0.6500000000000001,"{'reg_alpha': 0.12, 'colsample_bytree': 0.7000000000000002, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 6, 'n_estimators': 580, 'subsample': 0.6500000000000001, 'objective': 'multi:softprob', 'max_depth': 6, 'gamma': 0.01}",23,-1.04195417378,-0.412936131774,-1.0051176694,-0.412533465498,-1.0053898296,-0.409271022009,-1.01328164033,-0.412227518306,-1.04651680895,-0.413830533844,-1.01787733283,-0.408398342578,-1.00962808191,-0.41626065848,-1.03958722669,-0.41049502658,0.120210000981,0.0160674166032,0.0162654665097,0.00238224368856
7,17.3985497355,0.0891995429993,-1.01954622705,-0.508709085745,0.5,0.4,0.01,5,7,580,multi:softprob,0.15,1,0.8500000000000003,"{'reg_alpha': 0.15, 'colsample_bytree': 0.5, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 7, 'n_estimators': 580, 'subsample': 0.8500000000000003, 'objective': 'multi:softprob', 'max_depth': 5, 'gamma': 0.4}",19,-1.0376076429,-0.512071726428,-1.0112996794,-0.512534294837,-1.00468341909,-0.50774946931,-1.00550892805,-0.50918598436,-1.03848379033,-0.504861554929,-1.00910199226,-0.501351300654,-1.01242125545,-0.513187656101,-1.03722267473,-0.508730699339,0.848864282002,0.0421512156635,0.0143339831425,0.00380930484732
8,24.6317716837,0.0530855357647,-1.02291476326,-0.499312581981,0.8000000000000003,0.82,0.01,5,5,520,multi:softprob,0.99,1,0.9000000000000004,"{'reg_alpha': 0.99, 'colsample_bytree': 0.8000000000000003, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 5, 'n_estimators': 520, 'subsample': 0.9000000000000004, 'objective': 'multi:softprob', 'max_depth': 5, 'gamma': 0.82}",24,-1.04361132182,-0.500641304652,-1.01051894676,-0.500823144699,-1.00677487494,-0.498153227785,-1.00181249873,-0.49850116496,-1.04258565726,-0.495008108791,-1.01476654645,-0.497363865972,-1.01892709482,-0.506667235111,-1.0442956919,-0.497342603875,0.320260824847,0.0298849838328,0.0166398527293,0.00328533718442
9,16.0875829756,0.0301657915115,-1.00819742874,-0.581911671868,0.8500000000000003,0.01,0.01,5,2,370,multi:softprob,0.44999999999999996,1,0.5,"{'reg_alpha': 0.44999999999999996, 'colsample_bytree': 0.8500000000000003, 'scale_pos_weight': 1, 'learning_rate': 0.01, 'min_child_weight': 2, 'n_estimators': 370, 'subsample': 0.5, 'objective': 'multi:softprob', 'max_depth': 5, 'gamma': 0.01}",1,-1.02325534895,-0.579343235868,-0.998800809659,-0.582385690495,-0.992668688148,-0.58293578132,-0.993721393008,-0.582339017702,-1.02509848766,-0.581595878145,-1.00160366887,-0.582056003151,-1.00565763552,-0.582923341967,-1.02479713898,-0.581714426295,0.104855353027,0.0289832522046,0.0131222051752,0.00107447203193
